Dates,variable,value,color,type
2020-04-15,mod_2,7205,Soc. Dist. + Travel Ban,solid
2020-04-15,mod_4,2634,Moderate return,solid
2020-04-15,mod_5,2640,Normal (pre-intervention),solid
2020-04-15,mod_6,2650,Cautious return,solid
2020-04-16,mod_2,8701,Soc. Dist. + Travel Ban,solid
2020-04-16,mod_4,2727,Moderate return,solid
2020-04-16,mod_5,2733,Normal (pre-intervention),solid
2020-04-16,mod_6,2744,Cautious return,solid
2020-04-17,mod_2,10588,Soc. Dist. + Travel Ban,solid
2020-04-17,mod_4,2821,Moderate return,solid
2020-04-17,mod_5,2828,Normal (pre-intervention),solid
2020-04-17,mod_6,2840,Cautious return,solid
2020-04-18,mod_2,12942,Soc. Dist. + Travel Ban,solid
2020-04-18,mod_4,2917,Moderate return,solid
2020-04-18,mod_5,2928,Normal (pre-intervention),solid
2020-04-18,mod_6,2938,Cautious return,solid
2020-04-19,mod_2,15864,Soc. Dist. + Travel Ban,solid
2020-04-19,mod_4,3012,Moderate return,solid
2020-04-19,mod_5,3031,Normal (pre-intervention),solid
2020-04-19,mod_6,3040,Cautious return,solid
2020-04-20,mod_2,19424,Soc. Dist. + Travel Ban,solid
2020-04-20,mod_4,3117,Moderate return,solid
2020-04-20,mod_5,3135,Normal (pre-intervention),solid
2020-04-20,mod_6,3143,Cautious return,solid
2020-04-21,mod_2,23727,Soc. Dist. + Travel Ban,solid
2020-04-21,mod_4,3221,Moderate return,solid
2020-04-21,mod_5,3242,Normal (pre-intervention),solid
2020-04-21,mod_6,3252,Cautious return,solid
2020-04-22,mod_2,28855,Soc. Dist. + Travel Ban,solid
2020-04-22,mod_4,3328,Moderate return,solid
2020-04-22,mod_5,3351,Normal (pre-intervention),solid
2020-04-22,mod_6,3364,Cautious return,solid
2020-04-23,mod_2,34892,Soc. Dist. + Travel Ban,solid
2020-04-23,mod_4,3448,Moderate return,solid
2020-04-23,mod_5,3476,Normal (pre-intervention),solid
2020-04-23,mod_6,3481,Cautious return,solid
2020-04-24,mod_2,41935,Soc. Dist. + Travel Ban,solid
2020-04-24,mod_4,3576,Moderate return,solid
2020-04-24,mod_5,3618,Normal (pre-intervention),solid
2020-04-24,mod_6,3608,Cautious return,solid
2020-04-25,mod_2,50044,Soc. Dist. + Travel Ban,solid
2020-04-25,mod_4,3719,Moderate return,solid
2020-04-25,mod_5,3778,Normal (pre-intervention),solid
2020-04-25,mod_6,3746,Cautious return,solid
2020-04-26,mod_2,59300,Soc. Dist. + Travel Ban,solid
2020-04-26,mod_4,3882,Moderate return,solid
2020-04-26,mod_5,3968,Normal (pre-intervention),solid
2020-04-26,mod_6,3896,Cautious return,solid
2020-04-27,mod_2,69759,Soc. Dist. + Travel Ban,solid
2020-04-27,mod_4,4064,Moderate return,solid
2020-04-27,mod_5,4196,Normal (pre-intervention),solid
2020-04-27,mod_6,4059,Cautious return,solid
2020-04-28,mod_2,81482,Soc. Dist. + Travel Ban,solid
