Dates,variable,value,color,type
2020-04-15,mod_2,1180,Soc. Dist. + Travel Ban,solid
2020-04-15,mod_4,90,Moderate return,solid
2020-04-15,mod_5,91,Normal (pre-intervention),solid
2020-04-15,mod_6,90,Cautious return,solid
2020-04-16,mod_2,1496,Soc. Dist. + Travel Ban,solid
2020-04-16,mod_4,93,Moderate return,solid
2020-04-16,mod_5,93,Normal (pre-intervention),solid
2020-04-16,mod_6,94,Cautious return,solid
2020-04-17,mod_2,1887,Soc. Dist. + Travel Ban,solid
2020-04-17,mod_4,94,Moderate return,solid
2020-04-17,mod_5,95,Normal (pre-intervention),solid
2020-04-17,mod_6,96,Cautious return,solid
2020-04-18,mod_2,2354,Soc. Dist. + Travel Ban,solid
2020-04-18,mod_4,96,Moderate return,solid
2020-04-18,mod_5,100,Normal (pre-intervention),solid
2020-04-18,mod_6,98,Cautious return,solid
2020-04-19,mod_2,2922,Soc. Dist. + Travel Ban,solid
2020-04-19,mod_4,95,Moderate return,solid
2020-04-19,mod_5,103,Normal (pre-intervention),solid
2020-04-19,mod_6,102,Cautious return,solid
2020-04-20,mod_2,3560,Soc. Dist. + Travel Ban,solid
2020-04-20,mod_4,105,Moderate return,solid
2020-04-20,mod_5,104,Normal (pre-intervention),solid
2020-04-20,mod_6,103,Cautious return,solid
2020-04-21,mod_2,4303,Soc. Dist. + Travel Ban,solid
2020-04-21,mod_4,104,Moderate return,solid
2020-04-21,mod_5,107,Normal (pre-intervention),solid
2020-04-21,mod_6,109,Cautious return,solid
2020-04-22,mod_2,5128,Soc. Dist. + Travel Ban,solid
2020-04-22,mod_4,107,Moderate return,solid
2020-04-22,mod_5,109,Normal (pre-intervention),solid
2020-04-22,mod_6,112,Cautious return,solid
2020-04-23,mod_2,6037,Soc. Dist. + Travel Ban,solid
2020-04-23,mod_4,120,Moderate return,solid
2020-04-23,mod_5,125,Normal (pre-intervention),solid
2020-04-23,mod_6,117,Cautious return,solid
2020-04-24,mod_2,7043,Soc. Dist. + Travel Ban,solid
2020-04-24,mod_4,128,Moderate return,solid
2020-04-24,mod_5,142,Normal (pre-intervention),solid
2020-04-24,mod_6,127,Cautious return,solid
2020-04-25,mod_2,8109,Soc. Dist. + Travel Ban,solid
2020-04-25,mod_4,143,Moderate return,solid
2020-04-25,mod_5,160,Normal (pre-intervention),solid
2020-04-25,mod_6,138,Cautious return,solid
2020-04-26,mod_2,9256,Soc. Dist. + Travel Ban,solid
2020-04-26,mod_4,163,Moderate return,solid
2020-04-26,mod_5,190,Normal (pre-intervention),solid
2020-04-26,mod_6,150,Cautious return,solid
2020-04-27,mod_2,10459,Soc. Dist. + Travel Ban,solid
2020-04-27,mod_4,182,Moderate return,solid
2020-04-27,mod_5,228,Normal (pre-intervention),solid
2020-04-27,mod_6,163,Cautious return,solid
2020-04-28,mod_2,11723,Soc. Dist. + Travel Ban,solid
2020-04-28,mod_4,207,Moderate return,solid
2020-04-28,mod_5,273,Normal (pre-intervention),solid
2020-04-28,mod_6,186,Cautious return,solid
2020-04-29,mod_2,13005,Soc. Dist. + Travel Ban,solid
2020-04-29,mod_4,237,Moderate return,solid
2020-04-29,mod_5,331,Normal (pre-intervention),solid
2020-04-29,mod_6,207,Cautious return,solid
2020-04-30,mod_2,14322,Soc. Dist. + Travel Ban,solid
2020-04-30,mod_4,280,Moderate return,solid
2020-04-30,mod_5,411,Normal (pre-intervention),solid
2020-04-30,mod_6,230,Cautious return,solid
2020-05-01,mod_2,15645,Soc. Dist. + Travel Ban,solid
2020-05-01,mod_4,328,Moderate return,solid
2020-05-01,mod_5,517,Normal (pre-intervention),solid
2020-05-01,mod_6,267,Cautious return,solid
