State,Date,Cases,Recovered,Deaths,Active,source
Chhattisgarh,19/03/2020,1,0,0,1,covid19india
Dadra and Nagar Haveli and Daman and Diu,19/03/2020,0,0,0,0,covid19india
Delhi,19/03/2020,14,3,1,10,covid19india
Goa,19/03/2020,0,0,0,0,covid19india
Gujarat,19/03/2020,2,0,0,2,covid19india
Haryana,19/03/2020,17,0,0,17,covid19india
Himachal Pradesh,19/03/2020,0,0,0,0,covid19india
Jammu and Kashmir,19/03/2020,4,0,0,4,covid19india
Jharkhand,19/03/2020,0,0,0,0,covid19india
Karnataka,19/03/2020,15,0,1,14,covid19india
Kerala,19/03/2020,28,3,0,25,covid19india
Ladakh,19/03/2020,8,0,0,8,covid19india
Lakshadweep,19/03/2020,0,0,0,0,covid19india
Madhya Pradesh,19/03/2020,0,0,0,0,covid19india
Maharashtra,19/03/2020,48,0,1,47,covid19india
Manipur,19/03/2020,0,0,0,0,covid19india
Meghalaya,19/03/2020,0,0,0,0,covid19india
Mizoram,19/03/2020,0,0,0,0,covid19india
Nagaland,19/03/2020,0,0,0,0,covid19india
Odisha,19/03/2020,2,0,0,2,covid19india
Pondicherry,19/03/2020,1,0,0,1,covid19india
Punjab,19/03/2020,2,0,1,1,covid19india
Rajasthan,19/03/2020,9,3,0,6,covid19india
Sikkim,19/03/2020,0,0,0,0,covid19india
Tamil Nadu,19/03/2020,3,1,0,2,covid19india
Telangana,19/03/2020,16,1,0,15,covid19india
Tripura,19/03/2020,0,0,0,0,covid19india
Uttar Pradesh,19/03/2020,20,9,0,11,covid19india
Uttarakhand,19/03/2020,3,0,0,3,covid19india
West Bengal,19/03/2020,1,0,0,1,covid19india
Andaman and Nicobar Islands,20/03/2020,0,0,0,0,covid19india
Andhra Pradesh,20/03/2020,3,0,0,3,covid19india
Arunachal Pradesh,20/03/2020,0,0,0,0,covid19india
Assam,20/03/2020,0,0,0,0,covid19india
Bihar,20/03/2020,0,0,0,0,covid19india
Chandigarh,20/03/2020,5,0,0,5,covid19india
Chhattisgarh,20/03/2020,1,0,0,1,covid19india
Dadra and Nagar Haveli and Daman and Diu,20/03/2020,0,0,0,0,covid19india
Delhi,20/03/2020,20,5,1,14,covid19india
Goa,20/03/2020,0,0,0,0,covid19india
Gujarat,20/03/2020,7,0,0,7,covid19india
Haryana,20/03/2020,19,0,0,19,covid19india
Himachal Pradesh,20/03/2020,2,0,0,2,covid19india
Jammu and Kashmir,20/03/2020,4,0,0,4,covid19india
Jharkhand,20/03/2020,0,0,0,0,covid19india
Karnataka,20/03/2020,15,1,1,13,covid19india
Kerala,20/03/2020,40,3,0,37,covid19india
Ladakh,20/03/2020,10,0,0,10,covid19india
Lakshadweep,20/03/2020,0,0,0,0,covid19india
Madhya Pradesh,20/03/2020,4,0,0,4,covid19india
Maharashtra,20/03/2020,52,0,1,51,covid19india
Manipur,20/03/2020,0,0,0,0,covid19india
Meghalaya,20/03/2020,0,0,0,0,covid19india
Mizoram,20/03/2020,0,0,0,0,covid19india
Nagaland,20/03/2020,0,0,0,0,covid19india
Odisha,20/03/2020,2,0,0,2,covid19india
Pondicherry,20/03/2020,1,0,0,1,covid19india
Punjab,20/03/2020,3,0,1,2,covid19india
Rajasthan,20/03/2020,17,3,0,14,covid19india
Sikkim,20/03/2020,0,0,0,0,covid19india
Tamil Nadu,20/03/2020,3,1,0,2,covid19india
Telangana,20/03/2020,19,1,0,18,covid19india
Tripura,20/03/2020,0,0,0,0,covid19india
Uttar Pradesh,20/03/2020,24,9,0,15,covid19india
Uttarakhand,20/03/2020,3,0,0,3,covid19india
West Bengal,20/03/2020,2,0,0,2,covid19india
Andaman and Nicobar Islands,21/03/2020,0,0,0,0,covid19india
Andhra Pradesh,21/03/2020,5,0,0,5,covid19india
Arunachal Pradesh,21/03/2020,0,0,0,0,covid19india
Assam,21/03/2020,0,0,0,0,covid19india
Bihar,21/03/2020,0,0,0,0,covid19india
Chandigarh,21/03/2020,5,0,0,5,covid19india
Chhattisgarh,21/03/2020,1,0,0,1,covid19india
Dadra and Nagar Haveli and Daman and Diu,21/03/2020,0,0,0,0,covid19india
Delhi,21/03/2020,27,5,1,21,covid19india
Goa,21/03/2020,0,0,0,0,covid19india
Gujarat,21/03/2020,14,0,0,14,covid19india
Haryana,21/03/2020,21,0,0,21,covid19india
