place,r,lower,upper,.groups
Andhra Pradesh,1.058956014107821,1.0495205595237813,1.068433131805869,drop_last
Assam,0.8917777152037406,0.8738643481693811,0.9098708599831484,drop_last
Bihar,0.6941676444390656,0.6805046937571555,0.707964913823616,drop_last
Chhattisgarh,1.5506010556423349,1.5088153239483248,1.5929537513127665,drop_last
Delhi,1.2410741685262254,1.2128061802641719,1.2696641789306233,drop_last
Gujarat,1.0304824275029887,1.004088847925025,1.0572136879174168,drop_last
Haryana,1.2651763574995596,1.233039900664687,1.2977208415972177,drop_last
India,1.072692035900526,1.069105372706904,1.0762846255704144,drop_last
Jammu and Kashmir,1.1429454685261549,1.1034910651357321,1.1830833742266762,drop_last
Jharkhand,1.201161884206972,1.16905365269279,1.2336996554801414,drop_last
Karnataka,1.0414275321547433,1.0309503169418255,1.0519570727583991,drop_last
Kerala,1.1938108155960374,1.1710118792955535,1.2168268802203033,drop_last
Madhya Pradesh,1.211719559012005,1.1817336756303563,1.2420760196725609,drop_last
Maharashtra,1.075726151005197,1.0674437857586463,1.084040103795871,drop_last
Odisha,1.2461648496620223,1.2263166681140818,1.2661702958235157,drop_last
Punjab,1.0832188605585338,1.0583602577562845,1.108362150773492,drop_last
Rajasthan,1.0348084144807446,1.0102176857712868,1.0596907424108608,drop_last
Tamil Nadu,1.0155688446169389,1.004088766676423,1.0271132756610457,drop_last
Telangana,1.339264170281152,1.315166545568262,1.3635784761975358,drop_last
Uttar Pradesh,1.1103790946002647,1.0968506876911674,1.1239892867660979,drop_last
West Bengal,1.0003648274188721,0.9846539024994088,1.0161984046912356,drop_last
