place,r,lower,upper
Andhra Pradesh,1.8074360277665442,1.7740087914545086,1.8411754220685728
Assam,2.7718060527817427,2.596942634397823,2.9527108438383785
Bihar,3.0033943119295246,2.9369391600672614,3.0706147661055896
Chhattisgarh,2.1278599632000357,2.108525219023609,2.1472827471953178
Delhi,2.2030755074703015,2.178028256047113,2.2282669434145683
Gujarat,1.4965222809786125,1.4752898387563593,1.5179055351895874
Haryana,1.6139452071400313,1.585586350734424,1.6425536450224918
India,1.568146310350028,1.5642339010583808,1.5720635645905372
Jammu and Kashmir,1.734867222047174,1.677885318125374,1.7927966196131453
Jharkhand,2.3072958953399274,2.2541570712068464,2.3610582076515128
Karnataka,1.63092950531914,1.613172408351411,1.648783119012863
Kerala,1.5683724082197927,1.546678559551039,1.5902178063843946
Madhya Pradesh,1.573454824921411,1.5519327826785427,1.5951240905900277
Maharashtra,1.3206431917171424,1.31573046542464,1.3255649503505107
Odisha,2.200101045250386,2.13317075909683,2.268079373612639
Punjab,1.079653868631979,1.0624899811079649,1.096953455560712
Rajasthan,2.2030036456804116,2.167406718994533,2.2388926738283734
Tamil Nadu,1.5686368418820107,1.547872783545485,1.5895383844736073
Telangana,2.142033295259381,2.0980267899064136,2.1864988394608056
Uttar Pradesh,2.8184652907625813,2.78844625481543,2.8486484742974585
West Bengal,2.0829745517965534,2.047293991183307,2.11896394541586
