place,r,lower,upper,.groups
Andhra Pradesh,1.0513361031473494,1.0419146143197913,1.060799421511511,drop_last
Assam,0.847919935696067,0.8306670086320573,0.8653480495082831,drop_last
Bihar,0.698917813706687,0.6855110486779508,0.712453367378406,drop_last
Chhattisgarh,1.5519975767625775,1.508721851847928,1.5958801503298756,drop_last
Delhi,1.2195119720669516,1.1911363249530835,1.2482174376768778,drop_last
Gujarat,1.0309691628671391,1.0045070566416272,1.0577705321349862,drop_last
Haryana,1.269573624601187,1.2368223998492696,1.3027471888080548,drop_last
India,1.0675709974680907,1.0639768334398008,1.071171139397135,drop_last
Jammu and Kashmir,1.1565621832510145,1.1164497367395494,1.1973728173624099,drop_last
Jharkhand,1.2033818159170468,1.170793349476328,1.2364117620146058,drop_last
Karnataka,1.0271178222459678,1.016686256805915,1.037601940062609,drop_last
Kerala,1.2010544028894519,1.1778137022350095,1.224519156459835,drop_last
Madhya Pradesh,1.2153129540176446,1.1848603855546604,1.246146774840152,drop_last
Maharashtra,1.0814955596667015,1.0731406770957927,1.0898824061149783,drop_last
Odisha,1.251570700772397,1.231325783454395,1.2719785562989885,drop_last
Punjab,1.1251095734622347,1.0994198020370127,1.151092134506535,drop_last
Rajasthan,1.0374736803055808,1.0127705141600247,1.0624703676860727,drop_last
Tamil Nadu,1.0135318112865528,1.0020536187505822,1.0250744657123256,drop_last
Telangana,1.2896199507768091,1.2657193942991423,1.3137419387547142,drop_last
Uttar Pradesh,1.1068321732590218,1.093240648212616,1.1205065146067599,drop_last
West Bengal,1.0157099162619392,0.9998377451851077,1.0317053717517715,drop_last
