place,date,daily_cases,daily_recovered,daily_deaths,total_cases,total_recovered,total_deaths
India,2020-09-11,97655,81456,1202,4656768,3621336,77515
India,2020-09-12,94414,77862,1111,4751182,3699198,78626
India,2020-09-13,93220,77748,1140,4844402,3776946,79766
India,2020-09-14,81913,79213,1054,4926315,3856159,80820
India,2020-09-15,91098,82849,1281,5017413,3939008,82101
India,2020-09-16,97860,82924,1140,5115273,4021932,83241
India,2020-09-17,96787,87788,1175,5212060,4109720,84416
India,2020-09-18,92973,95515,1221,5305033,4205235,85637
India,2020-09-19,92574,94389,1149,5397607,4299624,86786
India,2020-09-20,87395,92926,1135,5485002,4392550,87921
India,2020-09-21,74493,102070,1056,5559495,4494620,88977
India,2020-09-22,83362,89657,1085,5642857,4584277,90062
India,2020-09-23,86703,87459,1123,5729560,4671736,91185
India,2020-09-24,85921,81142,1144,5815481,4752878,92329
India,2020-09-25,85717,93331,1093,5901198,4846209,93422
India,2020-09-26,88759,92365,1124,5989957,4938574,94546
India,2020-09-27,82770,74691,1040,6072727,5013265,95586
India,2020-09-28,69669,85198,775,6142396,5098463,96361
India,2020-09-29,80500,86150,1178,6222896,5184613,97539
India,2020-09-30,86748,85274,1179,6309644,5269887,98718
India,2020-10-01,81784,78731,1099,6391428,5348618,99817
India,2020-10-02,79883,76339,1068,6471311,5424957,100885
India,2020-10-03,75479,81655,937,6546790,5506612,101822
India,2020-10-04,74770,76713,903,6621560,5583325,102725
India,2020-10-05,60130,75855,886,6681690,5659180,103611
India,2020-10-06,71869,81945,990,6753559,5741125,104601
India,2020-10-07,78809,83209,963,6832368,5824334,105564
India,2020-10-08,70797,78745,967,6903165,5903079,106531
India,2020-10-09,73305,82628,929,6976470,5985707,107460
India,2020-10-10,74418,89024,921,7050888,6074731,108381
India,2020-10-11,67789,71565,813,7118677,6146296,109194
India,2020-10-12,54262,78365,710,7172939,6224661,109904
India,2020-10-13,63717,74079,727,7236656,6298740,110631
India,2020-10-14,67811,81582,690,7304467,6380322,111321
India,2020-10-15,63441,70792,882,7367908,6451114,112203
India,2020-10-16,62304,70568,840,7430212,6521682,113043
India,2020-10-17,61893,72583,1032,7492105,6594265,114075
India,2020-10-18,56519,66418,582,7548624,6660683,114657
India,2020-10-19,45506,69800,589,7594130,6730483,115246
India,2020-10-20,54348,61828,714,7648478,6792311,115960
India,2020-10-21,56264,79561,701,7704742,6871872,116661
India,2020-10-22,54371,74569,686,7759113,6946441,117347
India,2020-10-23,53931,66994,655,7813044,7013435,118002
India,2020-10-24,50366,62270,578,7863410,7075705,118580
India,2020-10-25,45922,59304,483,7909332,7135009,119063
India,2020-10-26,36019,63734,485,7945351,7198743,119548
India,2020-10-27,43036,58429,511,7988387,7257172,120059
India,2020-10-28,50188,56594,515,8038575,7313766,120574
India,2020-10-29,48765,57867,562,8087340,7371633,121136
India,2020-10-30,48117,59005,550,8135457,7430638,121686
India,2020-10-31,47228,58682,469,8182685,7489320,122155
India,2020-11-01,45928,53312,491,8228613,7542632,122646
India,2020-11-02,37592,58524,498,8266205,7601156,123144
India,2020-11-03,46027,53328,510,8312232,7654484,123654
India,2020-11-04,50465,55873,707,8362697,7710357,124361
India,2020-11-05,47628,54133,672,8410325,7764490,125033
India,2020-11-06,50017,53946,577,8460342,7818436,125610
India,2020-11-07,46153,48582,557,8506495,7867018,126167
India,2020-11-08,46707,48465,491,8553202,7915483,126658
