place,r,lower,upper,.groups
Andhra Pradesh,0.7803636041140278,0.7697756480432227,0.7910229965201709,drop_last
Assam,0.7494991171449255,0.7288618458069342,0.7704236819040177,drop_last
Bihar,0.9594903386647126,0.9348957585888162,0.9843998825344912,drop_last
Chhattisgarh,0.9671960644141939,0.9506537449202488,0.9838791436588679,drop_last
Delhi,1.0919903208828343,1.0746603364959875,1.1094572177029125,drop_last
Gujarat,0.9188040116440483,0.8953982453551751,0.9425075791212184,drop_last
Haryana,0.911373520578273,0.8878757894251109,0.9351738889215908,drop_last
India,0.8806658703937282,0.877596008710521,0.8837410204169072,drop_last
Jammu and Kashmir,0.8434070147229978,0.813907137155061,0.8734249858871377,drop_last
Jharkhand,0.7279639460411493,0.701638800073092,0.7547680821673887,drop_last
Karnataka,0.8719325660492211,0.8635778878402361,0.8803269818401837,drop_last
Kerala,0.9714292842938977,0.9618574762509343,0.9810478936848933,drop_last
Madhya Pradesh,1.0994578016815584,1.0780479830578766,1.1210776390531512,drop_last
Maharashtra,0.7897907798221643,0.7828137605260744,0.7967983356012369,drop_last
Odisha,0.8202099711649933,0.8055541781457762,0.8349961552834132,drop_last
Punjab,0.6373655667977437,0.6140070084836754,0.661156211929438,drop_last
Rajasthan,0.9637585500009542,0.945198407062455,0.9824966661897871,drop_last
Tamil Nadu,0.8764664725342549,0.8651266915200856,0.8878791411841412,drop_last
Telangana,0.8300379767096342,0.8112708977173844,0.8490168152830309,drop_last
Uttar Pradesh,0.810082807421211,0.7964249925761783,0.8238552183834899,drop_last
West Bengal,1.0677036276416758,1.0523829146854047,1.083133539985272,drop_last
