place,r,lower,upper
Andhra Pradesh,1.6696682610814801,1.655819086349032,1.6835744308386629
Assam,2.2186450144226493,2.1775180536767698,2.2601538381089568
Bihar,1.6051679667870316,1.5923740832478268,1.6180123693898585
Chhattisgarh,1.0874037276914594,1.079758611236563,1.0950754469893085
Delhi,1.2003749165898268,1.1936274234478617,1.2071411722460588
Gujarat,1.4175881916798134,1.4069688927064887,1.4282468840201954
Haryana,1.5644508970958526,1.551198870827067,1.5777586230333989
India,1.357909618538062,1.3558628272194542,1.3599579332285936
Jharkhand,1.4612108881381622,1.444548248984243,1.4779677981162713
Karnataka,1.67292619437571,1.6642554127582248,1.6816192920606439
Kerala,1.8301788412902937,1.8203073855301692,1.8400766936291078
Madhya Pradesh,1.2247420109777591,1.2153636235823837,1.2341559465208294
Maharashtra,1.024644143935039,1.021098871134053,1.0281954771383348
Odisha,1.7172857643231216,1.6980514452705153,1.7366271112270726
Punjab,1.3547196443866631,1.339422124889837,1.37010294603305
Rajasthan,1.5968342246903746,1.5854828105748506,1.6082256073034644
Tamil Nadu,1.4753880141353404,1.4645468136728994,1.4862687480065986
Telangana,1.5944799470472568,1.577767124932661,1.61127995214368
Uttar Pradesh,1.3456253064170889,1.3392617241190352,1.3520037676418604
Uttarakhand,1.7230125133287246,1.7007584928836397,1.7454097618767042
West Bengal,1.7104454769186226,1.697647670690376,1.723290932673663
