Dates,variable,value,color,type
2020-04-15,mod_2,1054,Soc. Dist. + Travel Ban,solid
2020-04-15,mod_4,91,Moderate return,solid
2020-04-15,mod_5,86,Normal (pre-intervention),solid
2020-04-15,mod_6,91,Cautious return,solid
2020-04-16,mod_2,1333,Soc. Dist. + Travel Ban,solid
2020-04-16,mod_4,88,Moderate return,solid
2020-04-16,mod_5,88,Normal (pre-intervention),solid
2020-04-16,mod_6,92,Cautious return,solid
2020-04-17,mod_2,1696,Soc. Dist. + Travel Ban,solid
2020-04-17,mod_4,92,Moderate return,solid
2020-04-17,mod_5,91,Normal (pre-intervention),solid
2020-04-17,mod_6,92,Cautious return,solid
2020-04-18,mod_2,2138,Soc. Dist. + Travel Ban,solid
2020-04-18,mod_4,93,Moderate return,solid
2020-04-18,mod_5,92,Normal (pre-intervention),solid
2020-04-18,mod_6,94,Cautious return,solid
2020-04-19,mod_2,2683,Soc. Dist. + Travel Ban,solid
2020-04-19,mod_4,98,Moderate return,solid
2020-04-19,mod_5,94,Normal (pre-intervention),solid
2020-04-19,mod_6,97,Cautious return,solid
2020-04-20,mod_2,3341,Soc. Dist. + Travel Ban,solid
2020-04-20,mod_4,98,Moderate return,solid
2020-04-20,mod_5,100,Normal (pre-intervention),solid
2020-04-20,mod_6,102,Cautious return,solid
2020-04-21,mod_2,4107,Soc. Dist. + Travel Ban,solid
2020-04-21,mod_4,106,Moderate return,solid
2020-04-21,mod_5,103,Normal (pre-intervention),solid
2020-04-21,mod_6,103,Cautious return,solid
2020-04-22,mod_2,4999,Soc. Dist. + Travel Ban,solid
2020-04-22,mod_4,106,Moderate return,solid
2020-04-22,mod_5,103,Normal (pre-intervention),solid
2020-04-22,mod_6,105,Cautious return,solid
2020-04-23,mod_2,6000,Soc. Dist. + Travel Ban,solid
2020-04-23,mod_4,117,Moderate return,solid
2020-04-23,mod_5,116,Normal (pre-intervention),solid
2020-04-23,mod_6,115,Cautious return,solid
2020-04-24,mod_2,7101,Soc. Dist. + Travel Ban,solid
2020-04-24,mod_4,127,Moderate return,solid
2020-04-24,mod_5,135,Normal (pre-intervention),solid
2020-04-24,mod_6,120,Cautious return,solid
2020-04-25,mod_2,8306,Soc. Dist. + Travel Ban,solid
2020-04-25,mod_4,144,Moderate return,solid
2020-04-25,mod_5,156,Normal (pre-intervention),solid
2020-04-25,mod_6,134,Cautious return,solid
2020-04-26,mod_2,9612,Soc. Dist. + Travel Ban,solid
2020-04-26,mod_4,161,Moderate return,solid
2020-04-26,mod_5,180,Normal (pre-intervention),solid
2020-04-26,mod_6,143,Cautious return,solid
2020-04-27,mod_2,10966,Soc. Dist. + Travel Ban,solid
2020-04-27,mod_4,180,Moderate return,solid
2020-04-27,mod_5,216,Normal (pre-intervention),solid
2020-04-27,mod_6,162,Cautious return,solid
2020-04-28,mod_2,12403,Soc. Dist. + Travel Ban,solid
2020-04-28,mod_4,204,Moderate return,solid
