Dates,variable,value,color,type
2020-04-15,mod_2,6674,Soc. Dist. + Travel Ban,solid
2020-04-15,mod_4,2632,Moderate return,solid
2020-04-15,mod_5,2630,Normal (pre-intervention),solid
2020-04-15,mod_6,2635,Cautious return,solid
2020-04-16,mod_2,7969,Soc. Dist. + Travel Ban,solid
2020-04-16,mod_4,2720,Moderate return,solid
2020-04-16,mod_5,2719,Normal (pre-intervention),solid
2020-04-16,mod_6,2726,Cautious return,solid
2020-04-17,mod_2,9614,Soc. Dist. + Travel Ban,solid
2020-04-17,mod_4,2810,Moderate return,solid
2020-04-17,mod_5,2808,Normal (pre-intervention),solid
2020-04-17,mod_6,2819,Cautious return,solid
2020-04-18,mod_2,11683,Soc. Dist. + Travel Ban,solid
2020-04-18,mod_4,2906,Moderate return,solid
2020-04-18,mod_5,2900,Normal (pre-intervention),solid
2020-04-18,mod_6,2915,Cautious return,solid
2020-04-19,mod_2,14267,Soc. Dist. + Travel Ban,solid
2020-04-19,mod_4,3001,Moderate return,solid
2020-04-19,mod_5,2995,Normal (pre-intervention),solid
2020-04-19,mod_6,3015,Cautious return,solid
2020-04-20,mod_2,17456,Soc. Dist. + Travel Ban,solid
2020-04-20,mod_4,3096,Moderate return,solid
2020-04-20,mod_5,3092,Normal (pre-intervention),solid
2020-04-20,mod_6,3118,Cautious return,solid
2020-04-21,mod_2,21361,Soc. Dist. + Travel Ban,solid
2020-04-21,mod_4,3197,Moderate return,solid
2020-04-21,mod_5,3188,Normal (pre-intervention),solid
2020-04-21,mod_6,3225,Cautious return,solid
2020-04-22,mod_2,26051,Soc. Dist. + Travel Ban,solid
2020-04-22,mod_4,3304,Moderate return,solid
2020-04-22,mod_5,3291,Normal (pre-intervention),solid
2020-04-22,mod_6,3337,Cautious return,solid
2020-04-23,mod_2,31651,Soc. Dist. + Travel Ban,solid
2020-04-23,mod_4,3421,Moderate return,solid
2020-04-23,mod_5,3409,Normal (pre-intervention),solid
2020-04-23,mod_6,3459,Cautious return,solid
2020-04-24,mod_2,38255,Soc. Dist. + Travel Ban,solid
2020-04-24,mod_4,3553,Moderate return,solid
2020-04-24,mod_5,3543,Normal (pre-intervention),solid
2020-04-24,mod_6,3589,Cautious return,solid
2020-04-25,mod_2,45982,Soc. Dist. + Travel Ban,solid
2020-04-25,mod_4,3695,Moderate return,solid
2020-04-25,mod_5,3697,Normal (pre-intervention),solid
2020-04-25,mod_6,3731,Cautious return,solid
2020-04-26,mod_2,54921,Soc. Dist. + Travel Ban,solid
2020-04-26,mod_4,3850,Moderate return,solid
