Dates,variable,value,color
2020-04-11,mod_4,2311,blue
2020-04-11,mod_4_up,18174,blue
2020-04-12,mod_3,12694,red
2020-04-12,mod_3_up,78441,red
2020-04-12,mod_2,4280,green
2020-04-12,mod_2_up,31407,green
2020-04-12,mod_4,2395,blue
2020-04-12,mod_4_up,18969,blue
2020-04-13,mod_3,17256,red
2020-04-13,mod_3_up,103033,red
2020-04-13,mod_2,4963,green
2020-04-13,mod_2_up,36049,green
2020-04-13,mod_4,2478,blue
2020-04-13,mod_4_up,19686,blue
2020-04-14,mod_3,23543,red
2020-04-14,mod_3_up,134153,red
2020-04-14,mod_2,5820,green
2020-04-14,mod_2_up,41632,green
2020-04-14,mod_4,2561,blue
2020-04-14,mod_4_up,20528,blue
2020-04-15,mod_3,32005,red
2020-04-15,mod_3_up,178683,red
2020-04-15,mod_2,6905,green
2020-04-15,mod_2_up,47876,green
2020-04-15,mod_4,2648,blue
2020-04-15,mod_4_up,21121,blue
2020-04-16,mod_3,43093,red
2020-04-16,mod_3_up,235983,red
2020-04-16,mod_2,8265,green
2020-04-16,mod_2_up,55710,green
2020-04-16,mod_4,2737,blue
2020-04-16,mod_4_up,21936,blue
2020-04-17,mod_3,57292,red
2020-04-17,mod_3_up,315014,red
2020-04-17,mod_2,9976,green
2020-04-17,mod_2_up,64781,green
2020-04-17,mod_4,2825,blue
2020-04-17,mod_4_up,22873,blue
2020-04-18,mod_3,75066,red
2020-04-18,mod_3_up,420773,red
2020-04-18,mod_2,12126,green
2020-04-18,mod_2_up,76041,green
2020-04-18,mod_4,2920,blue
2020-04-18,mod_4_up,23604,blue
2020-04-19,mod_3,96887,red
2020-04-19,mod_3_up,564219,red
2020-04-19,mod_2,14810,green
2020-04-19,mod_2_up,89447,green
2020-04-19,mod_4,3014,blue
2020-04-19,mod_4_up,24455,blue
2020-04-20,mod_3,123137,red
2020-04-20,mod_3_up,752304,red
2020-04-20,mod_2,18138,green
2020-04-20,mod_2_up,105753,green
2020-04-20,mod_4,3108,blue
2020-04-20,mod_4_up,25462,blue
2020-04-21,mod_3,154124,red
2020-04-21,mod_3_up,1004123,red
2020-04-21,mod_2,22211,green
2020-04-21,mod_2_up,125125,green
2020-04-21,mod_4,3205,blue
2020-04-21,mod_4_up,26342,blue
2020-04-22,mod_3,190046,red
2020-04-22,mod_3_up,1339243,red
2020-04-22,mod_2,27150,green
2020-04-22,mod_2_up,149217,green
2020-04-22,mod_4,3308,blue
2020-04-22,mod_4_up,27086,blue
2020-04-23,mod_3,231005,red
2020-04-23,mod_3_up,1765465,red
2020-04-23,mod_2,33054,green
2020-04-23,mod_2_up,177574,green
2020-04-23,mod_4,3419,blue
2020-04-23,mod_4_up,28131,blue
2020-04-24,mod_3,277005,red
2020-04-24,mod_3_up,2305763,red
2020-04-24,mod_2,40033,green
2020-04-24,mod_2_up,212528,green
2020-04-24,mod_4,3542,blue
2020-04-24,mod_4_up,29052,blue
2020-04-25,mod_3,327985,red
2020-04-25,mod_3_up,2985077,red
2020-04-25,mod_2,48186,green
2020-04-25,mod_2_up,253519,green
2020-04-25,mod_4,3678,blue
