place,r,lower,upper
Andhra Pradesh,1.88493810810492,1.859364493020666,1.9106860211415444
Assam,2.5556259828295422,2.453381140560414,2.659941384766516
Bihar,2.601728575752279,2.566627698841732,2.6370692191234895
Chhattisgarh,1.571013428949116,1.5592479711119376,1.5828225595980474
Delhi,2.265821525660775,2.248792908179978,2.2829146491213916
Gujarat,1.7547317421879598,1.7359660896866762,1.7735977929187379
Haryana,1.8267005315324438,1.8028861122032258,1.8506713863573856
India,1.5639698116782879,1.5608034219507363,1.5671393831360567
Jammu and Kashmir,1.5689498054890438,1.5270583965463373,1.6114013115331993
Jharkhand,1.9833114762280988,1.950528824248431,2.016365747565557
Karnataka,1.7195701483865917,1.705157904844506,1.7340428996879196
Kerala,1.917479440843892,1.8983991385012653,1.9366551127621916
Madhya Pradesh,1.9128851573816745,1.8941373876082728,1.9317253246721342
Maharashtra,1.1392828454163044,1.1351964940366517,1.143376439943533
Odisha,2.3617377131749597,2.3152810179595615,2.408658505554545
Punjab,1.1648808712137326,1.1477213111846216,1.1821662609811503
Rajasthan,2.0180246214788444,1.994812898118693,2.0413697985683195
Tamil Nadu,1.6563140525735485,1.639162927272401,1.6735536019251158
Telangana,1.7127463972238395,1.6851328539266044,1.740582067856237
Uttar Pradesh,2.4809325431405713,2.464359514734853,2.4975612366031212
West Bengal,2.0063539263179537,1.981941541533177,2.030915195608361
