Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,text
2020-04-30,mod_2,8316,48304,Soc. Dist. + Travel Ban,solid,Apr 30,"8,316","Apr 30: 8,316 projected cases per day"
2020-04-30,mod_4,278,3461,Moderate return,solid,Apr 30,278,Apr 30: 278 projected cases per day
2020-04-30,mod_5,364,3315,Normal (pre-intervention),solid,Apr 30,364,Apr 30: 364 projected cases per day
2020-04-30,mod_6,229,2152,Cautious return,solid,Apr 30,229,Apr 30: 229 projected cases per day
2020-05-01,mod_2,9990,56272,Soc. Dist. + Travel Ban,solid,May 01,"9,990","May 01: 9,990 projected cases per day"
2020-05-01,mod_4,292,2820,Moderate return,solid,May 01,292,May 01: 292 projected cases per day
2020-05-01,mod_5,408,4069,Normal (pre-intervention),solid,May 01,408,May 01: 408 projected cases per day
2020-05-01,mod_6,244,2557,Cautious return,solid,May 01,244,May 01: 244 projected cases per day
2020-05-02,mod_2,11951,66348,Soc. Dist. + Travel Ban,solid,May 02,"11,951","May 02: 11,951 projected cases per day"
2020-05-02,mod_4,322,2992,Moderate return,solid,May 02,322,May 02: 322 projected cases per day
2020-05-02,mod_5,477,4586,Normal (pre-intervention),solid,May 02,477,May 02: 477 projected cases per day
2020-05-02,mod_6,255,2667,Cautious return,solid,May 02,255,May 02: 255 projected cases per day
2020-05-03,mod_2,14186,78286,Soc. Dist. + Travel Ban,solid,May 03,"14,186","May 03: 14,186 projected cases per day"
2020-05-03,mod_4,359,3203,Moderate return,solid,May 03,359,May 03: 359 projected cases per day
2020-05-03,mod_5,552,5325,Normal (pre-intervention),solid,May 03,552,May 03: 552 projected cases per day
2020-05-03,mod_6,273,1939,Cautious return,solid,May 03,273,May 03: 273 projected cases per day
2020-05-04,mod_2,16747,90578,Soc. Dist. + Travel Ban,solid,May 04,"16,747","May 04: 16,747 projected cases per day"
2020-05-04,mod_4,394,4215,Moderate return,solid,May 04,394,May 04: 394 projected cases per day
