Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,text
2020-04-30,mod_2,12904,73037,Soc. Dist. + Travel Ban,solid,Apr 30,"12,904","Apr 30: 12,904 projected cases per day"
2020-04-30,mod_4,302,2568,Moderate return,solid,Apr 30,302,Apr 30: 302 projected cases per day
2020-04-30,mod_5,316,3019,Normal (pre-intervention),solid,Apr 30,316,Apr 30: 316 projected cases per day
2020-04-30,mod_6,295,2275,Cautious return,solid,Apr 30,295,Apr 30: 295 projected cases per day
2020-05-01,mod_2,15528,91375,Soc. Dist. + Travel Ban,solid,May 01,"15,528","May 01: 15,528 projected cases per day"
2020-05-01,mod_4,320,2918,Moderate return,solid,May 01,320,May 01: 320 projected cases per day
2020-05-01,mod_5,341,2062,Normal (pre-intervention),solid,May 01,341,May 01: 341 projected cases per day
2020-05-01,mod_6,314,2490,Cautious return,solid,May 01,314,May 01: 314 projected cases per day
2020-05-02,mod_2,18497,105304,Soc. Dist. + Travel Ban,solid,May 02,"18,497","May 02: 18,497 projected cases per day"
2020-05-02,mod_4,337,2792,Moderate return,solid,May 02,337,May 02: 337 projected cases per day
2020-05-02,mod_5,387,3893,Normal (pre-intervention),solid,May 02,387,May 02: 387 projected cases per day
2020-05-02,mod_6,335,3006,Cautious return,solid,May 02,335,May 02: 335 projected cases per day
2020-05-03,mod_2,21879,123373,Soc. Dist. + Travel Ban,solid,May 03,"21,879","May 03: 21,879 projected cases per day"
2020-05-03,mod_4,372,3260,Moderate return,solid,May 03,372,May 03: 372 projected cases per day
2020-05-03,mod_5,425,3675,Normal (pre-intervention),solid,May 03,425,May 03: 425 projected cases per day
2020-05-03,mod_6,345,3728,Cautious return,solid,May 03,345,May 03: 345 projected cases per day
2020-05-04,mod_2,25599,147416,Soc. Dist. + Travel Ban,solid,May 04,"25,599","May 04: 25,599 projected cases per day"
2020-05-04,mod_4,409,2988,Moderate return,solid,May 04,409,May 04: 409 projected cases per day
2020-05-04,mod_5,476,4036,Normal (pre-intervention),solid,May 04,476,May 04: 476 projected cases per day
2020-05-04,mod_6,357,2690,Cautious return,solid,May 04,357,May 04: 357 projected cases per day
2020-05-05,mod_2,29751,182677,Soc. Dist. + Travel Ban,solid,May 05,"29,751","May 05: 29,751 projected cases per day"
