Dates	variable	value	upper_ci	color	type
2020-05-08	mod_4	1020	8411	Lockdown with moderate release	solid
2020-05-09	mod_2	32287	204517	Social distancing	solid
2020-05-09	mod_3	172591	1796584	No intervention	solid
2020-05-09	mod_4	1077	8846	Lockdown with moderate release	solid
2020-05-10	mod_2	38916	250700	Social distancing	solid
2020-05-10	mod_3	204413	2264213	No intervention	solid
2020-05-10	mod_4	1145	9386	Lockdown with moderate release	solid
2020-05-11	mod_2	46519	305175	Social distancing	solid
2020-05-11	mod_3	239280	2791214	No intervention	solid
2020-05-11	mod_4	1226	10057	Lockdown with moderate release	solid
2020-05-12	mod_2	55152	373106	Social distancing	solid
2020-05-12	mod_3	277073	3356384	No intervention	solid
2020-05-12	mod_4	1326	10662	Lockdown with moderate release	solid
2020-05-13	mod_2	64838	457445	Social distancing	solid
2020-05-13	mod_3	317646	3961013	No intervention	solid
2020-05-13	mod_4	1451	11463	Lockdown with moderate release	solid
2020-05-14	mod_2	75628	557223	Social distancing	solid
2020-05-14	mod_3	360791	4594279	No intervention	solid
2020-05-14	mod_4	1610	12259	Lockdown with moderate release	solid
2020-05-15	mod_2	87530	677579	Social distancing	solid
2020-05-15	mod_3	406314	5264222	No intervention	solid
2020-05-15	mod_4	1815	13361	Lockdown with moderate release	solid
2020-05-16	mod_2	100540	823433	Social distancing	solid
2020-05-16	mod_3	453976	5941306	No intervention	solid
2020-05-16	mod_4	2079	14477	Lockdown with moderate release	solid
2020-05-17	mod_2	114653	997097	Social distancing	solid
2020-05-17	mod_3	503551	6644090	No intervention	solid
2020-05-17	mod_4	2425	15861	Lockdown with moderate release	solid
2020-05-18	mod_2	129858	1194387	Social distancing	solid
2020-05-18	mod_3	554819	7310836	No intervention	solid
2020-05-18	mod_4	2878	17589	Lockdown with moderate release	solid
2020-05-19	mod_2	146109	1423767	Social distancing	solid
2020-05-19	mod_3	607544	7972861	No intervention	solid
2020-05-19	mod_4	3476	19527	Lockdown with moderate release	solid
2020-05-20	mod_2	163360	1674516	Social distancing	solid
2020-05-20	mod_3	661491	8580593	No intervention	solid
2020-05-20	mod_4	4260	21961	Lockdown with moderate release	solid
2020-05-21	mod_2	181570	1954961	Social distancing	solid
2020-05-21	mod_3	716437	9140934	No intervention	solid
2020-05-21	mod_4	5259	24734	Lockdown with moderate release	solid
2020-05-22	mod_2	200690	2257142	Social distancing	solid
2020-05-22	mod_3	772205	9666092	No intervention	solid
2020-05-22	mod_4	6514	28335	Lockdown with moderate release	solid
2020-05-23	mod_2	220654	2585028	Social distancing	solid
2020-05-23	mod_3	828567	10133499	No intervention	solid
2020-05-23	mod_4	8058	32397	Lockdown with moderate release	solid
2020-05-24	mod_2	241419	2933159	Social distancing	solid
2020-05-24	mod_3	885338	10568893	No intervention	solid
2020-05-24	mod_4	9935	37314	Lockdown with moderate release	solid
2020-05-25	mod_2	262911	3309933	Social distancing	solid
2020-05-25	mod_3	942360	10943266	No intervention	solid
2020-05-25	mod_4	12184	42866	Lockdown with moderate release	solid
2020-05-26	mod_2	285071	3707006	Social distancing	solid
2020-05-26	mod_3	999522	11275434	No intervention	solid
2020-05-26	mod_4	14838	49457	Lockdown with moderate release	solid
2020-05-27	mod_2	307813	4119004	Social distancing	solid
2020-05-27	mod_3	1056615	11571309	No intervention	solid
2020-05-27	mod_4	17934	57804	Lockdown with moderate release	solid
2020-05-28	mod_2	331095	4547696	Social distancing	solid
2020-05-28	mod_3	1113523	11827107	No intervention	solid
2020-05-28	mod_4	21494	67146	Lockdown with moderate release	solid
2020-05-29	mod_2	354837	4987382	Social distancing	solid
2020-05-29	mod_3	1170107	12045989	No intervention	solid
2020-05-29	mod_4	25545	78741	Lockdown with moderate release	solid
2020-05-30	mod_2	378984	5430931	Social distancing	solid
2020-05-30	mod_3	1226266	12228922	No intervention	solid
2020-05-30	mod_4	30077	91129	Lockdown with moderate release	solid
2020-05-31	mod_2	403459	5877851	Social distancing	solid
2020-05-31	mod_3	1281875	12392870	No intervention	solid
2020-05-31	mod_4	35115	107823	Lockdown with moderate release	solid
2020-06-01	mod_2	428205	6309647	Social distancing	solid
2020-06-01	mod_3	1336905	12547397	No intervention	solid
2020-06-01	mod_4	40648	125428	Lockdown with moderate release	solid
