place,r,lower,upper
Andhra Pradesh,1.885383247912477,1.8655586729868752,1.905312076828985
Assam,2.3712326825525585,2.3060891081275,2.437307816188802
Bihar,2.1940959068033887,2.1725662076236363,2.2157314448567176
Chhattisgarh,1.2223882977851805,1.2135906665435274,1.2312172689194842
Delhi,1.9399233015620267,1.928607106711467,1.9512722694503764
Gujarat,1.71952748387299,1.7046351123410934,1.7344840801743813
Haryana,1.8214239013801226,1.8026310336021119,1.8403133649414152
India,1.543160776755129,1.5405170732860767,1.5458067227341148
Jammu and Kashmir,1.5394621029815752,1.5047383264475558,1.5745800838787918
Jharkhand,1.7425897375437203,1.71921771822488,1.7661184080759664
Karnataka,1.8063755504432941,1.7944723709145949,1.8183178209060662
Kerala,2.1497176811556207,2.134307719983525,2.1651833653378287
Madhya Pradesh,1.6951308857704201,1.6813968722809278,1.7089200821452797
Maharashtra,1.1105920913864258,1.1067495649204435,1.1144411852318474
Odisha,2.1704917498231104,2.1393431864151453,2.201865173244928
Punjab,1.3221070306859597,1.304927203389448,1.3393979367460538
Rajasthan,1.9415409474855265,1.9245152123248641,1.9586416291107511
Tamil Nadu,1.5638010174256811,1.550092289435129,1.5775695137192958
Telangana,1.7008088803975046,1.6786822519081537,1.7230795726787347
Uttar Pradesh,1.8933984227661333,1.883419511086598,1.9034034167740879
West Bengal,1.8260586778467638,1.8084474727271864,1.8437546451691895
