place,r,lower,upper
Andhra Pradesh,1.2428730335275318,1.1477078181309124,1.3417896507812939
Assam,0.992786833422229,0.8008046155120525,1.2051104668394907
Bihar,0.8563821628272099,0.7327560067870548,0.9895261628752213
Chhattisgarh,1.3341746934961876,1.2711641688143156,1.3987011383323533
Delhi,1.3699181559807692,1.3034001703376976,1.4380733712149047
Gujarat,1.309490965984002,1.2627802945865323,1.3570399439579306
Haryana,1.5380547476019875,1.4629571833926907,1.6150121772696044
India,1.1999532618090847,1.1923935451051733,1.2075365845255432
Jammu and Kashmir,1.0305297190196074,0.9350033158299045,1.130637734050192
Karnataka,1.2599276329577438,1.2164401577314357,1.3041701306128763
Kerala,0.7454999241583872,0.7317407791763396,0.7593856393139126
Madhya Pradesh,1.2554851926408914,1.20544408971058,1.3065312975885293
Maharashtra,1.3138411783254142,1.302973306370975,1.324753721892645
Odisha,0.8514936079717506,0.7627235429572411,0.9450882006530897
Punjab,1.5535591840821,1.5134332976133011,1.594204181544217
Rajasthan,1.3160188781224247,1.2342691413626006,1.400353308279827
Tamil Nadu,1.1841865365152284,1.1417249509245009,1.2274136143151069
Telangana,0.967858978282945,0.9021764531589731,1.0358193305526975
Uttar Pradesh,1.154931937315818,1.0656175314756482,1.2477921109676497
West Bengal,1.0995587871825265,1.0364619178681522,1.1644944616155777
