Dates,variable,value,color,type
2020-04-15,mod_2,1153,Soc. Dist. + Travel Ban,solid
2020-04-15,mod_2_up,7587,Soc. Dist. + Travel Ban CI,solid
2020-04-15,mod_3_up,44530,No Intervention CI,solid
2020-04-15,mod_4,311,Moderate return,solid
2020-04-15,mod_4_up,2194,Moderate return CI,solid
2020-04-15,mod_5,310,Normal (pre-intervention),solid
2020-04-15,mod_5_up,1965,Normal (pre-intervention) CI,solid
2020-04-15,mod_6,306,Cautious return,solid
2020-04-15,mod_6_up,2096,Cautious return CI,solid
2020-04-16,mod_2,1432,Soc. Dist. + Travel Ban,solid
2020-04-16,mod_2_up,7927,Soc. Dist. + Travel Ban CI,solid
2020-04-16,mod_3_up,57300,No Intervention CI,solid
2020-04-16,mod_4,322,Moderate return,solid
2020-04-16,mod_4_up,1876,Moderate return CI,solid
2020-04-16,mod_5,322,Normal (pre-intervention),solid
2020-04-16,mod_5_up,2495,Normal (pre-intervention) CI,solid
2020-04-16,mod_6,312,Cautious return,solid
2020-04-16,mod_6_up,2367,Cautious return CI,solid
2020-04-17,mod_2,1785,Soc. Dist. + Travel Ban,solid
2020-04-17,mod_2_up,10120,Soc. Dist. + Travel Ban CI,solid
2020-04-17,mod_3_up,79031,No Intervention CI,solid
2020-04-17,mod_4,323,Moderate return,solid
2020-04-17,mod_4_up,2140,Moderate return CI,solid
2020-04-17,mod_5,320,Normal (pre-intervention),solid
2020-04-17,mod_5_up,2054,Normal (pre-intervention) CI,solid
2020-04-17,mod_6,313,Cautious return,solid
2020-04-17,mod_6_up,1976,Cautious return CI,solid
2020-04-18,mod_2,2205,Soc. Dist. + Travel Ban,solid
2020-04-18,mod_2_up,11619,Soc. Dist. + Travel Ban CI,solid
2020-04-18,mod_3_up,105759,No Intervention CI,solid
2020-04-18,mod_4,339,Moderate return,solid
2020-04-18,mod_4_up,2695,Moderate return CI,solid
2020-04-18,mod_5,338,Normal (pre-intervention),solid
2020-04-18,mod_5_up,2321,Normal (pre-intervention) CI,solid
2020-04-18,mod_6,326,Cautious return,solid
2020-04-18,mod_6_up,2358,Cautious return CI,solid
2020-04-19,mod_2,2722,Soc. Dist. + Travel Ban,solid
2020-04-19,mod_2_up,14153,Soc. Dist. + Travel Ban CI,solid
2020-04-19,mod_3_up,143446,No Intervention CI,solid
2020-04-19,mod_4,347,Moderate return,solid
2020-04-19,mod_4_up,2148,Moderate return CI,solid
2020-04-19,mod_5,334,Normal (pre-intervention),solid
2020-04-19,mod_5_up,2345,Normal (pre-intervention) CI,solid
2020-04-19,mod_6,334,Cautious return,solid
2020-04-19,mod_6_up,2303,Cautious return CI,solid
2020-04-20,mod_2,3329,Soc. Dist. + Travel Ban,solid
2020-04-20,mod_2_up,16663,Soc. Dist. + Travel Ban CI,solid
