Dates,variable,value,color,type
2020-08-16,mod_5,3321001,Normal (pre-intervention),solid
2020-08-16,mod_6,1153934,Cautious return,solid
2020-08-17,mod_2,3362801,Soc. Dist. + Travel Ban,solid
2020-08-17,mod_4,2095086,Moderate return,solid
2020-08-17,mod_5,3333780,Normal (pre-intervention),solid
2020-08-17,mod_6,1165438,Cautious return,solid
2020-08-18,mod_2,3379053,Soc. Dist. + Travel Ban,solid
2020-08-18,mod_4,2109228,Moderate return,solid
2020-08-18,mod_5,3346253,Normal (pre-intervention),solid
2020-08-18,mod_6,1176776,Cautious return,solid
2020-08-19,mod_2,3395038,Soc. Dist. + Travel Ban,solid
2020-08-19,mod_4,2123159,Moderate return,solid
2020-08-19,mod_5,3358416,Normal (pre-intervention),solid
2020-08-19,mod_6,1188020,Cautious return,solid
2020-08-20,mod_2,3410794,Soc. Dist. + Travel Ban,solid
2020-08-20,mod_4,2136815,Moderate return,solid
2020-08-20,mod_5,3370321,Normal (pre-intervention),solid
2020-08-20,mod_6,1199095,Cautious return,solid
2020-08-21,mod_2,3426369,Soc. Dist. + Travel Ban,solid
2020-08-21,mod_4,2150267,Moderate return,solid
2020-08-21,mod_5,3381942,Normal (pre-intervention),solid
2020-08-21,mod_6,1210058,Cautious return,solid
2020-08-22,mod_2,3441669,Soc. Dist. + Travel Ban,solid
2020-08-22,mod_4,2163501,Moderate return,solid
2020-08-22,mod_5,3393298,Normal (pre-intervention),solid
2020-08-22,mod_6,1220868,Cautious return,solid
2020-08-23,mod_2,3456719,Soc. Dist. + Travel Ban,solid
2020-08-23,mod_4,2176498,Moderate return,solid
2020-08-23,mod_5,3404412,Normal (pre-intervention),solid
2020-08-23,mod_6,1231582,Cautious return,solid
2020-08-24,mod_2,3471534,Soc. Dist. + Travel Ban,solid
2020-08-24,mod_4,2189237,Moderate return,solid
2020-08-24,mod_5,3415281,Normal (pre-intervention),solid
2020-08-24,mod_6,1242189,Cautious return,solid
2020-08-25,mod_2,3486159,Soc. Dist. + Travel Ban,solid
2020-08-25,mod_4,2201776,Moderate return,solid
2020-08-25,mod_5,3425934,Normal (pre-intervention),solid
2020-08-25,mod_6,1252652,Cautious return,solid
2020-08-26,mod_2,3500570,Soc. Dist. + Travel Ban,solid
2020-08-26,mod_4,2214116,Moderate return,solid
2020-08-26,mod_5,3436350,Normal (pre-intervention),solid
2020-08-26,mod_6,1262973,Cautious return,solid
2020-08-27,mod_2,3514696,Soc. Dist. + Travel Ban,solid
2020-08-27,mod_4,2226253,Moderate return,solid
2020-08-27,mod_5,3446514,Normal (pre-intervention),solid
2020-08-27,mod_6,1273222,Cautious return,solid
2020-08-28,mod_2,3528648,Soc. Dist. + Travel Ban,solid
2020-08-28,mod_4,2238144,Moderate return,solid
2020-08-28,mod_5,3456449,Normal (pre-intervention),solid
2020-08-28,mod_6,1283302,Cautious return,solid
2020-08-29,mod_2,3542321,Soc. Dist. + Travel Ban,solid
2020-08-29,mod_4,2249828,Moderate return,solid
2020-08-29,mod_5,3466194,Normal (pre-intervention),solid
2020-08-29,mod_6,1293310,Cautious return,solid
2020-08-30,mod_2,3555850,Soc. Dist. + Travel Ban,solid
2020-08-30,mod_4,2261296,Moderate return,solid
2020-08-30,mod_5,3475655,Normal (pre-intervention),solid
2020-08-30,mod_6,1303156,Cautious return,solid
2020-08-31,mod_2,3569183,Soc. Dist. + Travel Ban,solid
2020-08-31,mod_4,2272620,Moderate return,solid
2020-08-31,mod_5,3484941,Normal (pre-intervention),solid
2020-08-31,mod_6,1312883,Cautious return,solid
2020-09-01,mod_2,3582315,Soc. Dist. + Travel Ban,solid
2020-09-01,mod_4,2283699,Moderate return,solid
2020-09-01,mod_5,3494062,Normal (pre-intervention),solid
2020-09-01,mod_6,1322498,Cautious return,solid
2020-09-02,mod_2,3595216,Soc. Dist. + Travel Ban,solid
2020-09-02,mod_4,2294669,Moderate return,solid
2020-09-02,mod_5,3503006,Normal (pre-intervention),solid
2020-09-02,mod_6,1332002,Cautious return,solid
2020-09-03,mod_2,3607918,Soc. Dist. + Travel Ban,solid
2020-09-03,mod_4,2305413,Moderate return,solid
2020-09-03,mod_5,3511731,Normal (pre-intervention),solid
2020-09-03,mod_6,1341385,Cautious return,solid
2020-09-04,mod_2,3620447,Soc. Dist. + Travel Ban,solid
2020-09-04,mod_4,2315958,Moderate return,solid
2020-09-04,mod_5,3520275,Normal (pre-intervention),solid
2020-09-04,mod_6,1350628,Cautious return,solid
2020-09-05,mod_2,3632808,Soc. Dist. + Travel Ban,solid
2020-09-05,mod_4,2326334,Moderate return,solid
2020-09-05,mod_5,3528610,Normal (pre-intervention),solid
2020-09-05,mod_6,1359792,Cautious return,solid
2020-09-06,mod_2,3644974,Soc. Dist. + Travel Ban,solid
2020-09-06,mod_4,2336512,Moderate return,solid
2020-09-06,mod_5,3536828,Normal (pre-intervention),solid
2020-09-06,mod_6,1368822,Cautious return,solid
2020-09-07,mod_2,3656955,Soc. Dist. + Travel Ban,solid
2020-09-07,mod_4,2346494,Moderate return,solid
2020-09-07,mod_5,3544810,Normal (pre-intervention),solid
2020-09-07,mod_6,1377740,Cautious return,solid
2020-09-08,mod_2,3668765,Soc. Dist. + Travel Ban,solid
2020-09-08,mod_4,2356324,Moderate return,solid
2020-09-08,mod_5,3552659,Normal (pre-intervention),solid
2020-09-08,mod_6,1386545,Cautious return,solid
2020-09-09,mod_2,3680383,Soc. Dist. + Travel Ban,solid
2020-09-09,mod_4,2365988,Moderate return,solid
2020-09-09,mod_5,3560332,Normal (pre-intervention),solid
2020-09-09,mod_6,1395276,Cautious return,solid
2020-09-10,mod_2,3691803,Soc. Dist. + Travel Ban,solid
2020-09-10,mod_4,2375519,Moderate return,solid
2020-09-10,mod_5,3567873,Normal (pre-intervention),solid
2020-09-10,mod_6,1403887,Cautious return,solid
2020-09-11,mod_2,3703013,Soc. Dist. + Travel Ban,solid
2020-09-11,mod_4,2384883,Moderate return,solid
2020-09-11,mod_5,3575263,Normal (pre-intervention),solid
2020-09-11,mod_6,1412370,Cautious return,solid
2020-09-12,mod_2,3714099,Soc. Dist. + Travel Ban,solid
2020-09-12,mod_4,2394049,Moderate return,solid
2020-09-12,mod_5,3582491,Normal (pre-intervention),solid
2020-09-12,mod_6,1420779,Cautious return,solid
2020-09-13,mod_2,3725066,Soc. Dist. + Travel Ban,solid
2020-09-13,mod_4,2403047,Moderate return,solid
2020-09-13,mod_5,3589572,Normal (pre-intervention),solid
2020-09-13,mod_6,1429075,Cautious return,solid
2020-09-14,mod_2,3735809,Soc. Dist. + Travel Ban,solid
2020-09-14,mod_4,2411938,Moderate return,solid
2020-09-14,mod_5,3596495,Normal (pre-intervention),solid
2020-09-14,mod_6,1437258,Cautious return,solid
2020-09-15,mod_2,3746468,Soc. Dist. + Travel Ban,solid
2020-09-15,mod_4,2420653,Moderate return,solid
2020-09-15,mod_5,3603310,Normal (pre-intervention),solid
2020-09-15,mod_6,1445341,Cautious return,solid
