Dates,variable,value,color,type
2020-06-18,mod_2,1789282,Soc. Dist. + Travel Ban,solid
2020-06-18,mod_4,702133,Moderate return,solid
2020-06-18,mod_5,1603789,Normal (pre-intervention),solid
2020-06-18,mod_6,310768,Cautious return,solid
2020-06-19,mod_2,1826521,Soc. Dist. + Travel Ban,solid
2020-06-19,mod_4,732296,Moderate return,solid
2020-06-19,mod_5,1656414,Normal (pre-intervention),solid
2020-06-19,mod_6,324654,Cautious return,solid
2020-06-20,mod_2,1863446,Soc. Dist. + Travel Ban,solid
2020-06-20,mod_4,762541,Moderate return,solid
2020-06-20,mod_5,1708064,Normal (pre-intervention),solid
2020-06-20,mod_6,338731,Cautious return,solid
2020-06-21,mod_2,1900002,Soc. Dist. + Travel Ban,solid
2020-06-21,mod_4,792800,Moderate return,solid
2020-06-21,mod_5,1758699,Normal (pre-intervention),solid
2020-06-21,mod_6,353019,Cautious return,solid
2020-06-22,mod_2,1936210,Soc. Dist. + Travel Ban,solid
2020-06-22,mod_4,823022,Moderate return,solid
2020-06-22,mod_5,1808348,Normal (pre-intervention),solid
2020-06-22,mod_6,367471,Cautious return,solid
2020-06-23,mod_2,1972034,Soc. Dist. + Travel Ban,solid
2020-06-23,mod_4,853253,Moderate return,solid
2020-06-23,mod_5,1857009,Normal (pre-intervention),solid
2020-06-23,mod_6,382073,Cautious return,solid
2020-06-24,mod_2,2007510,Soc. Dist. + Travel Ban,solid
2020-06-24,mod_4,883389,Moderate return,solid
2020-06-24,mod_5,1904642,Normal (pre-intervention),solid
2020-06-24,mod_6,396815,Cautious return,solid
2020-06-25,mod_2,2042572,Soc. Dist. + Travel Ban,solid
2020-06-25,mod_4,913386,Moderate return,solid
2020-06-25,mod_5,1951262,Normal (pre-intervention),solid
2020-06-25,mod_6,411691,Cautious return,solid
2020-06-26,mod_2,2077206,Soc. Dist. + Travel Ban,solid
2020-06-26,mod_4,943306,Moderate return,solid
2020-06-26,mod_5,1996932,Normal (pre-intervention),solid
2020-06-26,mod_6,426663,Cautious return,solid
2020-06-27,mod_2,2111523,Soc. Dist. + Travel Ban,solid
2020-06-27,mod_4,973019,Moderate return,solid
2020-06-27,mod_5,2041565,Normal (pre-intervention),solid
2020-06-27,mod_6,441760,Cautious return,solid
2020-06-28,mod_2,2145432,Soc. Dist. + Travel Ban,solid
2020-06-28,mod_4,1002588,Moderate return,solid
2020-06-28,mod_5,2085208,Normal (pre-intervention),solid
2020-06-28,mod_6,456943,Cautious return,solid
2020-06-29,mod_2,2178916,Soc. Dist. + Travel Ban,solid
2020-06-29,mod_4,1031954,Moderate return,solid
2020-06-29,mod_5,2127938,Normal (pre-intervention),solid
2020-06-29,mod_6,472193,Cautious return,solid
2020-06-30,mod_2,2211976,Soc. Dist. + Travel Ban,solid
2020-06-30,mod_4,1061129,Moderate return,solid
2020-06-30,mod_5,2169690,Normal (pre-intervention),solid
2020-06-30,mod_6,487540,Cautious return,solid
