place,r,lower,upper
Andhra Pradesh,0.8213712041548384,0.7296451499547477,0.9184635792572378
Assam,1.0205892855759455,0.7833990811016945,1.2896376075591527
Bihar,0.785706224217442,0.6954667153426474,0.8813825421165071
Chhattisgarh,0.8533456813207952,0.8070049237335669,0.9009631949234407
Delhi,1.0033992799727223,0.9289214460410532,1.0807093311925464
Gujarat,0.991725700068938,0.9389763795846451,1.0458962586342848
Haryana,1.0582617487538737,0.9636144627918986,1.1572810989966986
India,1.0592473026512346,1.0508096360297123,1.0677182915572196
Jammu and Kashmir,1.167999590863307,1.051440716331769,1.2906019320694195
Jharkhand,0.8991396434194182,0.7787181577015396,1.0280936552897144
Karnataka,0.9679839776555469,0.9263271609793486,1.0105442119757855
Kerala,0.8737607130376868,0.862459886538399,0.8851340946181915
Madhya Pradesh,1.2284838067109831,1.1586029076787225,1.3003888716298417
Maharashtra,1.5040702787197093,1.4841669091242629,1.5241057436801155
Odisha,0.8422541389464236,0.7554185106840925,0.9337502016606364
Punjab,1.2350674677436058,1.171286411431356,1.300521420401987
Rajasthan,0.915604244480848,0.8343896169861302,1.0005387143528766
Tamil Nadu,0.95774812770643,0.9189589770687606,0.9973279312319314
Telangana,0.9641245523240715,0.8946536785645263,1.0361587724107117
Uttar Pradesh,0.7092983712296873,0.6456106578872209,0.7759471505304077
West Bengal,0.9056018016157185,0.8453789831260194,0.9678688407023628
