Country	Date	Case	Recovered	Death	Day
US	Mar 12	1663	12	40	10
France	Mar 13	3681	12	79	14
Germany	Mar 13	3675	46	7	13
Iran	Mar 13	11364	2959	514	17
Italy	Mar 13	17660	1439	1266	20
South Korea	Mar 13	7979	510	66	23
US	Mar 13	2179	12	47	11
France	Mar 14	4496	12	91	15
Germany	Mar 14	4585	46	9	14
India	Mar 14	102	4	2	1
Iran	Mar 14	12729	2959	611	18
Italy	Mar 14	21157	1966	1441	21
South Korea	Mar 14	8086	510	72	24
US	Mar 14	2727	12	54	12
France	Mar 15	4532	12	91	16
Germany	Mar 15	5795	46	11	15
India	Mar 15	113	13	2	2
Iran	Mar 15	13938	4590	724	19
Italy	Mar 15	24747	2335	1809	22
South Korea	Mar 15	8162	510	75	25
US	Mar 15	3499	12	63	13
France	Mar 16	6683	12	149	17
Germany	Mar 16	7272	67	17	16
India	Mar 16	119	13	2	3
Iran	Mar 16	14991	4590	853	20
Italy	Mar 16	27980	2749	2158	23
South Korea	Mar 16	8236	1137	75	26
US	Mar 16	4632	17	85	14
France	Mar 17	7715	12	149	18
Germany	Mar 17	9257	67	24	17
India	Mar 17	142	14	3	4
Iran	Mar 17	16169	5389	988	21
Italy	Mar 17	31506	2941	2503	24
South Korea	Mar 17	8320	1407	81	27
US	Mar 17	6421	17	108	15
France	Mar 18	9124	12	149	19
Germany	Mar 18	12327	105	28	18
India	Mar 18	156	14	3	5
Iran	Mar 18	17361	5389	1135	22
Italy	Mar 18	35713	4025	2978	25
South Korea	Mar 18	8413	1540	84	28
US	Mar 18	7783	105	118	16
France	Mar 19	10970	12	244	20
Germany	Mar 19	15320	113	44	19
India	Mar 19	194	15	4	6
Iran	Mar 19	18407	5710	1284	23
Italy	Mar 19	41035	4440	3405	26
South Korea	Mar 19	8565	1540	91	29
US	Mar 19	13677	121	200	17
France	Mar 20	12758	12	451	21
Germany	Mar 20	19848	180	67	20
India	Mar 20	244	20	5	7
Iran	Mar 20	19644	6745	1433	24
Italy	Mar 20	47021	4440	4032	27
South Korea	Mar 20	8652	1540	94	30
US	Mar 20	19100	147	244	18
France	Mar 21	14463	12	563	22
Germany	Mar 21	22213	233	84	21
India	Mar 21	330	23	4	8
Iran	Mar 21	20610	7635	1556	25
Italy	Mar 21	53578	6072	4825	28
US	Mar 21	25489	176	307	19
France	Mar 22	16243	2206	676	23
Germany	Mar 22	24873	266	94	22
India	Mar 22	396	27	7	9
Iran	Mar 22	21638	7931	1685	26
Italy	Mar 22	59138	7024	5476	29
US	Mar 22	33276	178	417	20
France	Mar 23	20123	2206	862	24
Germany	Mar 23	29056	266	123	23
India	Mar 23	499	27	10	10
Iran	Mar 23	23049	7931	1812	27
Italy	Mar 23	63927	7024	6077	30
