Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,text
2020-04-30,mod_2,15116,107071,Soc. Dist. + Travel Ban,solid,Apr 30,"15,116","Apr 30: 15,116 projected cases per day"
2020-04-30,mod_4,253,1933,Moderate return,solid,Apr 30,253,Apr 30: 253 projected cases per day
2020-04-30,mod_5,380,2035,Normal (pre-intervention),solid,Apr 30,380,Apr 30: 380 projected cases per day
2020-04-30,mod_6,208,1423,Cautious return,solid,Apr 30,208,Apr 30: 208 projected cases per day
2020-05-01,mod_2,16655,122080,Soc. Dist. + Travel Ban,solid,May 01,"16,655","May 01: 16,655 projected cases per day"
2020-05-01,mod_4,307,1724,Moderate return,solid,May 01,307,May 01: 307 projected cases per day
2020-05-01,mod_5,475,2626,Normal (pre-intervention),solid,May 01,475,May 01: 475 projected cases per day
2020-05-01,mod_6,235,1320,Cautious return,solid,May 01,235,May 01: 235 projected cases per day
2020-05-02,mod_2,18204,144471,Soc. Dist. + Travel Ban,solid,May 02,"18,204","May 02: 18,204 projected cases per day"
2020-05-02,mod_4,359,1657,Moderate return,solid,May 02,359,May 02: 359 projected cases per day
2020-05-02,mod_5,605,3083,Normal (pre-intervention),solid,May 02,605,May 02: 605 projected cases per day
2020-05-02,mod_6,266,1869,Cautious return,solid,May 02,266,May 02: 266 projected cases per day
2020-05-03,mod_2,19740,178955,Soc. Dist. + Travel Ban,solid,May 03,"19,740","May 03: 19,740 projected cases per day"
2020-05-03,mod_4,435,2709,Moderate return,solid,May 03,435,May 03: 435 projected cases per day
2020-05-03,mod_5,780,3432,Normal (pre-intervention),solid,May 03,780,May 03: 780 projected cases per day
2020-05-03,mod_6,300,1439,Cautious return,solid,May 03,300,May 03: 300 projected cases per day
2020-05-04,mod_2,21289,206341,Soc. Dist. + Travel Ban,solid,May 04,"21,289","May 04: 21,289 projected cases per day"
2020-05-04,mod_4,528,2484,Moderate return,solid,May 04,528,May 04: 528 projected cases per day
2020-05-04,mod_5,1019,4311,Normal (pre-intervention),solid,May 04,"1,019","May 04: 1,019 projected cases per day"
2020-05-04,mod_6,340,1976,Cautious return,solid,May 04,340,May 04: 340 projected cases per day
2020-05-05,mod_2,22838,231411,Soc. Dist. + Travel Ban,solid,May 05,"22,838","May 05: 22,838 projected cases per day"
2020-05-05,mod_4,646,2814,Moderate return,solid,May 05,646,May 05: 646 projected cases per day
2020-05-05,mod_5,1329,5398,Normal (pre-intervention),solid,May 05,"1,329","May 05: 1,329 projected cases per day"
2020-05-05,mod_6,397,1798,Cautious return,solid,May 05,397,May 05: 397 projected cases per day
2020-05-06,mod_2,24328,285443,Soc. Dist. + Travel Ban,solid,May 06,"24,328","May 06: 24,328 projected cases per day"
2020-05-06,mod_4,794,3208,Moderate return,solid,May 06,794,May 06: 794 projected cases per day
2020-05-06,mod_5,1763,6519,Normal (pre-intervention),solid,May 06,"1,763","May 06: 1,763 projected cases per day"
2020-05-06,mod_6,455,1886,Cautious return,solid,May 06,455,May 06: 455 projected cases per day
2020-05-07,mod_2,25776,313340,Soc. Dist. + Travel Ban,solid,May 07,"25,776","May 07: 25,776 projected cases per day"
2020-05-07,mod_4,984,4329,Moderate return,solid,May 07,984,May 07: 984 projected cases per day
2020-05-07,mod_5,2330,7701,Normal (pre-intervention),solid,May 07,"2,330","May 07: 2,330 projected cases per day"
2020-05-07,mod_6,527,2382,Cautious return,solid,May 07,527,May 07: 527 projected cases per day
2020-05-08,mod_2,27211,369988,Soc. Dist. + Travel Ban,solid,May 08,"27,211","May 08: 27,211 projected cases per day"
2020-05-08,mod_4,1221,4322,Moderate return,solid,May 08,"1,221","May 08: 1,221 projected cases per day"
2020-05-08,mod_5,3079,10410,Normal (pre-intervention),solid,May 08,"3,079","May 08: 3,079 projected cases per day"
2020-05-08,mod_6,597,2762,Cautious return,solid,May 08,597,May 08: 597 projected cases per day
2020-05-09,mod_2,28577,404881,Soc. Dist. + Travel Ban,solid,May 09,"28,577","May 09: 28,577 projected cases per day"
2020-05-09,mod_4,1507,5629,Moderate return,solid,May 09,"1,507","May 09: 1,507 projected cases per day"
2020-05-09,mod_5,4042,12148,Normal (pre-intervention),solid,May 09,"4,042","May 09: 4,042 projected cases per day"
2020-05-09,mod_6,694,2517,Cautious return,solid,May 09,694,May 09: 694 projected cases per day
2020-05-10,mod_2,29909,447214,Soc. Dist. + Travel Ban,solid,May 10,"29,909","May 10: 29,909 projected cases per day"
2020-05-10,mod_4,1866,5638,Moderate return,solid,May 10,"1,866","May 10: 1,866 projected cases per day"
2020-05-10,mod_5,5287,16777,Normal (pre-intervention),solid,May 10,"5,287","May 10: 5,287 projected cases per day"
