Country,Date,Case,Recovered,Death,Day,num.fmt,text
Italy,Feb 28,888,46,21,6,888,Feb 28: 888 cumulative cases
South Korea,Feb 28,2337,22,13,9,"2,337","Feb 28: 2,337 cumulative cases"
France,Feb 29,100,12,2,1,100,Feb 29: 100 cumulative cases
Iran,Feb 29,593,123,43,4,593,Feb 29: 593 cumulative cases
Italy,Feb 29,1128,46,29,7,"1,128","Feb 29: 1,128 cumulative cases"
South Korea,Feb 29,3150,27,16,10,"3,150","Feb 29: 3,150 cumulative cases"
France,Mar  1,130,12,2,2,130,Mar  1: 130 cumulative cases
Germany,Mar  1,130,16,0,1,130,Mar  1: 130 cumulative cases
Iran,Mar  1,978,175,54,5,978,Mar  1: 978 cumulative cases
Italy,Mar  1,1694,83,34,8,"1,694","Mar  1: 1,694 cumulative cases"
South Korea,Mar  1,3736,30,17,11,"3,736","Mar  1: 3,736 cumulative cases"
France,Mar  2,191,12,3,3,191,Mar  2: 191 cumulative cases
Germany,Mar  2,159,16,0,2,159,Mar  2: 159 cumulative cases
Iran,Mar  2,1501,291,66,6,"1,501","Mar  2: 1,501 cumulative cases"
Italy,Mar  2,2036,149,52,9,"2,036","Mar  2: 2,036 cumulative cases"
South Korea,Mar  2,4335,30,28,12,"4,335","Mar  2: 4,335 cumulative cases"
France,Mar  3,204,12,4,4,204,Mar  3: 204 cumulative cases
Germany,Mar  3,196,16,0,3,196,Mar  3: 196 cumulative cases
Iran,Mar  3,2336,291,77,7,"2,336","Mar  3: 2,336 cumulative cases"
Italy,Mar  3,2502,160,79,10,"2,502","Mar  3: 2,502 cumulative cases"
South Korea,Mar  3,5186,30,28,13,"5,186","Mar  3: 5,186 cumulative cases"
US,Mar  3,118,7,7,1,118,Mar  3: 118 cumulative cases
France,Mar  4,288,12,4,5,288,Mar  4: 288 cumulative cases
Germany,Mar  4,262,16,0,4,262,Mar  4: 262 cumulative cases
Iran,Mar  4,2922,552,92,8,"2,922","Mar  4: 2,922 cumulative cases"
Italy,Mar  4,3089,276,107,11,"3,089","Mar  4: 3,089 cumulative cases"
South Korea,Mar  4,5621,41,35,14,"5,621","Mar  4: 5,621 cumulative cases"
US,Mar  4,149,7,11,2,149,Mar  4: 149 cumulative cases
France,Mar  5,380,12,6,6,380,Mar  5: 380 cumulative cases
Germany,Mar  5,482,16,0,5,482,Mar  5: 482 cumulative cases
Iran,Mar  5,3513,739,107,9,"3,513","Mar  5: 3,513 cumulative cases"
Italy,Mar  5,3858,414,148,12,"3,858","Mar  5: 3,858 cumulative cases"
South Korea,Mar  5,6088,41,35,15,"6,088","Mar  5: 6,088 cumulative cases"
US,Mar  5,217,7,12,3,217,Mar  5: 217 cumulative cases
France,Mar  6,656,12,9,7,656,Mar  6: 656 cumulative cases
Germany,Mar  6,670,17,0,6,670,Mar  6: 670 cumulative cases
Iran,Mar  6,4747,913,124,10,"4,747","Mar  6: 4,747 cumulative cases"
Italy,Mar  6,4636,523,197,13,"4,636","Mar  6: 4,636 cumulative cases"
South Korea,Mar  6,6593,135,42,16,"6,593","Mar  6: 6,593 cumulative cases"
US,Mar  6,262,7,14,4,262,Mar  6: 262 cumulative cases
France,Mar  7,959,12,11,8,959,Mar  7: 959 cumulative cases
Germany,Mar  7,799,18,0,7,799,Mar  7: 799 cumulative cases
Iran,Mar  7,5823,1669,145,11,"5,823","Mar  7: 5,823 cumulative cases"
Italy,Mar  7,5883,589,233,14,"5,883","Mar  7: 5,883 cumulative cases"
South Korea,Mar  7,7041,135,44,17,"7,041","Mar  7: 7,041 cumulative cases"
US,Mar  7,402,7,17,5,402,Mar  7: 402 cumulative cases
France,Mar  8,1136,12,19,9,"1,136","Mar  8: 1,136 cumulative cases"
Germany,Mar  8,1040,18,0,8,"1,040","Mar  8: 1,040 cumulative cases"
Iran,Mar  8,6566,2134,194,12,"6,566","Mar  8: 6,566 cumulative cases"
Italy,Mar  8,7375,622,366,15,"7,375","Mar  8: 7,375 cumulative cases"
South Korea,Mar  8,7314,118,50,18,"7,314","Mar  8: 7,314 cumulative cases"
US,Mar  8,518,7,21,6,518,Mar  8: 518 cumulative cases
France,Mar  9,1219,12,19,10,"1,219","Mar  9: 1,219 cumulative cases"
Germany,Mar  9,1176,18,2,9,"1,176","Mar  9: 1,176 cumulative cases"
Iran,Mar  9,7161,2394,237,13,"7,161","Mar  9: 7,161 cumulative cases"
Italy,Mar  9,9172,724,463,16,"9,172","Mar  9: 9,172 cumulative cases"
South Korea,Mar  9,7478,118,53,19,"7,478","Mar  9: 7,478 cumulative cases"
US,Mar  9,583,7,22,7,583,Mar  9: 583 cumulative cases
France,Mar 10,1794,12,33,11,"1,794","Mar 10: 1,794 cumulative cases"
Germany,Mar 10,1457,18,2,10,"1,457","Mar 10: 1,457 cumulative cases"
Iran,Mar 10,8042,2731,291,14,"8,042","Mar 10: 8,042 cumulative cases"
Italy,Mar 10,10149,724,631,17,"10,149","Mar 10: 10,149 cumulative cases"
South Korea,Mar 10,7513,247,54,20,"7,513","Mar 10: 7,513 cumulative cases"
US,Mar 10,959,8,28,8,959,Mar 10: 959 cumulative cases
France,Mar 11,2293,12,48,12,"2,293","Mar 11: 2,293 cumulative cases"
Germany,Mar 11,1908,25,3,11,"1,908","Mar 11: 1,908 cumulative cases"
Iran,Mar 11,9000,2959,354,15,"9,000","Mar 11: 9,000 cumulative cases"
Italy,Mar 11,12462,1045,827,18,"12,462","Mar 11: 12,462 cumulative cases"
South Korea,Mar 11,7755,288,60,21,"7,755","Mar 11: 7,755 cumulative cases"
US,Mar 11,1281,8,36,9,"1,281","Mar 11: 1,281 cumulative cases"
France,Mar 12,2293,12,48,13,"2,293","Mar 12: 2,293 cumulative cases"
Germany,Mar 12,2078,25,3,12,"2,078","Mar 12: 2,078 cumulative cases"
Iran,Mar 12,10075,2959,429,16,"10,075","Mar 12: 10,075 cumulative cases"
Italy,Mar 12,12462,1045,827,19,"12,462","Mar 12: 12,462 cumulative cases"
South Korea,Mar 12,7869,333,66,22,"7,869","Mar 12: 7,869 cumulative cases"
US,Mar 12,1663,12,40,10,"1,663","Mar 12: 1,663 cumulative cases"
France,Mar 13,3681,12,79,14,"3,681","Mar 13: 3,681 cumulative cases"
Germany,Mar 13,3675,46,7,13,"3,675","Mar 13: 3,675 cumulative cases"
Iran,Mar 13,11364,2959,514,17,"11,364","Mar 13: 11,364 cumulative cases"
Italy,Mar 13,17660,1439,1266,20,"17,660","Mar 13: 17,660 cumulative cases"
South Korea,Mar 13,7979,510,66,23,"7,979","Mar 13: 7,979 cumulative cases"
US,Mar 13,2179,12,47,11,"2,179","Mar 13: 2,179 cumulative cases"
France,Mar 14,4496,12,91,15,"4,496","Mar 14: 4,496 cumulative cases"
Germany,Mar 14,4585,46,9,14,"4,585","Mar 14: 4,585 cumulative cases"
India,Mar 14,102,4,2,1,102,Mar 14: 102 cumulative cases
Iran,Mar 14,12729,2959,611,18,"12,729","Mar 14: 12,729 cumulative cases"
Italy,Mar 14,21157,1966,1441,21,"21,157","Mar 14: 21,157 cumulative cases"
South Korea,Mar 14,8086,510,72,24,"8,086","Mar 14: 8,086 cumulative cases"
US,Mar 14,2727,12,54,12,"2,727","Mar 14: 2,727 cumulative cases"
France,Mar 15,4532,12,91,16,"4,532","Mar 15: 4,532 cumulative cases"
Germany,Mar 15,5795,46,11,15,"5,795","Mar 15: 5,795 cumulative cases"
India,Mar 15,113,13,2,2,113,Mar 15: 113 cumulative cases
Iran,Mar 15,13938,4590,724,19,"13,938","Mar 15: 13,938 cumulative cases"
Italy,Mar 15,24747,2335,1809,22,"24,747","Mar 15: 24,747 cumulative cases"
South Korea,Mar 15,8162,510,75,25,"8,162","Mar 15: 8,162 cumulative cases"
US,Mar 15,3499,12,63,13,"3,499","Mar 15: 3,499 cumulative cases"
France,Mar 16,6683,12,149,17,"6,683","Mar 16: 6,683 cumulative cases"
Germany,Mar 16,7272,67,17,16,"7,272","Mar 16: 7,272 cumulative cases"
India,Mar 16,119,13,2,3,119,Mar 16: 119 cumulative cases
Iran,Mar 16,14991,4590,853,20,"14,991","Mar 16: 14,991 cumulative cases"
