place,r,lower,upper
Andhra Pradesh,1.8489142645367316,1.8165264676385673,1.8815879629798153
Assam,3.025537152824726,2.853150783121797,3.2032254783930374
Bihar,2.986379243835325,2.9261258180268674,3.0472630908896923
Chhattisgarh,2.0719518402286337,2.0540123983710936,2.0899687998158285
Delhi,2.22072728037481,2.1971454978683647,2.2444358544242786
Gujarat,1.5493958630958284,1.5283786218680562,1.5705559525322712
Haryana,1.6213622009469535,1.5939580743708526,1.648998313462365
India,1.5696587712538377,1.56587642528094,1.5734456397235406
Jammu and Kashmir,1.7412755689735524,1.6866321232309356,1.7967854427099217
Jharkhand,2.280742523210305,2.231477556311326,2.3305477255383917
Karnataka,1.6317275786470737,1.6146266766336557,1.6489178900534733
Kerala,1.664337356754757,1.6425810747729734,1.6862372351766366
Madhya Pradesh,1.6229631538707563,1.6018278122628007,1.6442363799488429
Maharashtra,1.2832935685552136,1.2785618525011608,1.2880339053812506
Odisha,2.264730400786086,2.2007875924499682,2.329601095691073
Punjab,1.088436801230133,1.0712898815964125,1.105718041103196
Rajasthan,2.2231140406700325,2.1894807910060727,2.2570050942903244
Tamil Nadu,1.5933837277279828,1.5731781284033,1.6137176780160702
Telangana,2.13374030395201,2.0923504391192442,2.175536158591832
Uttar Pradesh,2.8030042911869035,2.77563029117965,2.830515350605626
West Bengal,2.0681172352227284,2.0347311234792738,2.1017758884440125
