Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,text
2020-04-30,mod_2,4674,24911,Soc. Dist. + Travel Ban,solid,Apr 30,"4,674","Apr 30: 4,674 projected cases per day"
2020-04-30,mod_4,170,1373,Moderate return,solid,Apr 30,170,Apr 30: 170 projected cases per day
2020-04-30,mod_5,181,2153,Normal (pre-intervention),solid,Apr 30,181,Apr 30: 181 projected cases per day
2020-04-30,mod_6,170,1626,Cautious return,solid,Apr 30,170,Apr 30: 170 projected cases per day
2020-05-01,mod_2,5428,24958,Soc. Dist. + Travel Ban,solid,May 01,"5,428","May 01: 5,428 projected cases per day"
2020-05-01,mod_4,185,1795,Moderate return,solid,May 01,185,May 01: 185 projected cases per day
2020-05-01,mod_5,200,1590,Normal (pre-intervention),solid,May 01,200,May 01: 200 projected cases per day
2020-05-01,mod_6,181,1497,Cautious return,solid,May 01,181,May 01: 181 projected cases per day
2020-05-02,mod_2,6272,28882,Soc. Dist. + Travel Ban,solid,May 02,"6,272","May 02: 6,272 projected cases per day"
2020-05-02,mod_4,198,1563,Moderate return,solid,May 02,198,May 02: 198 projected cases per day
2020-05-02,mod_5,215,1809,Normal (pre-intervention),solid,May 02,215,May 02: 215 projected cases per day
2020-05-02,mod_6,190,1854,Cautious return,solid,May 02,190,May 02: 190 projected cases per day
2020-05-03,mod_2,7182,36220,Soc. Dist. + Travel Ban,solid,May 03,"7,182","May 03: 7,182 projected cases per day"
2020-05-03,mod_4,202,1492,Moderate return,solid,May 03,202,May 03: 202 projected cases per day
2020-05-03,mod_5,240,1684,Normal (pre-intervention),solid,May 03,240,May 03: 240 projected cases per day
2020-05-03,mod_6,197,1382,Cautious return,solid,May 03,197,May 03: 197 projected cases per day
2020-05-04,mod_2,8182,40984,Soc. Dist. + Travel Ban,solid,May 04,"8,182","May 04: 8,182 projected cases per day"
2020-05-04,mod_4,222,2869,Moderate return,solid,May 04,222,May 04: 222 projected cases per day
2020-05-04,mod_5,278,2449,Normal (pre-intervention),solid,May 04,278,May 04: 278 projected cases per day
2020-05-04,mod_6,209,2001,Cautious return,solid,May 04,209,May 04: 209 projected cases per day
2020-05-05,mod_2,9238,42556,Soc. Dist. + Travel Ban,solid,May 05,"9,238","May 05: 9,238 projected cases per day"
2020-05-05,mod_4,252,1800,Moderate return,solid,May 05,252,May 05: 252 projected cases per day
2020-05-05,mod_5,308,2328,Normal (pre-intervention),solid,May 05,308,May 05: 308 projected cases per day
2020-05-05,mod_6,226,1164,Cautious return,solid,May 05,226,May 05: 226 projected cases per day
2020-05-06,mod_2,10385,54063,Soc. Dist. + Travel Ban,solid,May 06,"10,385","May 06: 10,385 projected cases per day"
2020-05-06,mod_4,270,1619,Moderate return,solid,May 06,270,May 06: 270 projected cases per day
2020-05-06,mod_5,348,3282,Normal (pre-intervention),solid,May 06,348,May 06: 348 projected cases per day
2020-05-06,mod_6,240,2596,Cautious return,solid,May 06,240,May 06: 240 projected cases per day
2020-05-07,mod_2,11564,58890,Soc. Dist. + Travel Ban,solid,May 07,"11,564","May 07: 11,564 projected cases per day"
2020-05-07,mod_4,296,2093,Moderate return,solid,May 07,296,May 07: 296 projected cases per day
2020-05-07,mod_5,408,2781,Normal (pre-intervention),solid,May 07,408,May 07: 408 projected cases per day
2020-05-07,mod_6,256,1838,Cautious return,solid,May 07,256,May 07: 256 projected cases per day
2020-05-08,mod_2,12802,68162,Soc. Dist. + Travel Ban,solid,May 08,"12,802","May 08: 12,802 projected cases per day"
2020-05-08,mod_4,324,2441,Moderate return,solid,May 08,324,May 08: 324 projected cases per day
2020-05-08,mod_5,484,3824,Normal (pre-intervention),solid,May 08,484,May 08: 484 projected cases per day
2020-05-08,mod_6,270,2248,Cautious return,solid,May 08,270,May 08: 270 projected cases per day
