Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,text
2020-04-30,mod_2,11828,60291,Soc. Dist. + Travel Ban,solid,Apr 30,"11,828","Apr 30: 11,828 projected cases per day"
2020-04-30,mod_4,156,1628,Moderate return,solid,Apr 30,156,Apr 30: 156 projected cases per day
2020-04-30,mod_5,207,2257,Normal (pre-intervention),solid,Apr 30,207,Apr 30: 207 projected cases per day
2020-04-30,mod_6,128,841,Cautious return,solid,Apr 30,128,Apr 30: 128 projected cases per day
2020-05-01,mod_2,13789,73489,Soc. Dist. + Travel Ban,solid,May 01,"13,789","May 01: 13,789 projected cases per day"
2020-05-01,mod_4,164,1478,Moderate return,solid,May 01,164,May 01: 164 projected cases per day
2020-05-01,mod_5,234,1820,Normal (pre-intervention),solid,May 01,234,May 01: 234 projected cases per day
2020-05-01,mod_6,131,1763,Cautious return,solid,May 01,131,May 01: 131 projected cases per day
2020-05-02,mod_2,15883,90881,Soc. Dist. + Travel Ban,solid,May 02,"15,883","May 02: 15,883 projected cases per day"
2020-05-02,mod_4,182,1961,Moderate return,solid,May 02,182,May 02: 182 projected cases per day
2020-05-02,mod_5,279,2781,Normal (pre-intervention),solid,May 02,279,May 02: 279 projected cases per day
2020-05-02,mod_6,147,1287,Cautious return,solid,May 02,147,May 02: 147 projected cases per day
2020-05-03,mod_2,18110,103192,Soc. Dist. + Travel Ban,solid,May 03,"18,110","May 03: 18,110 projected cases per day"
2020-05-03,mod_4,201,2424,Moderate return,solid,May 03,201,May 03: 201 projected cases per day
2020-05-03,mod_5,330,3219,Normal (pre-intervention),solid,May 03,330,May 03: 330 projected cases per day
2020-05-03,mod_6,149,1173,Cautious return,solid,May 03,149,May 03: 149 projected cases per day
2020-05-04,mod_2,20474,119165,Soc. Dist. + Travel Ban,solid,May 04,"20,474","May 04: 20,474 projected cases per day"
2020-05-04,mod_4,226,1774,Moderate return,solid,May 04,226,May 04: 226 projected cases per day
2020-05-04,mod_5,394,2810,Normal (pre-intervention),solid,May 04,394,May 04: 394 projected cases per day
2020-05-04,mod_6,157,2174,Cautious return,solid,May 04,157,May 04: 157 projected cases per day
2020-05-05,mod_2,22960,143179,Soc. Dist. + Travel Ban,solid,May 05,"22,960","May 05: 22,960 projected cases per day"
2020-05-05,mod_4,260,1874,Moderate return,solid,May 05,260,May 05: 260 projected cases per day
2020-05-05,mod_5,494,4142,Normal (pre-intervention),solid,May 05,494,May 05: 494 projected cases per day
2020-05-05,mod_6,173,1215,Cautious return,solid,May 05,173,May 05: 173 projected cases per day
2020-05-06,mod_2,25517,166300,Soc. Dist. + Travel Ban,solid,May 06,"25,517","May 06: 25,517 projected cases per day"
2020-05-06,mod_4,293,2448,Moderate return,solid,May 06,293,May 06: 293 projected cases per day
2020-05-06,mod_5,616,4627,Normal (pre-intervention),solid,May 06,616,May 06: 616 projected cases per day
2020-05-06,mod_6,188,1588,Cautious return,solid,May 06,188,May 06: 188 projected cases per day
2020-05-07,mod_2,28218,200411,Soc. Dist. + Travel Ban,solid,May 07,"28,218","May 07: 28,218 projected cases per day"
2020-05-07,mod_4,333,3571,Moderate return,solid,May 07,333,May 07: 333 projected cases per day
2020-05-07,mod_5,794,5333,Normal (pre-intervention),solid,May 07,794,May 07: 794 projected cases per day
2020-05-07,mod_6,214,2170,Cautious return,solid,May 07,214,May 07: 214 projected cases per day
2020-05-08,mod_2,30948,231162,Soc. Dist. + Travel Ban,solid,May 08,"30,948","May 08: 30,948 projected cases per day"
2020-05-08,mod_4,394,2328,Moderate return,solid,May 08,394,May 08: 394 projected cases per day
2020-05-08,mod_5,1036,5929,Normal (pre-intervention),solid,May 08,"1,036","May 08: 1,036 projected cases per day"
2020-05-08,mod_6,234,1803,Cautious return,solid,May 08,234,May 08: 234 projected cases per day
2020-05-09,mod_2,33690,276730,Soc. Dist. + Travel Ban,solid,May 09,"33,690","May 09: 33,690 projected cases per day"
2020-05-09,mod_4,463,2990,Moderate return,solid,May 09,463,May 09: 463 projected cases per day
2020-05-09,mod_5,1380,6986,Normal (pre-intervention),solid,May 09,"1,380","May 09: 1,380 projected cases per day"
2020-05-09,mod_6,255,2437,Cautious return,solid,May 09,255,May 09: 255 projected cases per day
2020-05-10,mod_2,36547,314179,Soc. Dist. + Travel Ban,solid,May 10,"36,547","May 10: 36,547 projected cases per day"
2020-05-10,mod_4,562,3895,Moderate return,solid,May 10,562,May 10: 562 projected cases per day
2020-05-10,mod_5,1840,8839,Normal (pre-intervention),solid,May 10,"1,840","May 10: 1,840 projected cases per day"
2020-05-10,mod_6,289,1621,Cautious return,solid,May 10,289,May 10: 289 projected cases per day
2020-05-11,mod_2,39393,358048,Soc. Dist. + Travel Ban,solid,May 11,"39,393","May 11: 39,393 projected cases per day"
2020-05-11,mod_4,690,4189,Moderate return,solid,May 11,690,May 11: 690 projected cases per day
2020-05-11,mod_5,2477,9930,Normal (pre-intervention),solid,May 11,"2,477","May 11: 2,477 projected cases per day"
2020-05-11,mod_6,334,2874,Cautious return,solid,May 11,334,May 11: 334 projected cases per day
2020-05-12,mod_2,42265,433660,Soc. Dist. + Travel Ban,solid,May 12,"42,265","May 12: 42,265 projected cases per day"
2020-05-12,mod_4,843,4834,Moderate return,solid,May 12,843,May 12: 843 projected cases per day
2020-05-12,mod_5,3337,12461,Normal (pre-intervention),solid,May 12,"3,337","May 12: 3,337 projected cases per day"
2020-05-12,mod_6,376,2464,Cautious return,solid,May 12,376,May 12: 376 projected cases per day
2020-05-13,mod_2,45163,495395,Soc. Dist. + Travel Ban,solid,May 13,"45,163","May 13: 45,163 projected cases per day"
2020-05-13,mod_4,1046,4874,Moderate return,solid,May 13,"1,046","May 13: 1,046 projected cases per day"
2020-05-13,mod_5,4482,14705,Normal (pre-intervention),solid,May 13,"4,482","May 13: 4,482 projected cases per day"
2020-05-13,mod_6,424,2333,Cautious return,solid,May 13,424,May 13: 424 projected cases per day
2020-05-14,mod_2,47960,555883,Soc. Dist. + Travel Ban,solid,May 14,"47,960","May 14: 47,960 projected cases per day"
2020-05-14,mod_4,1281,6335,Moderate return,solid,May 14,"1,281","May 14: 1,281 projected cases per day"
2020-05-14,mod_5,5787,17971,Normal (pre-intervention),solid,May 14,"5,787","May 14: 5,787 projected cases per day"
2020-05-14,mod_6,483,2782,Cautious return,solid,May 14,483,May 14: 483 projected cases per day
2020-05-15,mod_2,50826,635466,Soc. Dist. + Travel Ban,solid,May 15,"50,826","May 15: 50,826 projected cases per day"
2020-05-15,mod_4,1556,5838,Moderate return,solid,May 15,"1,556","May 15: 1,556 projected cases per day"
2020-05-15,mod_5,7315,23030,Normal (pre-intervention),solid,May 15,"7,315","May 15: 7,315 projected cases per day"
2020-05-15,mod_6,548,3443,Cautious return,solid,May 15,548,May 15: 548 projected cases per day
2020-05-16,mod_2,53623,689810,Soc. Dist. + Travel Ban,solid,May 16,"53,623","May 16: 53,623 projected cases per day"
2020-05-16,mod_4,1861,6804,Moderate return,solid,May 16,"1,861","May 16: 1,861 projected cases per day"
2020-05-16,mod_5,9067,25685,Normal (pre-intervention),solid,May 16,"9,067","May 16: 9,067 projected cases per day"
2020-05-16,mod_6,625,2782,Cautious return,solid,May 16,625,May 16: 625 projected cases per day
2020-05-17,mod_2,56310,767663,Soc. Dist. + Travel Ban,solid,May 17,"56,310","May 17: 56,310 projected cases per day"
2020-05-17,mod_4,2227,6445,Moderate return,solid,May 17,"2,227","May 17: 2,227 projected cases per day"
2020-05-17,mod_5,11058,32503,Normal (pre-intervention),solid,May 17,"11,058","May 17: 11,058 projected cases per day"
2020-05-17,mod_6,718,3797,Cautious return,solid,May 17,718,May 17: 718 projected cases per day
2020-05-18,mod_2,58952,892534,Soc. Dist. + Travel Ban,solid,May 18,"58,952","May 18: 58,952 projected cases per day"
2020-05-18,mod_4,2619,9707,Moderate return,solid,May 18,"2,619","May 18: 2,619 projected cases per day"
2020-05-18,mod_5,13251,41326,Normal (pre-intervention),solid,May 18,"13,251","May 18: 13,251 projected cases per day"
2020-05-18,mod_6,808,3523,Cautious return,solid,May 18,808,May 18: 808 projected cases per day
2020-05-19,mod_2,61475,955023,Soc. Dist. + Travel Ban,solid,May 19,"61,475","May 19: 61,475 projected cases per day"
2020-05-19,mod_4,3080,9350,Moderate return,solid,May 19,"3,080","May 19: 3,080 projected cases per day"
