place,r,lower,upper,.groups
Andhra Pradesh,0.8289543573435434,0.7859884106044571,0.8730499262594816,drop_last
Assam,0.6460314164531414,0.5644639744107971,0.7330981678626454,drop_last
Bihar,0.7906456587778106,0.7564087018505335,0.8256315102448276,drop_last
Chhattisgarh,0.9081172359626261,0.8832999332982077,0.9332736690957458,drop_last
Delhi,0.651829470007105,0.6270876693939854,0.6770447237079561,drop_last
Gujarat,0.8276067025400662,0.800996856526484,0.8546455677880317,drop_last
Haryana,0.6351147274034071,0.6021217864441631,0.6689780926176595,drop_last
India,0.8829994350840793,0.877334684189332,0.8886821726886023,drop_last
Jammu and Kashmir,0.7801647390161164,0.7322813356255364,0.8295542277480292,drop_last
Jharkhand,0.9268488744108461,0.8659182518518392,0.9898268542577835,drop_last
Karnataka,0.8703287203344534,0.8435955425565907,0.897473383780551,drop_last
Kerala,1.0023524779931454,0.9900021517391363,1.0147783670194004,drop_last
Madhya Pradesh,0.7988434782874531,0.7735514905049873,0.8245371730976031,drop_last
Maharashtra,1.069826337155457,1.054186129754811,1.0855802306591678,drop_last
Odisha,0.7937446044049792,0.7494215575610589,0.8393274375134192,drop_last
Punjab,0.7861054554482194,0.7429493055453257,0.8304645669839924,drop_last
Rajasthan,0.6593865343054456,0.6349774094738623,0.684252426631814,drop_last
Tamil Nadu,0.8812940872260075,0.8556132147300025,0.9073496036963185,drop_last
Telangana,0.816221419436501,0.779130617769522,0.8541646140300467,drop_last
Uttar Pradesh,0.854312869075802,0.8301403986859182,0.8788303161006538,drop_last
West Bengal,0.6751188900782158,0.6561269150274154,0.6943793427237807,drop_last
