place,r,lower,upper,.groups
Andhra Pradesh,0.8671382299578085,0.8204955381433301,0.9150557309732094,drop_last
Assam,0.7930957523644628,0.689211522359296,0.9041783334504947,drop_last
Bihar,0.8887638620813523,0.8497861127661133,0.9286041329402467,drop_last
Chhattisgarh,0.9194657393809864,0.8936697397216298,0.9456240952294469,drop_last
Delhi,0.7640618547423538,0.7334588121095028,0.795282487000768,drop_last
Gujarat,0.8626495173459273,0.8337151903851854,0.8920705597540015,drop_last
Haryana,0.8026285370402212,0.7600617692475837,0.8463393273864982,drop_last
India,0.9155479450849241,0.9095360060877433,0.9215794251093958,drop_last
Jammu and Kashmir,0.6312725420206912,0.583872647242738,0.6805013934715944,drop_last
Jharkhand,1.0166548216332938,0.951346229155005,1.0841037282342105,drop_last
Karnataka,0.9415284181535817,0.9124537519006636,0.9710529283703485,drop_last
Kerala,1.0058043066903646,0.9934327191583843,1.0182514522850754,drop_last
Madhya Pradesh,0.7979277340269317,0.7707154342010297,0.8256063698318915,drop_last
Maharashtra,1.056163567696837,1.0409828207497744,1.0714528053716976,drop_last
Odisha,0.8672599135545941,0.8172669285350477,0.9187170154356382,drop_last
Punjab,0.9349380813886449,0.8842481497050203,0.9870221442826984,drop_last
Rajasthan,0.7081278530832988,0.6792096844391675,0.7376406013654245,drop_last
Tamil Nadu,0.8551160218758936,0.8286727891863322,0.8819690390806662,drop_last
Telangana,0.8507609602390496,0.8101522910476019,0.8923493319763337,drop_last
Uttar Pradesh,0.7302094869915826,0.7063038702643379,0.7545077789273754,drop_last
West Bengal,0.7497366380454143,0.7270279067987702,0.772789829137593,drop_last
