place,r,lower,upper
Andhra Pradesh,1.7818813476244515,1.7661509513979174,1.7976809208775928
Assam,2.447625120590232,2.3972321856868235,2.4985422178278553
Bihar,1.8234702467704185,1.8083138839425001,1.838689168621175
Chhattisgarh,1.1212786272455109,1.1133634001173602,1.1292215136947112
Delhi,1.4033395372231667,1.3955472207150024,1.4111532562836655
Gujarat,1.537564643342137,1.5256766343206227,1.5494982257408942
Haryana,1.6485149026797317,1.6337517470312861,1.6633438325712424
India,1.4336901958794388,1.4314599500176455,1.4359221563236104
Jammu and Kashmir,1.5718992965980223,1.5410859266423165,1.6030141494084889
Jharkhand,1.574677555163519,1.5560205103437967,1.5934445129416865
Karnataka,1.734886374531018,1.7252301965642551,1.7445692981524614
Kerala,2.029130598480231,2.017393364699579,2.0409016240210787
Madhya Pradesh,1.3468706273651891,1.3364907385169582,1.3572901178748724
Maharashtra,1.057621489020581,1.0539825898717403,1.0612665732508206
Odisha,1.8861475943359003,1.8636592827535272,1.9087696469248656
Punjab,1.3678116985164446,1.3517195417736314,1.383998024836855
Rajasthan,1.7794767172881871,1.766255719203853,1.7927464717869954
Tamil Nadu,1.5122982742076627,1.5005800427615235,1.5240616111343555
Telangana,1.6666484139906568,1.6480786214437022,1.6853212378736648
Uttar Pradesh,1.5001982440419839,1.4929794827818657,1.5074341945741307
West Bengal,1.756972856167874,1.742775164141649,1.7712277949648874
