Date,State,Name,Type,Count,date.fmt,count.fmt,text
2020-05-01,ut,Uttarakhand,New Cases,0,May  1,0,May  1: 0 New Cases
2020-05-02,ut,Uttarakhand,New Cases,2,May  2,2,May  2: 2 New Cases
2020-05-03,ut,Uttarakhand,New Cases,1,May  3,1,May  3: 1 New Cases
2020-05-04,ut,Uttarakhand,New Cases,0,May  4,0,May  4: 0 New Cases
2020-05-05,ut,Uttarakhand,New Cases,1,May  5,1,May  5: 1 New Cases
2020-05-06,ut,Uttarakhand,New Cases,0,May  6,0,May  6: 0 New Cases
2020-05-07,ut,Uttarakhand,New Cases,0,May  7,0,May  7: 0 New Cases
2020-05-08,ut,Uttarakhand,New Cases,2,May  8,2,May  8: 2 New Cases
2020-05-09,ut,Uttarakhand,New Cases,4,May  9,4,May  9: 4 New Cases
2020-05-10,ut,Uttarakhand,New Cases,1,May 10,1,May 10: 1 New Cases
2020-05-11,ut,Uttarakhand,New Cases,0,May 11,0,May 11: 0 New Cases
2020-05-12,ut,Uttarakhand,New Cases,1,May 12,1,May 12: 1 New Cases
2020-05-13,ut,Uttarakhand,New Cases,3,May 13,3,May 13: 3 New Cases
2020-05-14,ut,Uttarakhand,New Cases,6,May 14,6,May 14: 6 New Cases
2020-05-15,ut,Uttarakhand,New Cases,4,May 15,4,May 15: 4 New Cases
2020-05-16,ut,Uttarakhand,New Cases,9,May 16,9,May 16: 9 New Cases
2020-05-17,ut,Uttarakhand,New Cases,1,May 17,1,May 17: 1 New Cases
2020-05-18,ut,Uttarakhand,New Cases,4,May 18,4,May 18: 4 New Cases
2020-05-19,ut,Uttarakhand,New Cases,15,May 19,15,May 19: 15 New Cases
2020-05-20,ut,Uttarakhand,New Cases,15,May 20,15,May 20: 15 New Cases
2020-05-21,ut,Uttarakhand,New Cases,19,May 21,19,May 21: 19 New Cases
2020-05-22,ut,Uttarakhand,New Cases,8,May 22,8,May 22: 8 New Cases
2020-05-23,ut,Uttarakhand,New Cases,91,May 23,91,May 23: 91 New Cases
2020-05-24,ut,Uttarakhand,New Cases,73,May 24,73,May 24: 73 New Cases
2020-05-25,ut,Uttarakhand,New Cases,32,May 25,32,May 25: 32 New Cases
2020-05-26,ut,Uttarakhand,New Cases,51,May 26,51,May 26: 51 New Cases
2020-05-27,ut,Uttarakhand,New Cases,69,May 27,69,May 27: 69 New Cases
2020-05-28,ut,Uttarakhand,New Cases,31,May 28,31,May 28: 31 New Cases
2020-05-29,ut,Uttarakhand,New Cases,216,May 29,216,May 29: 216 New Cases
2020-05-30,ut,Uttarakhand,New Cases,33,May 30,33,May 30: 33 New Cases
2020-05-31,ut,Uttarakhand,New Cases,158,May 31,158,May 31: 158 New Cases
2020-06-01,ut,Uttarakhand,New Cases,52,Jun  1,52,Jun  1: 52 New Cases
