Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,text
2020-04-30,mod_2,33689,200102,Soc. Dist. + Travel Ban,solid,Apr 30,"33,689","Apr 30: 33,689 projected cases per day"
2020-04-30,mod_4,202,1969,Moderate return,solid,Apr 30,202,Apr 30: 202 projected cases per day
2020-04-30,mod_5,248,2452,Normal (pre-intervention),solid,Apr 30,248,Apr 30: 248 projected cases per day
2020-04-30,mod_6,165,1650,Cautious return,solid,Apr 30,165,Apr 30: 165 projected cases per day
2020-05-01,mod_2,40319,254767,Soc. Dist. + Travel Ban,solid,May 01,"40,319","May 01: 40,319 projected cases per day"
2020-05-01,mod_4,216,2343,Moderate return,solid,May 01,216,May 01: 216 projected cases per day
2020-05-01,mod_5,288,3069,Normal (pre-intervention),solid,May 01,288,May 01: 288 projected cases per day
2020-05-01,mod_6,177,1840,Cautious return,solid,May 01,177,May 01: 177 projected cases per day
2020-05-02,mod_2,47512,313662,Soc. Dist. + Travel Ban,solid,May 02,"47,512","May 02: 47,512 projected cases per day"
2020-05-02,mod_4,226,2189,Moderate return,solid,May 02,226,May 02: 226 projected cases per day
2020-05-02,mod_5,333,2954,Normal (pre-intervention),solid,May 02,333,May 02: 333 projected cases per day
2020-05-02,mod_6,185,1346,Cautious return,solid,May 02,185,May 02: 185 projected cases per day
2020-05-03,mod_2,55292,400438,Soc. Dist. + Travel Ban,solid,May 03,"55,292","May 03: 55,292 projected cases per day"
2020-05-03,mod_4,258,2639,Moderate return,solid,May 03,258,May 03: 258 projected cases per day
2020-05-03,mod_5,379,3189,Normal (pre-intervention),solid,May 03,379,May 03: 379 projected cases per day
2020-05-03,mod_6,191,1741,Cautious return,solid,May 03,191,May 03: 191 projected cases per day
2020-05-04,mod_2,63665,468120,Soc. Dist. + Travel Ban,solid,May 04,"63,665","May 04: 63,665 projected cases per day"
2020-05-04,mod_4,287,2676,Moderate return,solid,May 04,287,May 04: 287 projected cases per day
2020-05-04,mod_5,452,3633,Normal (pre-intervention),solid,May 04,452,May 04: 452 projected cases per day
2020-05-04,mod_6,212,2050,Cautious return,solid,May 04,212,May 04: 212 projected cases per day
2020-05-05,mod_2,72335,599188,Soc. Dist. + Travel Ban,solid,May 05,"72,335","May 05: 72,335 projected cases per day"
2020-05-05,mod_4,323,2964,Moderate return,solid,May 05,323,May 05: 323 projected cases per day
2020-05-05,mod_5,559,5123,Normal (pre-intervention),solid,May 05,559,May 05: 559 projected cases per day
2020-05-05,mod_6,226,3212,Cautious return,solid,May 05,226,May 05: 226 projected cases per day
2020-05-06,mod_2,81409,737749,Soc. Dist. + Travel Ban,solid,May 06,"81,409","May 06: 81,409 projected cases per day"
2020-05-06,mod_4,362,3072,Moderate return,solid,May 06,362,May 06: 362 projected cases per day
2020-05-06,mod_5,691,5938,Normal (pre-intervention),solid,May 06,691,May 06: 691 projected cases per day
2020-05-06,mod_6,242,1940,Cautious return,solid,May 06,242,May 06: 242 projected cases per day
2020-05-07,mod_2,90727,879073,Soc. Dist. + Travel Ban,solid,May 07,"90,727","May 07: 90,727 projected cases per day"
2020-05-07,mod_4,408,3174,Moderate return,solid,May 07,408,May 07: 408 projected cases per day
2020-05-07,mod_5,880,5639,Normal (pre-intervention),solid,May 07,880,May 07: 880 projected cases per day
2020-05-07,mod_6,267,1614,Cautious return,solid,May 07,267,May 07: 267 projected cases per day
2020-05-08,mod_2,100222,1080541,Soc. Dist. + Travel Ban,solid,May 08,"100,222","May 08: 100,222 projected cases per day"
2020-05-08,mod_4,480,4405,Moderate return,solid,May 08,480,May 08: 480 projected cases per day
