Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,text
2020-04-30,mod_2,8583,44099,Soc. Dist. + Travel Ban,solid,Apr 30,"8,583","Apr 30: 8,583 projected cases per day"
2020-04-30,mod_4,239,3044,Moderate return,solid,Apr 30,239,Apr 30: 239 projected cases per day
2020-04-30,mod_5,246,3061,Normal (pre-intervention),solid,Apr 30,246,Apr 30: 246 projected cases per day
2020-04-30,mod_6,229,1992,Cautious return,solid,Apr 30,229,Apr 30: 229 projected cases per day
2020-05-01,mod_2,10251,50835,Soc. Dist. + Travel Ban,solid,May 01,"10,251","May 01: 10,251 projected cases per day"
2020-05-01,mod_4,247,1886,Moderate return,solid,May 01,247,May 01: 247 projected cases per day
2020-05-01,mod_5,275,1685,Normal (pre-intervention),solid,May 01,275,May 01: 275 projected cases per day
2020-05-01,mod_6,248,2482,Cautious return,solid,May 01,248,May 01: 248 projected cases per day
2020-05-02,mod_2,12151,58443,Soc. Dist. + Travel Ban,solid,May 02,"12,151","May 02: 12,151 projected cases per day"
2020-05-02,mod_4,273,1764,Moderate return,solid,May 02,273,May 02: 273 projected cases per day
2020-05-02,mod_5,302,3021,Normal (pre-intervention),solid,May 02,302,May 02: 302 projected cases per day
2020-05-02,mod_6,250,1303,Cautious return,solid,May 02,250,May 02: 250 projected cases per day
2020-05-03,mod_2,14255,72136,Soc. Dist. + Travel Ban,solid,May 03,"14,255","May 03: 14,255 projected cases per day"
2020-05-03,mod_4,278,2939,Moderate return,solid,May 03,278,May 03: 278 projected cases per day
2020-05-03,mod_5,318,2472,Normal (pre-intervention),solid,May 03,318,May 03: 318 projected cases per day
2020-05-03,mod_6,263,2557,Cautious return,solid,May 03,263,May 03: 263 projected cases per day
2020-05-04,mod_2,16589,81406,Soc. Dist. + Travel Ban,solid,May 04,"16,589","May 04: 16,589 projected cases per day"
2020-05-04,mod_4,307,2048,Moderate return,solid,May 04,307,May 04: 307 projected cases per day
2020-05-04,mod_5,369,3550,Normal (pre-intervention),solid,May 04,369,May 04: 369 projected cases per day
2020-05-04,mod_6,282,2363,Cautious return,solid,May 04,282,May 04: 282 projected cases per day
2020-05-05,mod_2,19101,100122,Soc. Dist. + Travel Ban,solid,May 05,"19,101","May 05: 19,101 projected cases per day"
2020-05-05,mod_4,327,3070,Moderate return,solid,May 05,327,May 05: 327 projected cases per day
2020-05-05,mod_5,410,3108,Normal (pre-intervention),solid,May 05,410,May 05: 410 projected cases per day
2020-05-05,mod_6,310,2134,Cautious return,solid,May 05,310,May 05: 310 projected cases per day
2020-05-06,mod_2,21883,110927,Soc. Dist. + Travel Ban,solid,May 06,"21,883","May 06: 21,883 projected cases per day"
2020-05-06,mod_4,368,2742,Moderate return,solid,May 06,368,May 06: 368 projected cases per day
2020-05-06,mod_5,477,3625,Normal (pre-intervention),solid,May 06,477,May 06: 477 projected cases per day
2020-05-06,mod_6,321,3643,Cautious return,solid,May 06,321,May 06: 321 projected cases per day
2020-05-07,mod_2,24690,135227,Soc. Dist. + Travel Ban,solid,May 07,"24,690","May 07: 24,690 projected cases per day"
2020-05-07,mod_4,403,3497,Moderate return,solid,May 07,403,May 07: 403 projected cases per day
2020-05-07,mod_5,547,4593,Normal (pre-intervention),solid,May 07,547,May 07: 547 projected cases per day
2020-05-07,mod_6,340,1605,Cautious return,solid,May 07,340,May 07: 340 projected cases per day
2020-05-08,mod_2,27706,155637,Soc. Dist. + Travel Ban,solid,May 08,"27,706","May 08: 27,706 projected cases per day"
2020-05-08,mod_4,463,3171,Moderate return,solid,May 08,463,May 08: 463 projected cases per day
2020-05-08,mod_5,655,4366,Normal (pre-intervention),solid,May 08,655,May 08: 655 projected cases per day
2020-05-08,mod_6,374,4091,Cautious return,solid,May 08,374,May 08: 374 projected cases per day
2020-05-09,mod_2,30893,188726,Soc. Dist. + Travel Ban,solid,May 09,"30,893","May 09: 30,893 projected cases per day"
2020-05-09,mod_4,513,3909,Moderate return,solid,May 09,513,May 09: 513 projected cases per day
2020-05-09,mod_5,803,5895,Normal (pre-intervention),solid,May 09,803,May 09: 803 projected cases per day
2020-05-09,mod_6,419,2484,Cautious return,solid,May 09,419,May 09: 419 projected cases per day
2020-05-10,mod_2,34167,210305,Soc. Dist. + Travel Ban,solid,May 10,"34,167","May 10: 34,167 projected cases per day"
2020-05-10,mod_4,592,3313,Moderate return,solid,May 10,592,May 10: 592 projected cases per day
2020-05-10,mod_5,987,6016,Normal (pre-intervention),solid,May 10,987,May 10: 987 projected cases per day
2020-05-10,mod_6,451,3510,Cautious return,solid,May 10,451,May 10: 451 projected cases per day
2020-05-11,mod_2,37621,255765,Soc. Dist. + Travel Ban,solid,May 11,"37,621","May 11: 37,621 projected cases per day"
2020-05-11,mod_4,683,5094,Moderate return,solid,May 11,683,May 11: 683 projected cases per day
2020-05-11,mod_5,1234,6878,Normal (pre-intervention),solid,May 11,"1,234","May 11: 1,234 projected cases per day"
2020-05-11,mod_6,506,3322,Cautious return,solid,May 11,506,May 11: 506 projected cases per day
2020-05-12,mod_2,41075,276313,Soc. Dist. + Travel Ban,solid,May 12,"41,075","May 12: 41,075 projected cases per day"
2020-05-12,mod_4,785,5783,Moderate return,solid,May 12,785,May 12: 785 projected cases per day
2020-05-12,mod_5,1558,9035,Normal (pre-intervention),solid,May 12,"1,558","May 12: 1,558 projected cases per day"
2020-05-12,mod_6,559,2986,Cautious return,solid,May 12,559,May 12: 559 projected cases per day
2020-05-13,mod_2,44625,359521,Soc. Dist. + Travel Ban,solid,May 13,"44,625","May 13: 44,625 projected cases per day"
2020-05-13,mod_4,930,5034,Moderate return,solid,May 13,930,May 13: 930 projected cases per day
2020-05-13,mod_5,1997,9136,Normal (pre-intervention),solid,May 13,"1,997","May 13: 1,997 projected cases per day"
2020-05-13,mod_6,626,3942,Cautious return,solid,May 13,626,May 13: 626 projected cases per day
2020-05-14,mod_2,48230,381079,Soc. Dist. + Travel Ban,solid,May 14,"48,230","May 14: 48,230 projected cases per day"
2020-05-14,mod_4,1107,6635,Moderate return,solid,May 14,"1,107","May 14: 1,107 projected cases per day"
2020-05-14,mod_5,2620,12026,Normal (pre-intervention),solid,May 14,"2,620","May 14: 2,620 projected cases per day"
2020-05-14,mod_6,686,4833,Cautious return,solid,May 14,686,May 14: 686 projected cases per day
2020-05-15,mod_2,51837,470222,Soc. Dist. + Travel Ban,solid,May 15,"51,837","May 15: 51,837 projected cases per day"
2020-05-15,mod_4,1319,6040,Moderate return,solid,May 15,"1,319","May 15: 1,319 projected cases per day"
2020-05-15,mod_5,3472,15169,Normal (pre-intervention),solid,May 15,"3,472","May 15: 3,472 projected cases per day"
2020-05-15,mod_6,785,3254,Cautious return,solid,May 15,785,May 15: 785 projected cases per day
2020-05-16,mod_2,55365,517968,Soc. Dist. + Travel Ban,solid,May 16,"55,365","May 16: 55,365 projected cases per day"
2020-05-16,mod_4,1616,7569,Moderate return,solid,May 16,"1,616","May 16: 1,616 projected cases per day"
2020-05-16,mod_5,4621,16374,Normal (pre-intervention),solid,May 16,"4,621","May 16: 4,621 projected cases per day"
2020-05-16,mod_6,910,5061,Cautious return,solid,May 16,910,May 16: 910 projected cases per day
2020-05-17,mod_2,58954,613700,Soc. Dist. + Travel Ban,solid,May 17,"58,954","May 17: 58,954 projected cases per day"
