place,r,lower,upper
Andhra Pradesh,1.761823854436941,1.7274191606212537,1.7965681833033729
Assam,2.4800301216986194,2.30556689338796,2.661236346966322
Bihar,3.0093612338143436,2.936182519194728,3.0834655587228825
Chhattisgarh,2.153580482244609,2.1329277012556003,2.1743330741381843
Delhi,2.178384941306847,2.151851206616095,2.2050821591230365
Gujarat,1.4462199868247312,1.4248120174193897,1.4677864385006534
Haryana,1.604431567554741,1.5751276947637136,1.6340032919803276
India,1.5634564302464375,1.5594170881146863,1.567500953571596
Jammu and Kashmir,1.7438696262884725,1.6840777347107072,1.8047001015338657
Jharkhand,2.3241841871152715,2.266873262898862,2.382216473280111
Karnataka,1.6237702012675228,1.6053620180337806,1.6422825867685453
Kerala,1.4712528711376145,1.4497380296043056,1.4929263579391814
Madhya Pradesh,1.5400513612217914,1.518084911321161,1.562174464972983
Maharashtra,1.3542353517988799,1.3491401714637996,1.3593400109901752
Odisha,2.1351697286259164,2.065211837240949,2.206305012296589
Punjab,1.0723290894204127,1.0551365688103895,1.0896586757451905
Rajasthan,2.1640856577904577,2.126650428799827,2.2018494870814598
Tamil Nadu,1.5522227102271577,1.5308283138721201,1.5737643369063143
Telangana,2.1327190205886803,2.0861732389221337,2.179781777579328
Uttar Pradesh,2.812634099447487,2.779876580499256,2.84558752472667
West Bengal,2.1056416568056315,2.0673748823653026,2.1442591238781095
