place,r,lower,upper,.groups
Andhra Pradesh,1.0027806131118937,0.9941191223430517,1.0114791583465932,drop_last
Assam,1.026064783633617,1.0085108090658867,1.0437683375200335,drop_last
Bihar,0.8908553195978648,0.8720862013176063,0.9098217810591092,drop_last
Chhattisgarh,1.4694931230708341,1.4434785707597273,1.4957368965756765,drop_last
Delhi,1.4803055159807055,1.4569468971899844,1.503847832815487,drop_last
Gujarat,1.04911527736399,1.0239652702550721,1.074566165540513,drop_last
Haryana,1.4022086353262764,1.3758751860617489,1.4287885693643088,drop_last
India,1.1310239061621028,1.127677198562461,1.1343755049323831,drop_last
Jammu and Kashmir,1.5931382253935862,1.5529164093786794,1.633869871364386,drop_last
Jharkhand,1.0596913844251976,1.0368151045708733,1.0828140912282602,drop_last
Karnataka,1.0301993675852903,1.0205512873967473,1.039892240102788,drop_last
Kerala,1.242387957421562,1.220760593492546,1.2642035670497247,drop_last
Madhya Pradesh,1.2122421337959988,1.1870495568569306,1.2376959712979752,drop_last
Maharashtra,1.2815741462372348,1.2736746199931168,1.289497775041587,drop_last
Odisha,1.137550259896054,1.1210300957533263,1.1541896423456828,drop_last
Punjab,1.1934334269995437,1.1692114482154732,1.217901388693338,drop_last
Rajasthan,1.0888368607520873,1.0649452035430211,1.1129898879051523,drop_last
Tamil Nadu,0.9637430111794829,0.9526742315367116,0.9748748434737492,drop_last
Telangana,0.9617847944903796,0.9448439746010419,0.9788741761875674,drop_last
Uttar Pradesh,1.1262782905950717,1.1138152016105916,1.1388097830682673,drop_last
West Bengal,1.012913521530897,0.9969090326341037,1.029043698040422,drop_last
