Dates	variable	value	upper_ci	color	type	State
2020-05-26	mod_2	1966	7946	Soc. Dist. + Travel Ban	solid	ap
2020-05-26	mod_3	2446	10068	No Intervention	solid	ap
2020-05-26	mod_4	1739	7068	Moderate return	solid	ap
2020-05-26	mod_5	1922	7813	Normal (pre-intervention)	solid	ap
2020-05-26	mod_6	1655	6691	Cautious return	solid	ap
2020-05-27	mod_2	2069	8600	Soc. Dist. + Travel Ban	solid	ap
2020-05-27	mod_3	2675	11455	No Intervention	solid	ap
2020-05-27	mod_4	1806	7528	Moderate return	solid	ap
2020-05-27	mod_5	2036	8536	Normal (pre-intervention)	solid	ap
2020-05-27	mod_6	1701	7094	Cautious return	solid	ap
2020-05-28	mod_2	2177	9307	Soc. Dist. + Travel Ban	solid	ap
2020-05-28	mod_3	2934	13070	No Intervention	solid	ap
2020-05-28	mod_4	1879	8057	Moderate return	solid	ap
2020-05-28	mod_5	2163	9382	Normal (pre-intervention)	solid	ap
2020-05-28	mod_6	1750	7505	Cautious return	solid	ap
2020-05-29	mod_2	2289	10069	Soc. Dist. + Travel Ban	solid	ap
2020-05-29	mod_3	3226	14952	No Intervention	solid	ap
2020-05-29	mod_4	1953	8592	Moderate return	solid	ap
2020-05-29	mod_5	2308	10378	Normal (pre-intervention)	solid	ap
2020-05-29	mod_6	1798	7915	Cautious return	solid	ap
2020-05-30	mod_2	2407	10877	Soc. Dist. + Travel Ban	solid	ap
2020-05-30	mod_3	3559	17160	No Intervention	solid	ap
2020-05-30	mod_4	2035	9200	Moderate return	solid	ap
2020-05-30	mod_5	2473	11463	Normal (pre-intervention)	solid	ap
2020-05-30	mod_6	1848	8310	Cautious return	solid	ap
2020-05-31	mod_2	2531	11726	Soc. Dist. + Travel Ban	solid	ap
2020-05-31	mod_3	3939	19761	No Intervention	solid	ap
2020-05-31	mod_4	2122	9856	Moderate return	solid	ap
2020-05-31	mod_5	2660	12684	Normal (pre-intervention)	solid	ap
2020-05-31	mod_6	1899	8688	Cautious return	solid	ap
2020-06-01	mod_2	2664	12727	Soc. Dist. + Travel Ban	solid	ap
2020-06-01	mod_3	4374	22780	No Intervention	solid	ap
2020-06-01	mod_4	2216	10543	Moderate return	solid	ap
2020-06-01	mod_5	2880	14234	Normal (pre-intervention)	solid	ap
2020-06-01	mod_6	1952	9160	Cautious return	solid	ap
2020-06-02	mod_2	2805	13649	Soc. Dist. + Travel Ban	solid	ap
2020-06-02	mod_3	4877	26204	No Intervention	solid	ap
2020-06-02	mod_4	2315	11293	Moderate return	solid	ap
2020-06-02	mod_5	3129	15983	Normal (pre-intervention)	solid	ap
2020-06-02	mod_6	2005	9605	Cautious return	solid	ap
2020-06-03	mod_2	2956	14817	Soc. Dist. + Travel Ban	solid	ap
2020-06-03	mod_3	5460	30500	No Intervention	solid	ap
2020-06-03	mod_4	2418	12068	Moderate return	solid	ap
2020-06-03	mod_5	3415	18081	Normal (pre-intervention)	solid	ap
2020-06-03	mod_6	2059	10061	Cautious return	solid	ap
2020-06-04	mod_2	3117	16011	Soc. Dist. + Travel Ban	solid	ap
2020-06-04	mod_3	6138	35250	No Intervention	solid	ap
2020-06-04	mod_4	2530	12965	Moderate return	solid	ap
2020-06-04	mod_5	3746	20489	Normal (pre-intervention)	solid	ap
2020-06-04	mod_6	2114	10598	Cautious return	solid	ap
2020-06-05	mod_2	3291	17270	Soc. Dist. + Travel Ban	solid	ap
2020-06-05	mod_3	6923	41182	No Intervention	solid	ap
2020-06-05	mod_4	2647	13827	Moderate return	solid	ap
2020-06-05	mod_5	4126	23349	Normal (pre-intervention)	solid	ap
2020-06-05	mod_6	2170	11060	Cautious return	solid	ap
2020-06-06	mod_2	3475	18672	Soc. Dist. + Travel Ban	solid	ap
2020-06-06	mod_3	7845	47995	No Intervention	solid	ap
2020-06-06	mod_4	2773	14830	Moderate return	solid	ap
2020-06-06	mod_5	4565	26678	Normal (pre-intervention)	solid	ap
2020-06-06	mod_6	2228	11502	Cautious return	solid	ap
2020-06-07	mod_2	3672	20286	Soc. Dist. + Travel Ban	solid	ap
2020-06-07	mod_3	8928	55840	No Intervention	solid	ap
2020-06-07	mod_4	2907	15957	Moderate return	solid	ap
2020-06-07	mod_5	5073	30645	Normal (pre-intervention)	solid	ap
2020-06-07	mod_6	2287	12083	Cautious return	solid	ap
2020-06-08	mod_2	3883	21897	Soc. Dist. + Travel Ban	solid	ap
2020-06-08	mod_3	10196	65267	No Intervention	solid	ap
2020-06-08	mod_4	3051	17041	Moderate return	solid	ap
2020-06-08	mod_5	5666	35138	Normal (pre-intervention)	solid	ap
2020-06-08	mod_6	2350	12636	Cautious return	solid	ap
2020-06-09	mod_2	4113	23703	Soc. Dist. + Travel Ban	solid	ap
2020-06-09	mod_3	11697	76505	No Intervention	solid	ap
2020-06-09	mod_4	3209	18372	Moderate return	solid	ap
2020-06-09	mod_5	6357	40496	Normal (pre-intervention)	solid	ap
2020-06-09	mod_6	2411	13177	Cautious return	solid	ap
2020-06-10	mod_2	4360	25588	Soc. Dist. + Travel Ban	solid	ap
2020-06-10	mod_3	13463	89398	No Intervention	solid	ap
2020-06-10	mod_4	3375	19742	Moderate return	solid	ap
2020-06-10	mod_5	7171	46773	Normal (pre-intervention)	solid	ap
2020-06-10	mod_6	2478	13764	Cautious return	solid	ap
2020-06-11	mod_2	4629	27798	Soc. Dist. + Travel Ban	solid	ap
2020-06-11	mod_3	15544	104658	No Intervention	solid	ap
2020-06-11	mod_4	3554	21147	Moderate return	solid	ap
2020-06-11	mod_5	8127	54075	Normal (pre-intervention)	solid	ap
2020-06-11	mod_6	2545	14382	Cautious return	solid	ap
2020-06-12	mod_2	4922	30076	Soc. Dist. + Travel Ban	solid	ap
2020-06-12	mod_3	18001	122978	No Intervention	solid	ap
2020-06-12	mod_4	3752	22807	Moderate return	solid	ap
2020-06-12	mod_5	9261	62561	Normal (pre-intervention)	solid	ap
2020-06-12	mod_6	2615	14973	Cautious return	solid	ap
2020-06-13	mod_2	5240	32482	Soc. Dist. + Travel Ban	solid	ap
2020-06-13	mod_3	20895	144563	No Intervention	solid	ap
2020-06-13	mod_4	3965	24626	Moderate return	solid	ap
2020-06-13	mod_5	10600	72593	Normal (pre-intervention)	solid	ap
2020-06-13	mod_6	2686	15577	Cautious return	solid	ap
2020-06-14	mod_2	5588	35195	Soc. Dist. + Travel Ban	solid	ap
2020-06-14	mod_3	24307	169407	No Intervention	solid	ap
2020-06-14	mod_4	4199	26518	Moderate return	solid	ap
2020-06-14	mod_5	12189	84240	Normal (pre-intervention)	solid	ap
2020-06-14	mod_6	2762	16262	Cautious return	solid	ap
2020-06-15	mod_2	5968	38399	Soc. Dist. + Travel Ban	solid	ap
2020-06-15	mod_3	28313	198897	No Intervention	solid	ap
2020-06-15	mod_4	4450	28621	Moderate return	solid	ap
2020-06-15	mod_5	14064	98024	Normal (pre-intervention)	solid	ap
2020-06-15	mod_6	2839	16974	Cautious return	solid	ap
2020-06-16	mod_2	6381	41639	Soc. Dist. + Travel Ban	solid	ap
2020-06-16	mod_3	32986	233718	No Intervention	solid	ap
2020-06-16	mod_4	4723	30882	Moderate return	solid	ap
2020-06-16	mod_5	16280	114227	Normal (pre-intervention)	solid	ap
2020-06-16	mod_6	2920	17695	Cautious return	solid	ap
2020-06-17	mod_2	6836	45174	Soc. Dist. + Travel Ban	solid	ap
2020-06-17	mod_3	38424	274199	No Intervention	solid	ap
2020-06-17	mod_4	5023	33372	Moderate return	solid	ap
2020-06-17	mod_5	18896	133137	Normal (pre-intervention)	solid	ap
2020-06-17	mod_6	3002	18406	Cautious return	solid	ap
2020-06-18	mod_2	7333	48898	Soc. Dist. + Travel Ban	solid	ap
2020-06-18	mod_3	44741	322511	No Intervention	solid	ap
2020-06-18	mod_4	5350	36054	Moderate return	solid	ap
2020-06-18	mod_5	21976	155505	Normal (pre-intervention)	solid	ap
2020-06-18	mod_6	3088	19230	Cautious return	solid	ap
2020-06-19	mod_2	7881	52967	Soc. Dist. + Travel Ban	solid	ap
2020-06-19	mod_3	52028	379695	No Intervention	solid	ap
2020-06-19	mod_4	5709	39073	Moderate return	solid	ap
2020-06-19	mod_5	25580	181951	Normal (pre-intervention)	solid	ap
2020-06-19	mod_6	3175	19980	Cautious return	solid	ap
2020-06-20	mod_2	8487	57409	Soc. Dist. + Travel Ban	solid	ap
2020-06-20	mod_3	60385	443741	No Intervention	solid	ap
2020-06-20	mod_4	6108	42095	Moderate return	solid	ap
2020-06-20	mod_5	29785	211521	Normal (pre-intervention)	solid	ap
2020-06-20	mod_6	3268	20824	Cautious return	solid	ap
2020-06-21	mod_2	9155	62671	Soc. Dist. + Travel Ban	solid	ap
2020-06-21	mod_3	69926	520333	No Intervention	solid	ap
2020-06-21	mod_4	6543	45364	Moderate return	solid	ap
2020-06-21	mod_5	34679	246924	Normal (pre-intervention)	solid	ap
2020-06-21	mod_6	3365	21685	Cautious return	solid	ap
2020-06-22	mod_2	9892	68035	Soc. Dist. + Travel Ban	solid	ap
2020-06-22	mod_3	80754	610630	No Intervention	solid	ap
2020-06-22	mod_4	7025	49083	Moderate return	solid	ap
2020-06-22	mod_5	40335	288484	Normal (pre-intervention)	solid	ap
2020-06-22	mod_6	3468	22695	Cautious return	solid	ap
2020-06-23	mod_2	10702	74061	Soc. Dist. + Travel Ban	solid	ap
2020-06-23	mod_3	92974	718516	No Intervention	solid	ap
2020-06-23	mod_4	7556	53011	Moderate return	solid	ap
2020-06-23	mod_5	46838	337015	Normal (pre-intervention)	solid	ap
2020-06-23	mod_6	3574	23546	Cautious return	solid	ap
2020-06-24	mod_2	11596	80180	Soc. Dist. + Travel Ban	solid	ap
2020-06-24	mod_3	106686	840929	No Intervention	solid	ap
2020-06-24	mod_4	8139	57469	Moderate return	solid	ap
