place,r,lower,upper
Andhra Pradesh,1.5636277749031682,1.5513536319957932,1.575949750662111
Assam,1.936543891539399,1.9033059912706194,1.9700672384861841
Bihar,1.4274546675573276,1.416377613926566,1.4385742885281874
Chhattisgarh,1.0445758460246868,1.0371910214730367,1.0519865084039663
Delhi,1.098455562307559,1.0922446330255011,1.1046838612114553
Gujarat,1.2988036729094323,1.2892310073021775,1.308411260500828
Haryana,1.474066156084149,1.4621231047576428,1.4860571825647746
India,1.2891176126194834,1.2872223464834966,1.2910142544221643
Jharkhand,1.3316766737852481,1.316777104055961,1.3466589437967003
Karnataka,1.609217509835244,1.6014023576421612,1.617051480451066
Kerala,1.652805155562481,1.644384467950709,1.661247111657269
Madhya Pradesh,1.1330976893575828,1.1244089983903107,1.1418193609926504
Maharashtra,1.002177065169959,0.9986910198866162,1.0056691014433625
Odisha,1.5677586044028666,1.551056136688722,1.5845494779069125
Punjab,1.3021508031345406,1.287826083435177,1.3165536737743018
Rajasthan,1.4298948397354567,1.4200054741612016,1.439818061097219
Tamil Nadu,1.435667553936996,1.425613012370771,1.445756999599168
Telangana,1.501555069671087,1.4865194648750657,1.5166654158682689
Uttar Pradesh,1.2078804519447297,1.2021672678984858,1.2136069966060454
Uttarakhand,1.6086992369568798,1.5890447002705437,1.6284731897312943
West Bengal,1.6175611011430158,1.6061460966492236,1.6290160549088224
