Date,State,Name,Type,Count,date.fmt,count.fmt,text
2020-03-15,wb,West Bengal,New Cases,NA,Mar 15,"NA",Mar 15: NA New Cases
2020-03-16,wb,West Bengal,New Cases,0,Mar 16,0,Mar 16: 0 New Cases
2020-03-17,wb,West Bengal,New Cases,1,Mar 17,1,Mar 17: 1 New Cases
2020-03-18,wb,West Bengal,New Cases,0,Mar 18,0,Mar 18: 0 New Cases
2020-03-19,wb,West Bengal,New Cases,0,Mar 19,0,Mar 19: 0 New Cases
2020-03-20,wb,West Bengal,New Cases,1,Mar 20,1,Mar 20: 1 New Cases
2020-03-21,wb,West Bengal,New Cases,2,Mar 21,2,Mar 21: 2 New Cases
2020-03-22,wb,West Bengal,New Cases,3,Mar 22,3,Mar 22: 3 New Cases
2020-03-23,wb,West Bengal,New Cases,0,Mar 23,0,Mar 23: 0 New Cases
2020-03-24,wb,West Bengal,New Cases,2,Mar 24,2,Mar 24: 2 New Cases
2020-03-25,wb,West Bengal,New Cases,0,Mar 25,0,Mar 25: 0 New Cases
2020-03-26,wb,West Bengal,New Cases,1,Mar 26,1,Mar 26: 1 New Cases
2020-03-27,wb,West Bengal,New Cases,5,Mar 27,5,Mar 27: 5 New Cases
2020-03-28,wb,West Bengal,New Cases,3,Mar 28,3,Mar 28: 3 New Cases
2020-03-29,wb,West Bengal,New Cases,3,Mar 29,3,Mar 29: 3 New Cases
2020-03-30,wb,West Bengal,New Cases,1,Mar 30,1,Mar 30: 1 New Cases
2020-03-31,wb,West Bengal,New Cases,15,Mar 31,15,Mar 31: 15 New Cases
2020-04-01,wb,West Bengal,New Cases,0,Apr  1,0,Apr  1: 0 New Cases
2020-04-02,wb,West Bengal,New Cases,16,Apr  2,16,Apr  2: 16 New Cases
2020-04-03,wb,West Bengal,New Cases,0,Apr  3,0,Apr  3: 0 New Cases
2020-04-04,wb,West Bengal,New Cases,0,Apr  4,0,Apr  4: 0 New Cases
2020-04-05,wb,West Bengal,New Cases,27,Apr  5,27,Apr  5: 27 New Cases
2020-04-06,wb,West Bengal,New Cases,0,Apr  6,0,Apr  6: 0 New Cases
2020-04-07,wb,West Bengal,New Cases,11,Apr  7,11,Apr  7: 11 New Cases
2020-04-08,wb,West Bengal,New Cases,8,Apr  8,8,Apr  8: 8 New Cases
