Dates	variable	value	upper_ci	color	type
2020-04-29	mod_6	2339	13189	Cautious return	solid
2020-04-30	mod_2	18479	99951	Soc. Dist. + Travel Ban	solid
2020-04-30	mod_3	28976	213796	No Intervention	solid
2020-04-30	mod_4	2426	14930	Moderate return	solid
2020-04-30	mod_5	2447	15230	Normal (pre-intervention)	solid
2020-04-30	mod_6	2435	14507	Cautious return	solid
2020-05-01	mod_2	24652	132461	Soc. Dist. + Travel Ban	solid
2020-05-01	mod_3	39093	297613	No Intervention	solid
2020-05-01	mod_4	2500	15626	Moderate return	solid
2020-05-01	mod_5	2562	15831	Normal (pre-intervention)	solid
2020-05-01	mod_6	2573	16412	Cautious return	solid
2020-05-02	mod_2	32627	164394	Soc. Dist. + Travel Ban	solid
2020-05-02	mod_3	52955	431439	No Intervention	solid
2020-05-02	mod_4	2627	18012	Moderate return	solid
2020-05-02	mod_5	2668	17641	Normal (pre-intervention)	solid
2020-05-02	mod_6	2704	16553	Cautious return	solid
2020-05-03	mod_2	42520	219728	Soc. Dist. + Travel Ban	solid
2020-05-03	mod_3	71986	594717	No Intervention	solid
2020-05-03	mod_4	2777	18973	Moderate return	solid
2020-05-03	mod_5	2803	18441	Normal (pre-intervention)	solid
2020-05-03	mod_6	2878	17723	Cautious return	solid
2020-05-04	mod_2	54392	288736	Soc. Dist. + Travel Ban	solid
2020-05-04	mod_3	97713	793740	No Intervention	solid
2020-05-04	mod_4	2926	19767	Moderate return	solid
2020-05-04	mod_5	2937	19212	Normal (pre-intervention)	solid
2020-05-04	mod_6	3058	19211	Cautious return	solid
2020-05-05	mod_2	68221	379389	Soc. Dist. + Travel Ban	solid
2020-05-05	mod_3	131397	1138096	No Intervention	solid
2020-05-05	mod_4	3106	21440	Moderate return	solid
2020-05-05	mod_5	3093	19154	Normal (pre-intervention)	solid
2020-05-05	mod_6	3252	20474	Cautious return	solid
2020-05-06	mod_2	84673	473244	Soc. Dist. + Travel Ban	solid
2020-05-06	mod_3	174488	1568947	No Intervention	solid
2020-05-06	mod_4	3263	22371	Moderate return	solid
2020-05-06	mod_5	3253	21065	Normal (pre-intervention)	solid
2020-05-06	mod_6	3458	22125	Cautious return	solid
2020-05-07	mod_2	104028	635555	Soc. Dist. + Travel Ban	solid
2020-05-07	mod_3	228301	2129115	No Intervention	solid
2020-05-07	mod_4	3454	23381	Moderate return	solid
2020-05-07	mod_5	3384	22308	Normal (pre-intervention)	solid
2020-05-07	mod_6	3697	22208	Cautious return	solid
2020-05-08	mod_2	127185	831994	Soc. Dist. + Travel Ban	solid
2020-05-08	mod_3	293725	2870534	No Intervention	solid
2020-05-08	mod_4	3670	26042	Moderate return	solid
2020-05-08	mod_5	3512	23048	Normal (pre-intervention)	solid
2020-05-08	mod_6	3989	24376	Cautious return	solid
2020-05-09	mod_2	154640	1084035	Soc. Dist. + Travel Ban	solid
2020-05-09	mod_3	371620	3864558	No Intervention	solid
2020-05-09	mod_4	3878	28711	Moderate return	solid
2020-05-09	mod_5	3707	23368	Normal (pre-intervention)	solid
2020-05-09	mod_6	4257	26057	Cautious return	solid
2020-05-10	mod_2	187292	1434624	Soc. Dist. + Travel Ban	solid
2020-05-10	mod_3	461630	5144640	No Intervention	solid
2020-05-10	mod_4	4109	29112	Moderate return	solid
2020-05-10	mod_5	3948	24365	Normal (pre-intervention)	solid
2020-05-10	mod_6	4591	26949	Cautious return	solid
2020-05-11	mod_2	225047	1774264	Soc. Dist. + Travel Ban	solid
2020-05-11	mod_3	564334	6747516	No Intervention	solid
2020-05-11	mod_4	4377	32395	Moderate return	solid
2020-05-11	mod_5	4221	28317	Normal (pre-intervention)	solid
2020-05-11	mod_6	4979	30048	Cautious return	solid
2020-05-12	mod_2	268656	2339687	Soc. Dist. + Travel Ban	solid
2020-05-12	mod_3	679077	8224315	No Intervention	solid
2020-05-12	mod_4	4650	34501	Moderate return	solid
2020-05-12	mod_5	4520	28699	Normal (pre-intervention)	solid
2020-05-12	mod_6	5360	32210	Cautious return	solid
2020-05-13	mod_2	317798	3043955	Soc. Dist. + Travel Ban	solid
2020-05-13	mod_3	806106	9733450	No Intervention	solid
2020-05-13	mod_4	5000	36769	Moderate return	solid
2020-05-13	mod_5	4901	30230	Normal (pre-intervention)	solid
2020-05-13	mod_6	5844	34847	Cautious return	solid
2020-05-14	mod_2	372349	3843524	Soc. Dist. + Travel Ban	solid
2020-05-14	mod_3	944431	11291690	No Intervention	solid
2020-05-14	mod_4	5417	40414	Moderate return	solid
2020-05-14	mod_5	5428	32106	Normal (pre-intervention)	solid
2020-05-14	mod_6	6461	37895	Cautious return	solid
2020-05-15	mod_2	432369	4786339	Soc. Dist. + Travel Ban	solid
2020-05-15	mod_3	1093314	12899627	No Intervention	solid
2020-05-15	mod_4	5928	41256	Moderate return	solid
2020-05-15	mod_5	6145	35799	Normal (pre-intervention)	solid
