Date,State,Name,Type,Count,date.fmt,count.fmt,text
2020-05-01,an,Andaman and Nicobar Islands,New Cases,0,May  1,0,May  1: 0 New Cases
2020-05-02,an,Andaman and Nicobar Islands,New Cases,0,May  2,0,May  2: 0 New Cases
2020-05-03,an,Andaman and Nicobar Islands,New Cases,0,May  3,0,May  3: 0 New Cases
2020-05-04,an,Andaman and Nicobar Islands,New Cases,0,May  4,0,May  4: 0 New Cases
2020-05-05,an,Andaman and Nicobar Islands,New Cases,0,May  5,0,May  5: 0 New Cases
2020-05-06,an,Andaman and Nicobar Islands,New Cases,0,May  6,0,May  6: 0 New Cases
2020-05-07,an,Andaman and Nicobar Islands,New Cases,0,May  7,0,May  7: 0 New Cases
2020-05-08,an,Andaman and Nicobar Islands,New Cases,0,May  8,0,May  8: 0 New Cases
2020-05-09,an,Andaman and Nicobar Islands,New Cases,0,May  9,0,May  9: 0 New Cases
2020-05-10,an,Andaman and Nicobar Islands,New Cases,0,May 10,0,May 10: 0 New Cases
2020-05-11,an,Andaman and Nicobar Islands,New Cases,0,May 11,0,May 11: 0 New Cases
2020-05-12,an,Andaman and Nicobar Islands,New Cases,0,May 12,0,May 12: 0 New Cases
2020-05-13,an,Andaman and Nicobar Islands,New Cases,0,May 13,0,May 13: 0 New Cases
2020-05-14,an,Andaman and Nicobar Islands,New Cases,0,May 14,0,May 14: 0 New Cases
2020-05-15,an,Andaman and Nicobar Islands,New Cases,0,May 15,0,May 15: 0 New Cases
2020-05-16,an,Andaman and Nicobar Islands,New Cases,0,May 16,0,May 16: 0 New Cases
2020-05-17,an,Andaman and Nicobar Islands,New Cases,0,May 17,0,May 17: 0 New Cases
2020-05-18,an,Andaman and Nicobar Islands,New Cases,0,May 18,0,May 18: 0 New Cases
2020-05-19,an,Andaman and Nicobar Islands,New Cases,0,May 19,0,May 19: 0 New Cases
2020-05-20,an,Andaman and Nicobar Islands,New Cases,0,May 20,0,May 20: 0 New Cases
2020-05-21,an,Andaman and Nicobar Islands,New Cases,0,May 21,0,May 21: 0 New Cases
2020-05-22,an,Andaman and Nicobar Islands,New Cases,0,May 22,0,May 22: 0 New Cases
2020-05-23,an,Andaman and Nicobar Islands,New Cases,0,May 23,0,May 23: 0 New Cases
2020-05-24,an,Andaman and Nicobar Islands,New Cases,0,May 24,0,May 24: 0 New Cases
2020-05-25,an,Andaman and Nicobar Islands,New Cases,0,May 25,0,May 25: 0 New Cases
2020-05-26,an,Andaman and Nicobar Islands,New Cases,0,May 26,0,May 26: 0 New Cases
2020-05-27,an,Andaman and Nicobar Islands,New Cases,0,May 27,0,May 27: 0 New Cases
2020-05-28,an,Andaman and Nicobar Islands,New Cases,0,May 28,0,May 28: 0 New Cases
2020-05-29,an,Andaman and Nicobar Islands,New Cases,0,May 29,0,May 29: 0 New Cases
2020-05-30,an,Andaman and Nicobar Islands,New Cases,0,May 30,0,May 30: 0 New Cases
2020-05-31,an,Andaman and Nicobar Islands,New Cases,0,May 31,0,May 31: 0 New Cases
2020-06-01,an,Andaman and Nicobar Islands,New Cases,0,Jun  1,0,Jun  1: 0 New Cases
2020-06-02,an,Andaman and Nicobar Islands,New Cases,0,Jun  2,0,Jun  2: 0 New Cases
2020-06-03,an,Andaman and Nicobar Islands,New Cases,0,Jun  3,0,Jun  3: 0 New Cases
2020-06-04,an,Andaman and Nicobar Islands,New Cases,0,Jun  4,0,Jun  4: 0 New Cases
2020-06-05,an,Andaman and Nicobar Islands,New Cases,0,Jun  5,0,Jun  5: 0 New Cases
2020-06-06,an,Andaman and Nicobar Islands,New Cases,0,Jun  6,0,Jun  6: 0 New Cases
2020-06-07,an,Andaman and Nicobar Islands,New Cases,0,Jun  7,0,Jun  7: 0 New Cases
2020-06-08,an,Andaman and Nicobar Islands,New Cases,0,Jun  8,0,Jun  8: 0 New Cases
2020-06-09,an,Andaman and Nicobar Islands,New Cases,1,Jun  9,1,Jun  9: 1 New Cases
2020-06-10,an,Andaman and Nicobar Islands,New Cases,1,Jun 10,1,Jun 10: 1 New Cases
2020-06-11,an,Andaman and Nicobar Islands,New Cases,3,Jun 11,3,Jun 11: 3 New Cases
2020-06-12,an,Andaman and Nicobar Islands,New Cases,0,Jun 12,0,Jun 12: 0 New Cases
2020-06-13,an,Andaman and Nicobar Islands,New Cases,0,Jun 13,0,Jun 13: 0 New Cases
2020-06-14,an,Andaman and Nicobar Islands,New Cases,2,Jun 14,2,Jun 14: 2 New Cases
2020-06-15,an,Andaman and Nicobar Islands,New Cases,1,Jun 15,1,Jun 15: 1 New Cases
2020-06-16,an,Andaman and Nicobar Islands,New Cases,3,Jun 16,3,Jun 16: 3 New Cases
2020-06-17,an,Andaman and Nicobar Islands,New Cases,0,Jun 17,0,Jun 17: 0 New Cases
2020-06-18,an,Andaman and Nicobar Islands,New Cases,1,Jun 18,1,Jun 18: 1 New Cases
2020-06-19,an,Andaman and Nicobar Islands,New Cases,2,Jun 19,2,Jun 19: 2 New Cases
2020-06-20,an,Andaman and Nicobar Islands,New Cases,0,Jun 20,0,Jun 20: 0 New Cases
2020-06-21,an,Andaman and Nicobar Islands,New Cases,1,Jun 21,1,Jun 21: 1 New Cases
2020-06-22,an,Andaman and Nicobar Islands,New Cases,0,Jun 22,0,Jun 22: 0 New Cases
2020-06-23,an,Andaman and Nicobar Islands,New Cases,2,Jun 23,2,Jun 23: 2 New Cases
2020-06-24,an,Andaman and Nicobar Islands,New Cases,6,Jun 24,6,Jun 24: 6 New Cases
2020-06-25,an,Andaman and Nicobar Islands,New Cases,2,Jun 25,2,Jun 25: 2 New Cases
2020-06-26,an,Andaman and Nicobar Islands,New Cases,14,Jun 26,14,Jun 26: 14 New Cases
2020-06-27,an,Andaman and Nicobar Islands,New Cases,0,Jun 27,0,Jun 27: 0 New Cases
2020-06-28,an,Andaman and Nicobar Islands,New Cases,11,Jun 28,11,Jun 28: 11 New Cases
2020-06-29,an,Andaman and Nicobar Islands,New Cases,7,Jun 29,7,Jun 29: 7 New Cases
2020-06-30,an,Andaman and Nicobar Islands,New Cases,7,Jun 30,7,Jun 30: 7 New Cases
2020-07-01,an,Andaman and Nicobar Islands,New Cases,3,Jul  1,3,Jul  1: 3 New Cases
2020-07-02,an,Andaman and Nicobar Islands,New Cases,9,Jul  2,9,Jul  2: 9 New Cases
2020-07-03,an,Andaman and Nicobar Islands,New Cases,7,Jul  3,7,Jul  3: 7 New Cases
2020-07-04,an,Andaman and Nicobar Islands,New Cases,3,Jul  4,3,Jul  4: 3 New Cases
2020-07-05,an,Andaman and Nicobar Islands,New Cases,6,Jul  5,6,Jul  5: 6 New Cases
2020-07-06,an,Andaman and Nicobar Islands,New Cases,16,Jul  6,16,Jul  6: 16 New Cases
2020-07-07,an,Andaman and Nicobar Islands,New Cases,6,Jul  7,6,Jul  7: 6 New Cases
2020-07-08,an,Andaman and Nicobar Islands,New Cases,2,Jul  8,2,Jul  8: 2 New Cases
2020-07-09,an,Andaman and Nicobar Islands,New Cases,7,Jul  9,7,Jul  9: 7 New Cases
2020-07-10,an,Andaman and Nicobar Islands,New Cases,0,Jul 10,0,Jul 10: 0 New Cases
2020-07-11,an,Andaman and Nicobar Islands,New Cases,0,Jul 11,0,Jul 11: 0 New Cases
2020-07-12,an,Andaman and Nicobar Islands,New Cases,7,Jul 12,7,Jul 12: 7 New Cases
2020-07-13,an,Andaman and Nicobar Islands,New Cases,3,Jul 13,3,Jul 13: 3 New Cases
2020-07-14,an,Andaman and Nicobar Islands,New Cases,5,Jul 14,5,Jul 14: 5 New Cases
2020-07-15,an,Andaman and Nicobar Islands,New Cases,5,Jul 15,5,Jul 15: 5 New Cases
2020-07-16,an,Andaman and Nicobar Islands,New Cases,4,Jul 16,4,Jul 16: 4 New Cases
2020-07-17,an,Andaman and Nicobar Islands,New Cases,0,Jul 17,0,Jul 17: 0 New Cases
2020-07-18,an,Andaman and Nicobar Islands,New Cases,4,Jul 18,4,Jul 18: 4 New Cases
2020-07-19,an,Andaman and Nicobar Islands,New Cases,15,Jul 19,15,Jul 19: 15 New Cases
2020-07-20,an,Andaman and Nicobar Islands,New Cases,4,Jul 20,4,Jul 20: 4 New Cases
2020-07-21,an,Andaman and Nicobar Islands,New Cases,5,Jul 21,5,Jul 21: 5 New Cases
2020-07-22,an,Andaman and Nicobar Islands,New Cases,9,Jul 22,9,Jul 22: 9 New Cases
2020-07-23,an,Andaman and Nicobar Islands,New Cases,19,Jul 23,19,Jul 23: 19 New Cases
2020-07-24,an,Andaman and Nicobar Islands,New Cases,19,Jul 24,19,Jul 24: 19 New Cases
2020-07-25,an,Andaman and Nicobar Islands,New Cases,31,Jul 25,31,Jul 25: 31 New Cases
2020-07-26,an,Andaman and Nicobar Islands,New Cases,28,Jul 26,28,Jul 26: 28 New Cases
2020-07-27,an,Andaman and Nicobar Islands,New Cases,20,Jul 27,20,Jul 27: 20 New Cases
2020-07-28,an,Andaman and Nicobar Islands,New Cases,25,Jul 28,25,Jul 28: 25 New Cases
2020-07-29,an,Andaman and Nicobar Islands,New Cases,65,Jul 29,65,Jul 29: 65 New Cases
2020-07-30,an,Andaman and Nicobar Islands,New Cases,42,Jul 30,42,Jul 30: 42 New Cases
2020-07-31,an,Andaman and Nicobar Islands,New Cases,78,Jul 31,78,Jul 31: 78 New Cases
2020-08-01,an,Andaman and Nicobar Islands,New Cases,88,Aug  1,88,Aug  1: 88 New Cases
2020-08-02,an,Andaman and Nicobar Islands,New Cases,98,Aug  2,98,Aug  2: 98 New Cases
2020-08-03,an,Andaman and Nicobar Islands,New Cases,96,Aug  3,96,Aug  3: 96 New Cases
2020-08-04,an,Andaman and Nicobar Islands,New Cases,98,Aug  4,98,Aug  4: 98 New Cases
2020-08-05,an,Andaman and Nicobar Islands,New Cases,99,Aug  5,99,Aug  5: 99 New Cases
2020-08-06,an,Andaman and Nicobar Islands,New Cases,96,Aug  6,96,Aug  6: 96 New Cases
2020-08-07,an,Andaman and Nicobar Islands,New Cases,99,Aug  7,99,Aug  7: 99 New Cases
2020-08-08,an,Andaman and Nicobar Islands,New Cases,129,Aug  8,129,Aug  8: 129 New Cases
2020-08-09,an,Andaman and Nicobar Islands,New Cases,139,Aug  9,139,Aug  9: 139 New Cases
2020-08-10,an,Andaman and Nicobar Islands,New Cases,135,Aug 10,135,Aug 10: 135 New Cases
2020-08-11,an,Andaman and Nicobar Islands,New Cases,139,Aug 11,139,Aug 11: 139 New Cases
2020-08-12,an,Andaman and Nicobar Islands,New Cases,136,Aug 12,136,Aug 12: 136 New Cases
2020-08-13,an,Andaman and Nicobar Islands,New Cases,137,Aug 13,137,Aug 13: 137 New Cases
2020-08-14,an,Andaman and Nicobar Islands,New Cases,149,Aug 14,149,Aug 14: 149 New Cases
2020-08-15,an,Andaman and Nicobar Islands,New Cases,120,Aug 15,120,Aug 15: 120 New Cases
2020-08-16,an,Andaman and Nicobar Islands,New Cases,93,Aug 16,93,Aug 16: 93 New Cases
2020-08-17,an,Andaman and Nicobar Islands,New Cases,46,Aug 17,46,Aug 17: 46 New Cases
2020-08-18,an,Andaman and Nicobar Islands,New Cases,84,Aug 18,84,Aug 18: 84 New Cases
2020-08-19,an,Andaman and Nicobar Islands,New Cases,75,Aug 19,75,Aug 19: 75 New Cases
2020-08-20,an,Andaman and Nicobar Islands,New Cases,76,Aug 20,76,Aug 20: 76 New Cases
2020-08-21,an,Andaman and Nicobar Islands,New Cases,67,Aug 21,67,Aug 21: 67 New Cases
2020-08-22,an,Andaman and Nicobar Islands,New Cases,61,Aug 22,61,Aug 22: 61 New Cases
2020-08-23,an,Andaman and Nicobar Islands,New Cases,52,Aug 23,52,Aug 23: 52 New Cases
2020-08-24,an,Andaman and Nicobar Islands,New Cases,44,Aug 24,44,Aug 24: 44 New Cases
2020-08-25,an,Andaman and Nicobar Islands,New Cases,41,Aug 25,41,Aug 25: 41 New Cases
2020-08-26,an,Andaman and Nicobar Islands,New Cases,40,Aug 26,40,Aug 26: 40 New Cases
2020-08-27,an,Andaman and Nicobar Islands,New Cases,33,Aug 27,33,Aug 27: 33 New Cases
2020-08-28,an,Andaman and Nicobar Islands,New Cases,32,Aug 28,32,Aug 28: 32 New Cases
2020-08-29,an,Andaman and Nicobar Islands,New Cases,31,Aug 29,31,Aug 29: 31 New Cases
2020-08-30,an,Andaman and Nicobar Islands,New Cases,23,Aug 30,23,Aug 30: 23 New Cases
2020-08-31,an,Andaman and Nicobar Islands,New Cases,28,Aug 31,28,Aug 31: 28 New Cases
2020-09-01,an,Andaman and Nicobar Islands,New Cases,28,Sep  1,28,Sep  1: 28 New Cases
2020-09-02,an,Andaman and Nicobar Islands,New Cases,26,Sep  2,26,Sep  2: 26 New Cases
2020-09-03,an,Andaman and Nicobar Islands,New Cases,37,Sep  3,37,Sep  3: 37 New Cases
2020-09-04,an,Andaman and Nicobar Islands,New Cases,34,Sep  4,34,Sep  4: 34 New Cases
2020-09-05,an,Andaman and Nicobar Islands,New Cases,35,Sep  5,35,Sep  5: 35 New Cases
2020-09-06,an,Andaman and Nicobar Islands,New Cases,40,Sep  6,40,Sep  6: 40 New Cases
2020-09-07,an,Andaman and Nicobar Islands,New Cases,27,Sep  7,27,Sep  7: 27 New Cases
2020-09-08,an,Andaman and Nicobar Islands,New Cases,33,Sep  8,33,Sep  8: 33 New Cases
2020-09-09,an,Andaman and Nicobar Islands,New Cases,34,Sep  9,34,Sep  9: 34 New Cases
2020-09-10,an,Andaman and Nicobar Islands,New Cases,39,Sep 10,39,Sep 10: 39 New Cases
2020-09-11,an,Andaman and Nicobar Islands,New Cases,29,Sep 11,29,Sep 11: 29 New Cases
2020-09-12,an,Andaman and Nicobar Islands,New Cases,27,Sep 12,27,Sep 12: 27 New Cases
2020-09-13,an,Andaman and Nicobar Islands,New Cases,25,Sep 13,25,Sep 13: 25 New Cases
2020-09-14,an,Andaman and Nicobar Islands,New Cases,11,Sep 14,11,Sep 14: 11 New Cases
2020-09-15,an,Andaman and Nicobar Islands,New Cases,17,Sep 15,17,Sep 15: 17 New Cases
2020-09-16,an,Andaman and Nicobar Islands,New Cases,19,Sep 16,19,Sep 16: 19 New Cases
2020-09-17,an,Andaman and Nicobar Islands,New Cases,11,Sep 17,11,Sep 17: 11 New Cases
2020-09-18,an,Andaman and Nicobar Islands,New Cases,27,Sep 18,27,Sep 18: 27 New Cases
2020-09-19,an,Andaman and Nicobar Islands,New Cases,13,Sep 19,13,Sep 19: 13 New Cases
2020-09-20,an,Andaman and Nicobar Islands,New Cases,7,Sep 20,7,Sep 20: 7 New Cases
2020-09-21,an,Andaman and Nicobar Islands,New Cases,22,Sep 21,22,Sep 21: 22 New Cases
2020-09-22,an,Andaman and Nicobar Islands,New Cases,18,Sep 22,18,Sep 22: 18 New Cases
2020-09-23,an,Andaman and Nicobar Islands,New Cases,21,Sep 23,21,Sep 23: 21 New Cases
2020-09-24,an,Andaman and Nicobar Islands,New Cases,32,Sep 24,32,Sep 24: 32 New Cases
2020-09-25,an,Andaman and Nicobar Islands,New Cases,15,Sep 25,15,Sep 25: 15 New Cases
2020-09-26,an,Andaman and Nicobar Islands,New Cases,15,Sep 26,15,Sep 26: 15 New Cases
2020-09-27,an,Andaman and Nicobar Islands,New Cases,20,Sep 27,20,Sep 27: 20 New Cases
2020-09-28,an,Andaman and Nicobar Islands,New Cases,9,Sep 28,9,Sep 28: 9 New Cases
2020-09-29,an,Andaman and Nicobar Islands,New Cases,18,Sep 29,18,Sep 29: 18 New Cases
2020-09-30,an,Andaman and Nicobar Islands,New Cases,14,Sep 30,14,Sep 30: 14 New Cases
2020-10-01,an,Andaman and Nicobar Islands,New Cases,13,Oct  1,13,Oct  1: 13 New Cases
2020-10-02,an,Andaman and Nicobar Islands,New Cases,10,Oct  2,10,Oct  2: 10 New Cases
2020-10-03,an,Andaman and Nicobar Islands,New Cases,10,Oct  3,10,Oct  3: 10 New Cases
2020-10-04,an,Andaman and Nicobar Islands,New Cases,16,Oct  4,16,Oct  4: 16 New Cases
2020-10-05,an,Andaman and Nicobar Islands,New Cases,15,Oct  5,15,Oct  5: 15 New Cases
2020-10-06,an,Andaman and Nicobar Islands,New Cases,13,Oct  6,13,Oct  6: 13 New Cases
2020-10-07,an,Andaman and Nicobar Islands,New Cases,23,Oct  7,23,Oct  7: 23 New Cases
2020-10-08,an,Andaman and Nicobar Islands,New Cases,17,Oct  8,17,Oct  8: 17 New Cases
2020-10-09,an,Andaman and Nicobar Islands,New Cases,24,Oct  9,24,Oct  9: 24 New Cases
2020-10-10,an,Andaman and Nicobar Islands,New Cases,16,Oct 10,16,Oct 10: 16 New Cases
2020-10-11,an,Andaman and Nicobar Islands,New Cases,13,Oct 11,13,Oct 11: 13 New Cases
2020-10-12,an,Andaman and Nicobar Islands,New Cases,18,Oct 12,18,Oct 12: 18 New Cases
2020-10-13,an,Andaman and Nicobar Islands,New Cases,13,Oct 13,13,Oct 13: 13 New Cases
2020-10-14,an,Andaman and Nicobar Islands,New Cases,10,Oct 14,10,Oct 14: 10 New Cases
2020-10-15,an,Andaman and Nicobar Islands,New Cases,16,Oct 15,16,Oct 15: 16 New Cases
2020-10-16,an,Andaman and Nicobar Islands,New Cases,10,Oct 16,10,Oct 16: 10 New Cases
2020-10-17,an,Andaman and Nicobar Islands,New Cases,11,Oct 17,11,Oct 17: 11 New Cases
2020-10-18,an,Andaman and Nicobar Islands,New Cases,25,Oct 18,25,Oct 18: 25 New Cases
2020-10-19,an,Andaman and Nicobar Islands,New Cases,18,Oct 19,18,Oct 19: 18 New Cases
2020-10-20,an,Andaman and Nicobar Islands,New Cases,15,Oct 20,15,Oct 20: 15 New Cases
2020-10-21,an,Andaman and Nicobar Islands,New Cases,27,Oct 21,27,Oct 21: 27 New Cases
2020-10-22,an,Andaman and Nicobar Islands,New Cases,16,Oct 22,16,Oct 22: 16 New Cases
2020-10-23,an,Andaman and Nicobar Islands,New Cases,23,Oct 23,23,Oct 23: 23 New Cases
2020-10-24,an,Andaman and Nicobar Islands,New Cases,18,Oct 24,18,Oct 24: 18 New Cases
2020-10-25,an,Andaman and Nicobar Islands,New Cases,20,Oct 25,20,Oct 25: 20 New Cases
2020-10-26,an,Andaman and Nicobar Islands,New Cases,8,Oct 26,8,Oct 26: 8 New Cases
2020-10-27,an,Andaman and Nicobar Islands,New Cases,21,Oct 27,21,Oct 27: 21 New Cases
2020-10-28,an,Andaman and Nicobar Islands,New Cases,15,Oct 28,15,Oct 28: 15 New Cases
2020-10-29,an,Andaman and Nicobar Islands,New Cases,16,Oct 29,16,Oct 29: 16 New Cases
2020-10-30,an,Andaman and Nicobar Islands,New Cases,12,Oct 30,12,Oct 30: 12 New Cases
2020-10-31,an,Andaman and Nicobar Islands,New Cases,15,Oct 31,15,Oct 31: 15 New Cases
2020-11-01,an,Andaman and Nicobar Islands,New Cases,8,Nov  1,8,Nov  1: 8 New Cases
2020-11-02,an,Andaman and Nicobar Islands,New Cases,12,Nov  2,12,Nov  2: 12 New Cases
2020-11-03,an,Andaman and Nicobar Islands,New Cases,20,Nov  3,20,Nov  3: 20 New Cases
2020-11-04,an,Andaman and Nicobar Islands,New Cases,17,Nov  4,17,Nov  4: 17 New Cases
2020-11-05,an,Andaman and Nicobar Islands,New Cases,14,Nov  5,14,Nov  5: 14 New Cases
2020-11-06,an,Andaman and Nicobar Islands,New Cases,17,Nov  6,17,Nov  6: 17 New Cases
2020-11-07,an,Andaman and Nicobar Islands,New Cases,21,Nov  7,21,Nov  7: 21 New Cases
2020-11-08,an,Andaman and Nicobar Islands,New Cases,9,Nov  8,9,Nov  8: 9 New Cases
2020-11-09,an,Andaman and Nicobar Islands,New Cases,13,Nov  9,13,Nov  9: 13 New Cases
2020-11-10,an,Andaman and Nicobar Islands,New Cases,14,Nov 10,14,Nov 10: 14 New Cases
2020-11-11,an,Andaman and Nicobar Islands,New Cases,17,Nov 11,17,Nov 11: 17 New Cases
2020-11-12,an,Andaman and Nicobar Islands,New Cases,13,Nov 12,13,Nov 12: 13 New Cases
2020-11-13,an,Andaman and Nicobar Islands,New Cases,11,Nov 13,11,Nov 13: 11 New Cases
2020-11-14,an,Andaman and Nicobar Islands,New Cases,9,Nov 14,9,Nov 14: 9 New Cases
2020-11-15,an,Andaman and Nicobar Islands,New Cases,9,Nov 15,9,Nov 15: 9 New Cases
2020-11-16,an,Andaman and Nicobar Islands,New Cases,21,Nov 16,21,Nov 16: 21 New Cases
2020-11-17,an,Andaman and Nicobar Islands,New Cases,17,Nov 17,17,Nov 17: 17 New Cases
2020-11-18,an,Andaman and Nicobar Islands,New Cases,19,Nov 18,19,Nov 18: 19 New Cases
2020-11-19,an,Andaman and Nicobar Islands,New Cases,11,Nov 19,11,Nov 19: 11 New Cases
2020-11-20,an,Andaman and Nicobar Islands,New Cases,13,Nov 20,13,Nov 20: 13 New Cases
2020-11-21,an,Andaman and Nicobar Islands,New Cases,14,Nov 21,14,Nov 21: 14 New Cases
2020-11-22,an,Andaman and Nicobar Islands,New Cases,10,Nov 22,10,Nov 22: 10 New Cases
2020-11-23,an,Andaman and Nicobar Islands,New Cases,15,Nov 23,15,Nov 23: 15 New Cases
2020-11-24,an,Andaman and Nicobar Islands,New Cases,11,Nov 24,11,Nov 24: 11 New Cases
2020-11-25,an,Andaman and Nicobar Islands,New Cases,10,Nov 25,10,Nov 25: 10 New Cases
2020-11-26,an,Andaman and Nicobar Islands,New Cases,5,Nov 26,5,Nov 26: 5 New Cases
2020-11-27,an,Andaman and Nicobar Islands,New Cases,7,Nov 27,7,Nov 27: 7 New Cases
2020-11-28,an,Andaman and Nicobar Islands,New Cases,9,Nov 28,9,Nov 28: 9 New Cases
2020-11-29,an,Andaman and Nicobar Islands,New Cases,6,Nov 29,6,Nov 29: 6 New Cases
2020-11-30,an,Andaman and Nicobar Islands,New Cases,6,Nov 30,6,Nov 30: 6 New Cases
2020-12-01,an,Andaman and Nicobar Islands,New Cases,8,Dec  1,8,Dec  1: 8 New Cases
2020-12-02,an,Andaman and Nicobar Islands,New Cases,5,Dec  2,5,Dec  2: 5 New Cases
2020-12-03,an,Andaman and Nicobar Islands,New Cases,6,Dec  3,6,Dec  3: 6 New Cases
2020-12-04,an,Andaman and Nicobar Islands,New Cases,13,Dec  4,13,Dec  4: 13 New Cases
2020-12-05,an,Andaman and Nicobar Islands,New Cases,5,Dec  5,5,Dec  5: 5 New Cases
2020-12-06,an,Andaman and Nicobar Islands,New Cases,11,Dec  6,11,Dec  6: 11 New Cases
2020-12-07,an,Andaman and Nicobar Islands,New Cases,15,Dec  7,15,Dec  7: 15 New Cases
2020-12-08,an,Andaman and Nicobar Islands,New Cases,5,Dec  8,5,Dec  8: 5 New Cases
2020-12-09,an,Andaman and Nicobar Islands,New Cases,5,Dec  9,5,Dec  9: 5 New Cases
2020-12-10,an,Andaman and Nicobar Islands,New Cases,8,Dec 10,8,Dec 10: 8 New Cases
2020-12-11,an,Andaman and Nicobar Islands,New Cases,7,Dec 11,7,Dec 11: 7 New Cases
2020-12-12,an,Andaman and Nicobar Islands,New Cases,7,Dec 12,7,Dec 12: 7 New Cases
2020-12-13,an,Andaman and Nicobar Islands,New Cases,13,Dec 13,13,Dec 13: 13 New Cases
2020-12-14,an,Andaman and Nicobar Islands,New Cases,16,Dec 14,16,Dec 14: 16 New Cases
2020-12-15,an,Andaman and Nicobar Islands,New Cases,8,Dec 15,8,Dec 15: 8 New Cases
2020-12-16,an,Andaman and Nicobar Islands,New Cases,8,Dec 16,8,Dec 16: 8 New Cases
2020-12-17,an,Andaman and Nicobar Islands,New Cases,10,Dec 17,10,Dec 17: 10 New Cases
2020-12-18,an,Andaman and Nicobar Islands,New Cases,9,Dec 18,9,Dec 18: 9 New Cases
