Dates,variable,value,color,type
2020-04-15,mod_2,8873,Soc. Dist. + Travel Ban,solid
2020-04-15,mod_4,5994,Moderate return,solid
2020-04-15,mod_5,5990,Normal (pre-intervention),solid
2020-04-15,mod_6,5965,Cautious return,solid
2020-04-16,mod_2,10688,Soc. Dist. + Travel Ban,solid
2020-04-16,mod_4,6397,Moderate return,solid
2020-04-16,mod_5,6387,Normal (pre-intervention),solid
2020-04-16,mod_6,6363,Cautious return,solid
2020-04-17,mod_2,12933,Soc. Dist. + Travel Ban,solid
2020-04-17,mod_4,6808,Moderate return,solid
2020-04-17,mod_5,6791,Normal (pre-intervention),solid
2020-04-17,mod_6,6763,Cautious return,solid
2020-04-18,mod_2,15686,Soc. Dist. + Travel Ban,solid
2020-04-18,mod_4,7236,Moderate return,solid
2020-04-18,mod_5,7209,Normal (pre-intervention),solid
2020-04-18,mod_6,7177,Cautious return,solid
2020-04-19,mod_2,19027,Soc. Dist. + Travel Ban,solid
2020-04-19,mod_4,7671,Moderate return,solid
2020-04-19,mod_5,7637,Normal (pre-intervention),solid
2020-04-19,mod_6,7604,Cautious return,solid
2020-04-20,mod_2,23030,Soc. Dist. + Travel Ban,solid
2020-04-20,mod_4,8120,Moderate return,solid
2020-04-20,mod_5,8079,Normal (pre-intervention),solid
2020-04-20,mod_6,8041,Cautious return,solid
2020-04-21,mod_2,27773,Soc. Dist. + Travel Ban,solid
2020-04-21,mod_4,8583,Moderate return,solid
2020-04-21,mod_5,8528,Normal (pre-intervention),solid
2020-04-21,mod_6,8492,Cautious return,solid
2020-04-22,mod_2,33352,Soc. Dist. + Travel Ban,solid
2020-04-22,mod_4,9066,Moderate return,solid
2020-04-22,mod_5,9004,Normal (pre-intervention),solid
2020-04-22,mod_6,8957,Cautious return,solid
2020-04-23,mod_2,39840,Soc. Dist. + Travel Ban,solid
2020-04-23,mod_4,9562,Moderate return,solid
2020-04-23,mod_5,9489,Normal (pre-intervention),solid
2020-04-23,mod_6,9440,Cautious return,solid
2020-04-24,mod_2,47318,Soc. Dist. + Travel Ban,solid
2020-04-24,mod_4,10080,Moderate return,solid
2020-04-24,mod_5,9992,Normal (pre-intervention),solid
2020-04-24,mod_6,9938,Cautious return,solid
2020-04-25,mod_2,55864,Soc. Dist. + Travel Ban,solid
2020-04-25,mod_4,10613,Moderate return,solid
2020-04-25,mod_5,10512,Normal (pre-intervention),solid
2020-04-25,mod_6,10454,Cautious return,solid
2020-04-26,mod_2,65535,Soc. Dist. + Travel Ban,solid
2020-04-26,mod_4,11164,Moderate return,solid
2020-04-26,mod_5,11051,Normal (pre-intervention),solid
2020-04-26,mod_6,10991,Cautious return,solid
2020-04-27,mod_2,76386,Soc. Dist. + Travel Ban,solid
2020-04-27,mod_4,11737,Moderate return,solid
2020-04-27,mod_5,11603,Normal (pre-intervention),solid
2020-04-27,mod_6,11551,Cautious return,solid
2020-04-28,mod_2,88462,Soc. Dist. + Travel Ban,solid
2020-04-28,mod_4,12325,Moderate return,solid
2020-04-28,mod_5,12182,Normal (pre-intervention),solid
2020-04-28,mod_6,12131,Cautious return,solid
2020-04-29,mod_2,101814,Soc. Dist. + Travel Ban,solid
2020-04-29,mod_4,12945,Moderate return,solid
2020-04-29,mod_5,12788,Normal (pre-intervention),solid
2020-04-29,mod_6,12736,Cautious return,solid
2020-04-30,mod_2,116505,Soc. Dist. + Travel Ban,solid
2020-04-30,mod_4,13614,Moderate return,solid
2020-04-30,mod_5,13470,Normal (pre-intervention),solid
2020-04-30,mod_6,13376,Cautious return,solid
2020-05-01,mod_2,132514,Soc. Dist. + Travel Ban,solid
2020-05-01,mod_4,14348,Moderate return,solid
