Dates,variable,value,color,type
2020-04-15,mod_2,1461,Soc. Dist. + Travel Ban,solid
2020-04-15,mod_4,393,Moderate return,solid
2020-04-15,mod_5,389,Normal (pre-intervention),solid
2020-04-15,mod_6,387,Cautious return,solid
2020-04-16,mod_2,1815,Soc. Dist. + Travel Ban,solid
2020-04-16,mod_4,403,Moderate return,solid
2020-04-16,mod_5,397,Normal (pre-intervention),solid
2020-04-16,mod_6,398,Cautious return,solid
2020-04-17,mod_2,2245,Soc. Dist. + Travel Ban,solid
2020-04-17,mod_4,411,Moderate return,solid
2020-04-17,mod_5,404,Normal (pre-intervention),solid
2020-04-17,mod_6,400,Cautious return,solid
2020-04-18,mod_2,2753,Soc. Dist. + Travel Ban,solid
2020-04-18,mod_4,428,Moderate return,solid
2020-04-18,mod_5,418,Normal (pre-intervention),solid
2020-04-18,mod_6,414,Cautious return,solid
2020-04-19,mod_2,3341,Soc. Dist. + Travel Ban,solid
2020-04-19,mod_4,435,Moderate return,solid
2020-04-19,mod_5,428,Normal (pre-intervention),solid
2020-04-19,mod_6,427,Cautious return,solid
2020-04-20,mod_2,4003,Soc. Dist. + Travel Ban,solid
2020-04-20,mod_4,449,Moderate return,solid
2020-04-20,mod_5,442,Normal (pre-intervention),solid
2020-04-20,mod_6,437,Cautious return,solid
2020-04-21,mod_2,4743,Soc. Dist. + Travel Ban,solid
2020-04-21,mod_4,463,Moderate return,solid
2020-04-21,mod_5,449,Normal (pre-intervention),solid
2020-04-21,mod_6,451,Cautious return,solid
2020-04-22,mod_2,5579,Soc. Dist. + Travel Ban,solid
2020-04-22,mod_4,483,Moderate return,solid
2020-04-22,mod_5,476,Normal (pre-intervention),solid
2020-04-22,mod_6,465,Cautious return,solid
2020-04-23,mod_2,6488,Soc. Dist. + Travel Ban,solid
2020-04-23,mod_4,496,Moderate return,solid
2020-04-23,mod_5,485,Normal (pre-intervention),solid
2020-04-23,mod_6,483,Cautious return,solid
2020-04-24,mod_2,7478,Soc. Dist. + Travel Ban,solid
2020-04-24,mod_4,518,Moderate return,solid
2020-04-24,mod_5,503,Normal (pre-intervention),solid
2020-04-24,mod_6,498,Cautious return,solid
2020-04-25,mod_2,8546,Soc. Dist. + Travel Ban,solid
2020-04-25,mod_4,533,Moderate return,solid
2020-04-25,mod_5,520,Normal (pre-intervention),solid
2020-04-25,mod_6,516,Cautious return,solid
2020-04-26,mod_2,9671,Soc. Dist. + Travel Ban,solid
2020-04-26,mod_4,551,Moderate return,solid
2020-04-26,mod_5,539,Normal (pre-intervention),solid
2020-04-26,mod_6,537,Cautious return,solid
2020-04-27,mod_2,10851,Soc. Dist. + Travel Ban,solid
2020-04-27,mod_4,573,Moderate return,solid
2020-04-27,mod_5,552,Normal (pre-intervention),solid
2020-04-27,mod_6,560,Cautious return,solid
2020-04-28,mod_2,12076,Soc. Dist. + Travel Ban,solid
2020-04-28,mod_4,588,Moderate return,solid
2020-04-28,mod_5,579,Normal (pre-intervention),solid
2020-04-28,mod_6,580,Cautious return,solid
2020-04-29,mod_2,13352,Soc. Dist. + Travel Ban,solid
2020-04-29,mod_4,620,Moderate return,solid
2020-04-29,mod_5,606,Normal (pre-intervention),solid
2020-04-29,mod_6,605,Cautious return,solid
2020-04-30,mod_2,14691,Soc. Dist. + Travel Ban,solid
2020-04-30,mod_4,669,Moderate return,solid
2020-04-30,mod_5,682,Normal (pre-intervention),solid
2020-04-30,mod_6,640,Cautious return,solid
2020-05-01,mod_2,16009,Soc. Dist. + Travel Ban,solid
2020-05-01,mod_4,734,Moderate return,solid
2020-05-01,mod_5,762,Normal (pre-intervention),solid
2020-05-01,mod_6,692,Cautious return,solid
2020-05-02,mod_2,17354,Soc. Dist. + Travel Ban,solid
2020-05-02,mod_4,812,Moderate return,solid
2020-05-02,mod_5,884,Normal (pre-intervention),solid
2020-05-02,mod_6,750,Cautious return,solid
2020-05-03,mod_2,18705,Soc. Dist. + Travel Ban,solid
2020-05-03,mod_4,904,Moderate return,solid
2020-05-03,mod_5,1023,Normal (pre-intervention),solid
2020-05-03,mod_6,807,Cautious return,solid
2020-05-04,mod_2,19993,Soc. Dist. + Travel Ban,solid
2020-05-04,mod_4,1003,Moderate return,solid
2020-05-04,mod_5,1195,Normal (pre-intervention),solid
2020-05-04,mod_6,872,Cautious return,solid
2020-05-05,mod_2,21287,Soc. Dist. + Travel Ban,solid
2020-05-05,mod_4,1128,Moderate return,solid
2020-05-05,mod_5,1402,Normal (pre-intervention),solid
2020-05-05,mod_6,944,Cautious return,solid
2020-05-06,mod_2,22558,Soc. Dist. + Travel Ban,solid
2020-05-06,mod_4,1261,Moderate return,solid
2020-05-06,mod_5,1666,Normal (pre-intervention),solid
2020-05-06,mod_6,1032,Cautious return,solid
2020-05-07,mod_2,23803,Soc. Dist. + Travel Ban,solid
2020-05-07,mod_4,1425,Moderate return,solid
2020-05-07,mod_5,1985,Normal (pre-intervention),solid
2020-05-07,mod_6,1133,Cautious return,solid
2020-05-08,mod_2,24992,Soc. Dist. + Travel Ban,solid
2020-05-08,mod_4,1617,Moderate return,solid
2020-05-08,mod_5,2389,Normal (pre-intervention),solid
2020-05-08,mod_6,1230,Cautious return,solid
2020-05-09,mod_2,26139,Soc. Dist. + Travel Ban,solid
2020-05-09,mod_4,1857,Moderate return,solid
2020-05-09,mod_5,2885,Normal (pre-intervention),solid
2020-05-09,mod_6,1357,Cautious return,solid
2020-05-10,mod_2,27221,Soc. Dist. + Travel Ban,solid
2020-05-10,mod_4,2115,Moderate return,solid
2020-05-10,mod_5,3501,Normal (pre-intervention),solid
2020-05-10,mod_6,1485,Cautious return,solid
2020-05-11,mod_2,28291,Soc. Dist. + Travel Ban,solid
2020-05-11,mod_4,2421,Moderate return,solid
2020-05-11,mod_5,4255,Normal (pre-intervention),solid
2020-05-11,mod_6,1636,Cautious return,solid
2020-05-12,mod_2,29281,Soc. Dist. + Travel Ban,solid
2020-05-12,mod_4,2774,Moderate return,solid
2020-05-12,mod_5,5192,Normal (pre-intervention),solid
2020-05-12,mod_6,1797,Cautious return,solid
2020-05-13,mod_2,30188,Soc. Dist. + Travel Ban,solid
2020-05-13,mod_4,3183,Moderate return,solid
2020-05-13,mod_5,6316,Normal (pre-intervention),solid
2020-05-13,mod_6,1982,Cautious return,solid
2020-05-14,mod_2,31030,Soc. Dist. + Travel Ban,solid
2020-05-14,mod_4,3662,Moderate return,solid
2020-05-14,mod_5,7690,Normal (pre-intervention),solid
2020-05-14,mod_6,2192,Cautious return,solid
2020-05-15,mod_2,31881,Soc. Dist. + Travel Ban,solid
2020-05-15,mod_4,4209,Moderate return,solid
2020-05-15,mod_5,9337,Normal (pre-intervention),solid
2020-05-15,mod_6,2432,Cautious return,solid
2020-05-16,mod_2,32590,Soc. Dist. + Travel Ban,solid
2020-05-16,mod_4,4845,Moderate return,solid
2020-05-16,mod_5,11294,Normal (pre-intervention),solid
2020-05-16,mod_6,2682,Cautious return,solid
2020-05-17,mod_2,33237,Soc. Dist. + Travel Ban,solid
2020-05-17,mod_4,5601,Moderate return,solid
2020-05-17,mod_5,13620,Normal (pre-intervention),solid
2020-05-17,mod_6,2968,Cautious return,solid
2020-05-18,mod_2,33892,Soc. Dist. + Travel Ban,solid
2020-05-18,mod_4,6432,Moderate return,solid
2020-05-18,mod_5,16310,Normal (pre-intervention),solid
2020-05-18,mod_6,3267,Cautious return,solid
2020-05-19,mod_2,34450,Soc. Dist. + Travel Ban,solid
2020-05-19,mod_4,7406,Moderate return,solid
2020-05-19,mod_5,19401,Normal (pre-intervention),solid
2020-05-19,mod_6,3610,Cautious return,solid
2020-05-20,mod_2,34970,Soc. Dist. + Travel Ban,solid
2020-05-20,mod_4,8468,Moderate return,solid
2020-05-20,mod_5,22906,Normal (pre-intervention),solid
2020-05-20,mod_6,4000,Cautious return,solid
2020-05-21,mod_2,35418,Soc. Dist. + Travel Ban,solid
2020-05-21,mod_4,9447,Moderate return,solid
2020-05-21,mod_5,25983,Normal (pre-intervention),solid
2020-05-21,mod_6,4342,Cautious return,solid
2020-05-22,mod_2,35843,Soc. Dist. + Travel Ban,solid
2020-05-22,mod_4,10457,Moderate return,solid
2020-05-22,mod_5,29042,Normal (pre-intervention),solid
2020-05-22,mod_6,4702,Cautious return,solid
2020-05-23,mod_2,36219,Soc. Dist. + Travel Ban,solid
2020-05-23,mod_4,11483,Moderate return,solid
2020-05-23,mod_5,32039,Normal (pre-intervention),solid
2020-05-23,mod_6,5057,Cautious return,solid
2020-05-24,mod_2,36527,Soc. Dist. + Travel Ban,solid
2020-05-24,mod_4,12521,Moderate return,solid
2020-05-24,mod_5,34932,Normal (pre-intervention),solid
2020-05-24,mod_6,5443,Cautious return,solid
2020-05-25,mod_2,36771,Soc. Dist. + Travel Ban,solid
2020-05-25,mod_4,13541,Moderate return,solid
2020-05-25,mod_5,37718,Normal (pre-intervention),solid
2020-05-25,mod_6,5819,Cautious return,solid
2020-05-26,mod_2,37019,Soc. Dist. + Travel Ban,solid
2020-05-26,mod_4,14579,Moderate return,solid
