Dates,variable,value,color
2020-03-01,True,3,black
2020-03-02,True,5,black
2020-03-03,True,5,black
2020-03-04,True,28,black
2020-03-05,True,30,black
2020-03-06,True,31,black
2020-03-07,True,34,black
2020-03-08,True,39,black
2020-03-09,True,43,black
2020-03-10,True,56,black
2020-03-11,True,62,black
2020-03-12,True,73,black
2020-03-13,True,82,black
2020-03-14,True,102,black
2020-03-15,True,113,black
2020-03-16,True,119,black
2020-03-17,True,142,black
2020-03-18,True,156,black
2020-03-19,True,194,black
2020-03-20,True,244,black
2020-03-21,True,330,black
2020-03-22,True,396,black
2020-03-23,True,499,black
2020-03-24,True,536,black
2020-03-25,True,657,black
2020-03-26,True,727,black
2020-03-27,True,887,black
2020-03-28,True,987,black
2020-03-29,True,1024,black
2020-03-30,mod_3,1122,red
2020-03-30,mod_2,1105,green
2020-03-30,mod_4,1106,blue
2020-03-30,mod_4_up,8646,blue
2020-03-31,mod_3,1268,red
2020-03-31,mod_2,1229,green
2020-03-31,mod_4,1229,blue
2020-03-31,mod_4_up,9407,blue
2020-04-01,mod_3,1439,red
2020-04-01,mod_2,1367,green
2020-04-01,mod_4,1369,blue
2020-04-01,mod_4_up,10356,blue
2020-04-02,mod_3,1645,red
2020-04-02,mod_2,1524,green
2020-04-02,mod_4,1527,blue
2020-04-02,mod_4_up,11403,blue
2020-04-03,mod_3,1900,red
2020-04-03,mod_2,1701,green
2020-04-03,mod_4,1706,blue
2020-04-03,mod_4_up,12645,blue
2020-04-04,mod_3,2220,red
2020-04-04,mod_2,1902,green
2020-04-04,mod_4,1908,blue
2020-04-04,mod_4_up,14092,blue
2020-04-05,mod_3,2628,red
2020-04-05,mod_2,2132,green
2020-04-05,mod_4,2135,blue
2020-04-05,mod_4_up,15798,blue
2020-04-06,mod_3,3162,red
2020-04-06,mod_2,2395,green
2020-04-06,mod_4,2397,blue
2020-04-06,mod_4_up,17622,blue
2020-04-07,mod_3,3883,red
2020-04-07,mod_2,2696,green
2020-04-07,mod_4,2704,blue
2020-04-07,mod_4_up,19913,blue
2020-04-08,mod_3,4867,red
2020-04-08,mod_2,3042,green
2020-04-08,mod_4,3050,blue
2020-04-08,mod_4_up,22528,blue
2020-04-09,mod_3,6251,red
2020-04-09,mod_2,3458,green
2020-04-09,mod_4,3434,blue
2020-04-09,mod_4_up,25194,blue
2020-04-10,mod_3,8229,red
2020-04-10,mod_2,3956,green
2020-04-10,mod_4,3849,blue
2020-04-10,mod_4_up,27868,blue
2020-04-11,mod_3,11063,red
2020-04-11,mod_2,4565,green
2020-04-11,mod_4,4287,blue
2020-04-11,mod_4_up,30765,blue
2020-04-12,mod_3,15069,red
2020-04-12,mod_2,5318,green
2020-04-12,mod_4,4734,blue
2020-04-12,mod_4_up,33940,blue
2020-04-13,mod_3,20623,red
2020-04-13,mod_2,6248,green
2020-04-13,mod_4,5177,blue
2020-04-13,mod_4_up,36513,blue
2020-04-14,mod_3,28148,red
2020-04-14,mod_2,7412,green
2020-04-14,mod_4,5601,blue
2020-04-14,mod_4_up,39490,blue
2020-04-15,mod_3,38129,red
2020-04-15,mod_2,8873,green
2020-04-15,mod_4,5994,blue
2020-04-15,mod_4_up,41628,blue
2020-04-16,mod_3,51010,red
2020-04-16,mod_2,10688,green
2020-04-16,mod_4,6397,blue
2020-04-16,mod_4_up,44169,blue
2020-04-17,mod_3,67173,red
2020-04-17,mod_2,12933,green
2020-04-17,mod_4,6808,blue
2020-04-17,mod_4_up,46704,blue
2020-04-18,mod_3,86939,red
2020-04-18,mod_2,15686,green
2020-04-18,mod_4,7236,blue
2020-04-18,mod_4_up,49409,blue
2020-04-19,mod_3,110605,red
2020-04-19,mod_2,19027,green
2020-04-19,mod_4,7671,blue
2020-04-19,mod_4_up,52116,blue
2020-04-20,mod_3,138390,red
2020-04-20,mod_2,23030,green
2020-04-20,mod_4,8120,blue
2020-04-20,mod_4_up,54321,blue
2020-04-21,mod_3,170477,red
2020-04-21,mod_2,27773,green
2020-04-21,mod_4,8583,blue
2020-04-21,mod_4_up,57061,blue
2020-04-22,mod_3,206946,red
2020-04-22,mod_2,33352,green
2020-04-22,mod_4,9066,blue
2020-04-22,mod_4_up,59610,blue
2020-04-23,mod_3,247875,red
2020-04-23,mod_2,39840,green
2020-04-23,mod_4,9562,blue
2020-04-23,mod_4_up,62454,blue
2020-04-24,mod_3,293214,red
2020-04-24,mod_2,47318,green
2020-04-24,mod_4,10080,blue
2020-04-24,mod_4_up,65585,blue
2020-04-25,mod_3,342870,red
2020-04-25,mod_2,55864,green
2020-04-25,mod_4,10613,blue
2020-04-25,mod_4_up,68134,blue
2020-04-26,mod_3,396691,red
2020-04-26,mod_2,65535,green
2020-04-26,mod_4,11164,blue
2020-04-26,mod_4_up,70699,blue
2020-04-27,mod_3,454475,red
2020-04-27,mod_2,76386,green
2020-04-27,mod_4,11737,blue
2020-04-27,mod_4_up,74316,blue
2020-04-28,mod_3,515993,red
2020-04-28,mod_2,88462,green
2020-04-28,mod_4,12325,blue
2020-04-28,mod_4_up,76822,blue
2020-04-29,mod_3,581000,red
2020-04-29,mod_2,101814,green
2020-04-29,mod_4,12945,blue
2020-04-29,mod_4_up,79837,blue
2020-04-30,mod_3,649237,red
2020-04-30,mod_2,116505,green
2020-04-30,mod_4,13614,blue
2020-04-30,mod_4_up,83300,blue
