state,place,date,confirmed,tested,daily_confirmed,daily_tested,tpr,text
Andhra Pradesh,ap,2020-04-11,405,6958,24,584,0.0410958904109589,Date: Apr 11<br>TPR:    4.11%
Assam,as,2020-04-11,29,3011,0,148,0,Date: Apr 11<br>TPR:    0.00%
Bihar,br,2020-04-11,64,6250,4,793,0.00504413619167718,Date: Apr 11<br>TPR:    0.50%
Chandigarh,ch,2020-04-11,19,264,0,41,0,Date: Apr 11<br>TPR:    0.00%
Chhattisgarh,ct,2020-04-11,25,3858,7,385,0.0181818181818182,Date: Apr 11<br>TPR:    1.82%
Delhi,dl,2020-04-11,1069,11709,166,648,0.256172839506173,Date: Apr 11<br>TPR:   25.62%
Gujarat,gj,2020-04-11,468,9763,90,2045,0.0440097799511002,Date: Apr 11<br>TPR:    4.40%
Haryana,hr,2020-04-11,179,3663,3,136,0.0220588235294118,Date: Apr 11<br>TPR:    2.21%
Jharkhand,jh,2020-04-11,17,1546,3,206,0.0145631067961165,Date: Apr 11<br>TPR:    1.46%
Jammu and Kashmir,jk,2020-04-11,224,3206,17,245,0.0693877551020408,Date: Apr 11<br>TPR:    6.94%
Karnataka,ka,2020-04-11,215,8560,8,585,0.0136752136752137,Date: Apr 11<br>TPR:    1.37%
Kerala,kl,2020-04-11,374,14163,10,824,0.0121359223300971,Date: Apr 11<br>TPR:    1.21%
Maharashtra,mh,2020-04-11,1761,31841,187,1841,0.101575230852797,Date: Apr 11<br>TPR:   10.16%
Madhya Pradesh,mp,2020-04-11,529,8516,78,1467,0.0531697341513292,Date: Apr 11<br>TPR:    5.32%
Odisha,or,2020-04-11,54,3551,4,4,1,Date: Apr 11<br>TPR:  100.00%
Punjab,pb,2020-04-11,158,3909,7,448,0.015625,Date: Apr 11<br>TPR:    1.56%
Rajasthan,rj,2020-04-11,700,24857,139,2508,0.0554226475279107,Date: Apr 11<br>TPR:    5.54%
Tamil Nadu,tn,2020-04-11,969,9842,58,1432,0.0405027932960894,Date: Apr 11<br>TPR:    4.05%
India,tt,2020-04-11,8453,179374,854,18044,0.047328751939703,Date: Apr 11<br>TPR:    4.73%
Uttar Pradesh,up,2020-04-11,452,10595,19,1263,0.0150435471100554,Date: Apr 11<br>TPR:    1.50%
Uttarakhand,ut,2020-04-11,35,1705,0,17,0,Date: Apr 11<br>TPR:    0.00%
West Bengal,wb,2020-04-11,126,2286,10,191,0.0523560209424084,Date: Apr 11<br>TPR:    5.24%
Assam,as,2020-04-12,30,3138,1,127,0.0078740157480315,Date: Apr 12<br>TPR:    0.79%
Bihar,br,2020-04-12,64,6703,0,453,0,Date: Apr 12<br>TPR:    0.00%
Chandigarh,ch,2020-04-12,21,279,2,15,0.133333333333333,Date: Apr 12<br>TPR:   13.33%
Chhattisgarh,ct,2020-04-12,31,3945,6,87,0.0689655172413793,Date: Apr 12<br>TPR:    6.90%
