place,Day,first_dose,second_dose,total_doses,pct_one_dose,pct_two_doses,daily_doses,abbrev,text
India,2021-03-15,27079484,5867948,32947432,1.9818,0.4294,3039394,tt,"India<br>2021-03-15:   3,039,394 daily vaccines<br>"
India,2021-03-16,28862037,6202499,35064536,2.1122,0.4539,2117104,tt,"India<br>2021-03-16:   2,117,104 daily vaccines<br>"
India,2021-03-17,30600787,6542468,37143255,2.2395,0.4788,2078719,tt,"India<br>2021-03-17:   2,078,719 daily vaccines<br>"
India,2021-03-18,32426230,6913587,39339817,2.3731,0.506,2196562,tt,"India<br>2021-03-18:   2,196,562 daily vaccines<br>"
India,2021-03-19,34842030,7221362,42063392,2.5499,0.5285,2723575,tt,"India<br>2021-03-19:   2,723,575 daily vaccines<br>"
India,2021-03-20,37125187,7478654,44603841,2.717,0.5473,2540449,tt,"India<br>2021-03-20:   2,540,449 daily vaccines<br>"
India,2021-03-21,37574302,7491696,45065998,2.7498,0.5483,462157,tt,"India<br>2021-03-21:     462,157 daily vaccines<br>"
India,2021-03-22,40631153,7863441,48494594,2.9736,0.5755,3428596,tt,"India<br>2021-03-22:   3,428,596 daily vaccines<br>"
India,2021-03-23,42731952,8109334,50841286,3.1273,0.5935,2346692,tt,"India<br>2021-03-23:   2,346,692 daily vaccines<br>"
India,2021-03-24,44846538,8299171,53145709,3.2821,0.6074,2304423,tt,"India<br>2021-03-24:   2,304,423 daily vaccines<br>"
India,2021-03-25,47001472,8502968,55504440,3.4398,0.6223,2358731,tt,"India<br>2021-03-25:   2,358,731 daily vaccines<br>"
India,2021-03-26,49426618,8683155,58109773,3.6172,0.6355,2605333,tt,"India<br>2021-03-26:   2,605,333 daily vaccines<br>"
India,2021-03-27,51441436,8828346,60269782,3.7647,0.6461,2160009,tt,"India<br>2021-03-27:   2,160,009 daily vaccines<br>"
India,2021-03-28,51660234,8870201,60530435,3.7807,0.6492,260653,tt,"India<br>2021-03-28:     260,653 daily vaccines<br>"
India,2021-03-29,52211398,8901956,61113354,3.821,0.6515,582919,tt,"India<br>2021-03-29:     582,919 daily vaccines<br>"
India,2021-03-30,53989035,9065318,63054353,3.9511,0.6634,1940999,tt,"India<br>2021-03-30:   1,940,999 daily vaccines<br>"
India,2021-03-31,55783201,9334695,65117896,4.0824,0.6832,2063543,tt,"India<br>2021-03-31:   2,063,543 daily vaccines<br>"
India,2021-04-01,59148798,9640340,68789138,4.3287,0.7055,3671242,tt,"India<br>2021-04-01:   3,671,242 daily vaccines<br>"
India,2021-04-02,63081589,9972706,73054295,4.6166,0.7298,4265157,tt,"India<br>2021-04-02:   4,265,157 daily vaccines<br>"
India,2021-04-03,65739470,10240181,75979651,4.8111,0.7494,2925356,tt,"India<br>2021-04-03:   2,925,356 daily vaccines<br>"
India,2021-04-04,68678838,10426325,79105163,5.0262,0.763,3125512,tt,"India<br>2021-04-04:   3,125,512 daily vaccines<br>"
India,2021-04-05,72277309,10833617,83110926,5.2895,0.7928,4005763,tt,"India<br>2021-04-05:   4,005,763 daily vaccines<br>"
India,2021-04-06,75937015,11140459,87077474,5.5574,0.8153,3966548,tt,"India<br>2021-04-06:   3,966,548 daily vaccines<br>"
India,2021-04-07,78763027,11435646,90198673,5.7642,0.8369,3121199,tt,"India<br>2021-04-07:   3,121,199 daily vaccines<br>"
India,2021-04-08,82456522,11877740,94334262,6.0345,0.8693,4135589,tt,"India<br>2021-04-08:   4,135,589 daily vaccines<br>"
India,2021-04-09,85763852,12311308,98075160,6.2765,0.901,3740898,tt,"India<br>2021-04-09:   3,740,898 daily vaccines<br>"
India,2021-04-10,88885961,12709186,101595147,6.505,0.9301,3519987,tt,"India<br>2021-04-10:   3,519,987 daily vaccines<br>"
India,2021-04-11,91587400,12941165,104528565,6.7027,0.9471,2933418,tt,"India<br>2021-04-11:   2,933,418 daily vaccines<br>"
India,2021-04-12,95043039,13490046,108533085,6.9556,0.9873,4004520,tt,"India<br>2021-04-12:   4,004,520 daily vaccines<br>"
India,2021-04-13,97301914,13877664,111179578,7.1209,1.0156,2646493,tt,"India<br>2021-04-13:   2,646,493 daily vaccines<br>"
India,2021-04-14,100179199,14314039,114493238,7.3315,1.0476,3313660,tt,"India<br>2021-04-14:   3,313,660 daily vaccines<br>"
India,2021-04-15,102349255,14874254,117223509,7.4903,1.0886,2730271,tt,"India<br>2021-04-15:   2,730,271 daily vaccines<br>"
India,2021-04-16,104408484,15529157,119937641,7.641,1.1365,2714132,tt,"India<br>2021-04-16:   2,714,132 daily vaccines<br>"
India,2021-04-17,106431076,16191514,122622590,7.7891,1.185,2684949,tt,"India<br>2021-04-17:   2,684,949 daily vaccines<br>"
