place,date,Type,Count,date.fmt,count.fmt,text
India,2020-01-30,New Cases,1,Jan 30,1,Jan 30: 1 New Cases
India,2020-01-31,New Cases,1,Jan 31,1,Jan 31: 1 New Cases
India,2020-02-01,New Cases,1,Feb  1,1,Feb  1: 1 New Cases
India,2020-02-02,New Cases,1,Feb  2,1,Feb  2: 1 New Cases
India,2020-02-03,New Cases,1,Feb  3,1,Feb  3: 1 New Cases
India,2020-02-04,New Cases,1,Feb  4,1,Feb  4: 1 New Cases
India,2020-02-05,New Cases,1,Feb  5,1,Feb  5: 1 New Cases
India,2020-02-06,New Cases,1,Feb  6,1,Feb  6: 1 New Cases
India,2020-02-07,New Cases,1,Feb  7,1,Feb  7: 1 New Cases
India,2020-02-08,New Cases,1,Feb  8,1,Feb  8: 1 New Cases
India,2020-02-09,New Cases,1,Feb  9,1,Feb  9: 1 New Cases
India,2020-02-10,New Cases,1,Feb 10,1,Feb 10: 1 New Cases
India,2020-02-11,New Cases,1,Feb 11,1,Feb 11: 1 New Cases
India,2020-02-12,New Cases,1,Feb 12,1,Feb 12: 1 New Cases
India,2020-02-13,New Cases,1,Feb 13,1,Feb 13: 1 New Cases
India,2020-02-14,New Cases,1,Feb 14,1,Feb 14: 1 New Cases
India,2020-02-15,New Cases,1,Feb 15,1,Feb 15: 1 New Cases
India,2020-02-16,New Cases,1,Feb 16,1,Feb 16: 1 New Cases
India,2020-02-17,New Cases,1,Feb 17,1,Feb 17: 1 New Cases
India,2020-02-18,New Cases,1,Feb 18,1,Feb 18: 1 New Cases
India,2020-02-19,New Cases,1,Feb 19,1,Feb 19: 1 New Cases
India,2020-02-20,New Cases,1,Feb 20,1,Feb 20: 1 New Cases
India,2020-02-21,New Cases,1,Feb 21,1,Feb 21: 1 New Cases
India,2020-02-22,New Cases,1,Feb 22,1,Feb 22: 1 New Cases
India,2020-02-23,New Cases,1,Feb 23,1,Feb 23: 1 New Cases
India,2020-02-24,New Cases,1,Feb 24,1,Feb 24: 1 New Cases
India,2020-02-25,New Cases,1,Feb 25,1,Feb 25: 1 New Cases
India,2020-02-26,New Cases,1,Feb 26,1,Feb 26: 1 New Cases
India,2020-02-27,New Cases,1,Feb 27,1,Feb 27: 1 New Cases
India,2020-02-28,New Cases,1,Feb 28,1,Feb 28: 1 New Cases
India,2020-02-29,New Cases,1,Feb 29,1,Feb 29: 1 New Cases
India,2020-03-01,New Cases,1,Mar  1,1,Mar  1: 1 New Cases
India,2020-03-02,New Cases,2,Mar  2,2,Mar  2: 2 New Cases
India,2020-03-03,New Cases,1,Mar  3,1,Mar  3: 1 New Cases
India,2020-03-04,New Cases,22,Mar  4,22,Mar  4: 22 New Cases
India,2020-03-05,New Cases,2,Mar  5,2,Mar  5: 2 New Cases
India,2020-03-06,New Cases,1,Mar  6,1,Mar  6: 1 New Cases
India,2020-03-07,New Cases,3,Mar  7,3,Mar  7: 3 New Cases
India,2020-03-08,New Cases,5,Mar  8,5,Mar  8: 5 New Cases
India,2020-03-09,New Cases,9,Mar  9,9,Mar  9: 9 New Cases
India,2020-03-10,New Cases,15,Mar 10,15,Mar 10: 15 New Cases
India,2020-03-11,New Cases,8,Mar 11,8,Mar 11: 8 New Cases
India,2020-03-12,New Cases,10,Mar 12,10,Mar 12: 10 New Cases
India,2020-03-13,New Cases,10,Mar 13,10,Mar 13: 10 New Cases
India,2020-03-14,New Cases,11,Mar 14,11,Mar 14: 11 New Cases
India,2020-03-15,New Cases,10,Mar 15,10,Mar 15: 10 New Cases
India,2020-03-16,New Cases,14,Mar 16,14,Mar 16: 14 New Cases
India,2020-03-17,New Cases,20,Mar 17,20,Mar 17: 20 New Cases
India,2020-03-18,New Cases,25,Mar 18,25,Mar 18: 25 New Cases
India,2020-03-19,New Cases,27,Mar 19,27,Mar 19: 27 New Cases
India,2020-03-20,New Cases,58,Mar 20,58,Mar 20: 58 New Cases
India,2020-03-21,New Cases,78,Mar 21,78,Mar 21: 78 New Cases
India,2020-03-22,New Cases,69,Mar 22,69,Mar 22: 69 New Cases
India,2020-03-23,New Cases,94,Mar 23,94,Mar 23: 94 New Cases
India,2020-03-24,New Cases,74,Mar 24,74,Mar 24: 74 New Cases
India,2020-03-25,New Cases,86,Mar 25,86,Mar 25: 86 New Cases
India,2020-03-26,New Cases,73,Mar 26,73,Mar 26: 73 New Cases
India,2020-03-27,New Cases,153,Mar 27,153,Mar 27: 153 New Cases
India,2020-03-28,New Cases,136,Mar 28,136,Mar 28: 136 New Cases
India,2020-03-29,New Cases,120,Mar 29,120,Mar 29: 120 New Cases
India,2020-03-30,New Cases,187,Mar 30,187,Mar 30: 187 New Cases
India,2020-03-31,New Cases,309,Mar 31,309,Mar 31: 309 New Cases
India,2020-04-01,New Cases,424,Apr  1,424,Apr  1: 424 New Cases
India,2020-04-02,New Cases,486,Apr  2,486,Apr  2: 486 New Cases
India,2020-04-03,New Cases,560,Apr  3,560,Apr  3: 560 New Cases
India,2020-04-04,New Cases,579,Apr  4,579,Apr  4: 579 New Cases
India,2020-04-05,New Cases,609,Apr  5,609,Apr  5: 609 New Cases
India,2020-04-06,New Cases,484,Apr  6,484,Apr  6: 484 New Cases
India,2020-04-07,New Cases,573,Apr  7,573,Apr  7: 573 New Cases
India,2020-04-08,New Cases,565,Apr  8,565,Apr  8: 565 New Cases
India,2020-04-09,New Cases,813,Apr  9,813,Apr  9: 813 New Cases
India,2020-04-10,New Cases,871,Apr 10,871,Apr 10: 871 New Cases
India,2020-04-11,New Cases,854,Apr 11,854,Apr 11: 854 New Cases
India,2020-04-12,New Cases,758,Apr 12,758,Apr 12: 758 New Cases
India,2020-04-13,New Cases,1243,Apr 13,"1,243","Apr 13: 1,243 New Cases"
India,2020-04-14,New Cases,1031,Apr 14,"1,031","Apr 14: 1,031 New Cases"
India,2020-04-15,New Cases,886,Apr 15,886,Apr 15: 886 New Cases
India,2020-04-16,New Cases,1061,Apr 16,"1,061","Apr 16: 1,061 New Cases"
India,2020-04-17,New Cases,922,Apr 17,922,Apr 17: 922 New Cases
India,2020-04-18,New Cases,1371,Apr 18,"1,371","Apr 18: 1,371 New Cases"
India,2020-04-19,New Cases,1580,Apr 19,"1,580","Apr 19: 1,580 New Cases"
India,2020-04-20,New Cases,1239,Apr 20,"1,239","Apr 20: 1,239 New Cases"
India,2020-04-21,New Cases,1537,Apr 21,"1,537","Apr 21: 1,537 New Cases"
India,2020-04-22,New Cases,1292,Apr 22,"1,292","Apr 22: 1,292 New Cases"
India,2020-04-23,New Cases,1667,Apr 23,"1,667","Apr 23: 1,667 New Cases"
India,2020-04-24,New Cases,1408,Apr 24,"1,408","Apr 24: 1,408 New Cases"
India,2020-04-25,New Cases,1835,Apr 25,"1,835","Apr 25: 1,835 New Cases"
India,2020-04-26,New Cases,1607,Apr 26,"1,607","Apr 26: 1,607 New Cases"
India,2020-04-27,New Cases,1568,Apr 27,"1,568","Apr 27: 1,568 New Cases"
India,2020-04-28,New Cases,1902,Apr 28,"1,902","Apr 28: 1,902 New Cases"
India,2020-04-29,New Cases,1705,Apr 29,"1,705","Apr 29: 1,705 New Cases"
India,2020-04-30,New Cases,1801,Apr 30,"1,801","Apr 30: 1,801 New Cases"
India,2020-05-01,New Cases,2396,May  1,"2,396","May  1: 2,396 New Cases"
