Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,text
2020-04-30,mod_2,30655,175791,Soc. Dist. + Travel Ban,solid,Apr 30,"30,655","Apr 30: 30,655 projected cases per day"
2020-04-30,mod_4,324,3424,Moderate return,solid,Apr 30,324,Apr 30: 324 projected cases per day
2020-04-30,mod_5,424,3204,Normal (pre-intervention),solid,Apr 30,424,Apr 30: 424 projected cases per day
2020-04-30,mod_6,256,1849,Cautious return,solid,Apr 30,256,Apr 30: 256 projected cases per day
2020-05-01,mod_2,37242,218089,Soc. Dist. + Travel Ban,solid,May 01,"37,242","May 01: 37,242 projected cases per day"
2020-05-01,mod_4,352,3542,Moderate return,solid,May 01,352,May 01: 352 projected cases per day
2020-05-01,mod_5,495,4670,Normal (pre-intervention),solid,May 01,495,May 01: 495 projected cases per day
2020-05-01,mod_6,282,2574,Cautious return,solid,May 01,282,May 01: 282 projected cases per day
2020-05-02,mod_2,44669,269185,Soc. Dist. + Travel Ban,solid,May 02,"44,669","May 02: 44,669 projected cases per day"
2020-05-02,mod_4,387,3121,Moderate return,solid,May 02,387,May 02: 387 projected cases per day
2020-05-02,mod_5,584,5445,Normal (pre-intervention),solid,May 02,584,May 02: 584 projected cases per day
2020-05-02,mod_6,285,3229,Cautious return,solid,May 02,285,May 02: 285 projected cases per day
2020-05-03,mod_2,53010,329183,Soc. Dist. + Travel Ban,solid,May 03,"53,010","May 03: 53,010 projected cases per day"
2020-05-03,mod_4,435,3961,Moderate return,solid,May 03,435,May 03: 435 projected cases per day
2020-05-03,mod_5,707,5990,Normal (pre-intervention),solid,May 03,707,May 03: 707 projected cases per day
2020-05-03,mod_6,312,3138,Cautious return,solid,May 03,312,May 03: 312 projected cases per day
2020-05-04,mod_2,61968,408163,Soc. Dist. + Travel Ban,solid,May 04,"61,968","May 04: 61,968 projected cases per day"
2020-05-04,mod_4,494,4109,Moderate return,solid,May 04,494,May 04: 494 projected cases per day
2020-05-04,mod_5,870,7272,Normal (pre-intervention),solid,May 04,870,May 04: 870 projected cases per day
2020-05-04,mod_6,333,2227,Cautious return,solid,May 04,333,May 04: 333 projected cases per day
2020-05-05,mod_2,71587,502403,Soc. Dist. + Travel Ban,solid,May 05,"71,587","May 05: 71,587 projected cases per day"
2020-05-05,mod_4,586,5525,Moderate return,solid,May 05,586,May 05: 586 projected cases per day
2020-05-05,mod_5,1094,9070,Normal (pre-intervention),solid,May 05,"1,094","May 05: 1,094 projected cases per day"
2020-05-05,mod_6,363,3689,Cautious return,solid,May 05,363,May 05: 363 projected cases per day
2020-05-06,mod_2,81844,614152,Soc. Dist. + Travel Ban,solid,May 06,"81,844","May 06: 81,844 projected cases per day"
2020-05-06,mod_4,662,4977,Moderate return,solid,May 06,662,May 06: 662 projected cases per day
2020-05-06,mod_5,1400,8708,Normal (pre-intervention),solid,May 06,"1,400","May 06: 1,400 projected cases per day"
2020-05-06,mod_6,397,3459,Cautious return,solid,May 06,397,May 06: 397 projected cases per day
2020-05-07,mod_2,92299,765540,Soc. Dist. + Travel Ban,solid,May 07,"92,299","May 07: 92,299 projected cases per day"
2020-05-07,mod_4,777,5302,Moderate return,solid,May 07,777,May 07: 777 projected cases per day
2020-05-07,mod_5,1849,11484,Normal (pre-intervention),solid,May 07,"1,849","May 07: 1,849 projected cases per day"
2020-05-07,mod_6,432,4641,Cautious return,solid,May 07,432,May 07: 432 projected cases per day
2020-05-08,mod_2,103199,908105,Soc. Dist. + Travel Ban,solid,May 08,"103,199","May 08: 103,199 projected cases per day"
2020-05-08,mod_4,937,7039,Moderate return,solid,May 08,937,May 08: 937 projected cases per day
2020-05-08,mod_5,2478,13330,Normal (pre-intervention),solid,May 08,"2,478","May 08: 2,478 projected cases per day"
2020-05-08,mod_6,486,4099,Cautious return,solid,May 08,486,May 08: 486 projected cases per day
2020-05-09,mod_2,114266,1118402,Soc. Dist. + Travel Ban,solid,May 09,"114,266","May 09: 114,266 projected cases per day"
2020-05-09,mod_4,1136,8051,Moderate return,solid,May 09,"1,136","May 09: 1,136 projected cases per day"
2020-05-09,mod_5,3395,18261,Normal (pre-intervention),solid,May 09,"3,395","May 09: 3,395 projected cases per day"
2020-05-09,mod_6,552,4297,Cautious return,solid,May 09,552,May 09: 552 projected cases per day
2020-05-10,mod_2,125444,1340665,Soc. Dist. + Travel Ban,solid,May 10,"125,444","May 10: 125,444 projected cases per day"
2020-05-10,mod_4,1411,8571,Moderate return,solid,May 10,"1,411","May 10: 1,411 projected cases per day"
2020-05-10,mod_5,4675,21794,Normal (pre-intervention),solid,May 10,"4,675","May 10: 4,675 projected cases per day"
2020-05-10,mod_6,612,4603,Cautious return,solid,May 10,612,May 10: 612 projected cases per day
2020-05-11,mod_2,136408,1567044,Soc. Dist. + Travel Ban,solid,May 11,"136,408","May 11: 136,408 projected cases per day"
2020-05-11,mod_4,1733,9159,Moderate return,solid,May 11,"1,733","May 11: 1,733 projected cases per day"
2020-05-11,mod_5,6487,24607,Normal (pre-intervention),solid,May 11,"6,487","May 11: 6,487 projected cases per day"
2020-05-11,mod_6,698,6334,Cautious return,solid,May 11,698,May 11: 698 projected cases per day
2020-05-12,mod_2,147212,1788773,Soc. Dist. + Travel Ban,solid,May 12,"147,212","May 12: 147,212 projected cases per day"
2020-05-12,mod_4,2181,12231,Moderate return,solid,May 12,"2,181","May 12: 2,181 projected cases per day"
2020-05-12,mod_5,8996,33353,Normal (pre-intervention),solid,May 12,"8,996","May 12: 8,996 projected cases per day"
2020-05-12,mod_6,805,5064,Cautious return,solid,May 12,805,May 12: 805 projected cases per day
2020-05-13,mod_2,157652,2119551,Soc. Dist. + Travel Ban,solid,May 13,"157,652","May 13: 157,652 projected cases per day"
2020-05-13,mod_4,2776,11554,Moderate return,solid,May 13,"2,776","May 13: 2,776 projected cases per day"
2020-05-13,mod_5,12469,42451,Normal (pre-intervention),solid,May 13,"12,469","May 13: 12,469 projected cases per day"
2020-05-13,mod_6,928,4755,Cautious return,solid,May 13,928,May 13: 928 projected cases per day
2020-05-14,mod_2,167759,2396063,Soc. Dist. + Travel Ban,solid,May 14,"167,759","May 14: 167,759 projected cases per day"
2020-05-14,mod_4,3435,14305,Moderate return,solid,May 14,"3,435","May 14: 3,435 projected cases per day"
2020-05-14,mod_5,16535,53387,Normal (pre-intervention),solid,May 14,"16,535","May 14: 16,535 projected cases per day"
2020-05-14,mod_6,1082,8062,Cautious return,solid,May 14,"1,082","May 14: 1,082 projected cases per day"
2020-05-15,mod_2,177329,2568728,Soc. Dist. + Travel Ban,solid,May 15,"177,329","May 15: 177,329 projected cases per day"
2020-05-15,mod_4,4249,16437,Moderate return,solid,May 15,"4,249","May 15: 4,249 projected cases per day"
2020-05-15,mod_5,21400,66007,Normal (pre-intervention),solid,May 15,"21,400","May 15: 21,400 projected cases per day"
2020-05-15,mod_6,1236,6338,Cautious return,solid,May 15,"1,236","May 15: 1,236 projected cases per day"
2020-05-16,mod_2,186514,2908157,Soc. Dist. + Travel Ban,solid,May 16,"186,514","May 16: 186,514 projected cases per day"
2020-05-16,mod_4,5229,17621,Moderate return,solid,May 16,"5,229","May 16: 5,229 projected cases per day"
2020-05-16,mod_5,27004,86414,Normal (pre-intervention),solid,May 16,"27,004","May 16: 27,004 projected cases per day"
2020-05-16,mod_6,1444,8413,Cautious return,solid,May 16,"1,444","May 16: 1,444 projected cases per day"
2020-05-17,mod_2,195235,3055601,Soc. Dist. + Travel Ban,solid,May 17,"195,235","May 17: 195,235 projected cases per day"
2020-05-17,mod_4,6399,21131,Moderate return,solid,May 17,"6,399","May 17: 6,399 projected cases per day"
2020-05-17,mod_5,33210,109964,Normal (pre-intervention),solid,May 17,"33,210","May 17: 33,210 projected cases per day"
2020-05-17,mod_6,1658,7350,Cautious return,solid,May 17,"1,658","May 17: 1,658 projected cases per day"
2020-05-18,mod_2,203256,3425830,Soc. Dist. + Travel Ban,solid,May 18,"203,256","May 18: 203,256 projected cases per day"
2020-05-18,mod_4,7691,22930,Moderate return,solid,May 18,"7,691","May 18: 7,691 projected cases per day"
2020-05-18,mod_5,39939,131482,Normal (pre-intervention),solid,May 18,"39,939","May 18: 39,939 projected cases per day"
2020-05-18,mod_6,1927,9131,Cautious return,solid,May 18,"1,927","May 18: 1,927 projected cases per day"
2020-05-19,mod_2,210951,3639722,Soc. Dist. + Travel Ban,solid,May 19,"210,951","May 19: 210,951 projected cases per day"
