Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,text
2020-04-30,mod_2,4858,24248,Soc. Dist. + Travel Ban,solid,Apr 30,"4,858","Apr 30: 4,858 projected cases per day"
2020-04-30,mod_4,106,940,Moderate return,solid,Apr 30,106,Apr 30: 106 projected cases per day
2020-04-30,mod_5,142,1363,Normal (pre-intervention),solid,Apr 30,142,Apr 30: 142 projected cases per day
2020-04-30,mod_6,86,726,Cautious return,solid,Apr 30,86,Apr 30: 86 projected cases per day
2020-05-01,mod_2,5528,26161,Soc. Dist. + Travel Ban,solid,May 01,"5,528","May 01: 5,528 projected cases per day"
2020-05-01,mod_4,119,1247,Moderate return,solid,May 01,119,May 01: 119 projected cases per day
2020-05-01,mod_5,168,1347,Normal (pre-intervention),solid,May 01,168,May 01: 168 projected cases per day
2020-05-01,mod_6,93,938,Cautious return,solid,May 01,93,May 01: 93 projected cases per day
2020-05-02,mod_2,6232,30130,Soc. Dist. + Travel Ban,solid,May 02,"6,232","May 02: 6,232 projected cases per day"
2020-05-02,mod_4,135,1170,Moderate return,solid,May 02,135,May 02: 135 projected cases per day
2020-05-02,mod_5,196,1488,Normal (pre-intervention),solid,May 02,196,May 02: 196 projected cases per day
2020-05-02,mod_6,96,513,Cautious return,solid,May 02,96,May 02: 96 projected cases per day
2020-05-03,mod_2,6994,37333,Soc. Dist. + Travel Ban,solid,May 03,"6,994","May 03: 6,994 projected cases per day"
2020-05-03,mod_4,148,1155,Moderate return,solid,May 03,148,May 03: 148 projected cases per day
2020-05-03,mod_5,234,2043,Normal (pre-intervention),solid,May 03,234,May 03: 234 projected cases per day
2020-05-03,mod_6,101,961,Cautious return,solid,May 03,101,May 03: 101 projected cases per day
2020-05-04,mod_2,7769,39539,Soc. Dist. + Travel Ban,solid,May 04,"7,769","May 04: 7,769 projected cases per day"
2020-05-04,mod_4,169,1204,Moderate return,solid,May 04,169,May 04: 169 projected cases per day
2020-05-04,mod_5,286,1898,Normal (pre-intervention),solid,May 04,286,May 04: 286 projected cases per day
2020-05-04,mod_6,115,1329,Cautious return,solid,May 04,115,May 04: 115 projected cases per day
2020-05-05,mod_2,8580,44678,Soc. Dist. + Travel Ban,solid,May 05,"8,580","May 05: 8,580 projected cases per day"
2020-05-05,mod_4,192,1473,Moderate return,solid,May 05,192,May 05: 192 projected cases per day
2020-05-05,mod_5,362,2369,Normal (pre-intervention),solid,May 05,362,May 05: 362 projected cases per day
2020-05-05,mod_6,124,849,Cautious return,solid,May 05,124,May 05: 124 projected cases per day
2020-05-06,mod_2,9392,52949,Soc. Dist. + Travel Ban,solid,May 06,"9,392","May 06: 9,392 projected cases per day"
2020-05-06,mod_4,227,1616,Moderate return,solid,May 06,227,May 06: 227 projected cases per day
2020-05-06,mod_5,461,2524,Normal (pre-intervention),solid,May 06,461,May 06: 461 projected cases per day
2020-05-06,mod_6,136,980,Cautious return,solid,May 06,136,May 06: 136 projected cases per day
2020-05-07,mod_2,10259,58558,Soc. Dist. + Travel Ban,solid,May 07,"10,259","May 07: 10,259 projected cases per day"
2020-05-07,mod_4,263,1685,Moderate return,solid,May 07,263,May 07: 263 projected cases per day
2020-05-07,mod_5,594,3102,Normal (pre-intervention),solid,May 07,594,May 07: 594 projected cases per day
2020-05-07,mod_6,153,1155,Cautious return,solid,May 07,153,May 07: 153 projected cases per day
2020-05-08,mod_2,11110,70745,Soc. Dist. + Travel Ban,solid,May 08,"11,110","May 08: 11,110 projected cases per day"
2020-05-08,mod_4,317,2207,Moderate return,solid,May 08,317,May 08: 317 projected cases per day
2020-05-08,mod_5,768,3874,Normal (pre-intervention),solid,May 08,768,May 08: 768 projected cases per day
2020-05-08,mod_6,168,1205,Cautious return,solid,May 08,168,May 08: 168 projected cases per day
2020-05-09,mod_2,11984,80885,Soc. Dist. + Travel Ban,solid,May 09,"11,984","May 09: 11,984 projected cases per day"
2020-05-09,mod_4,378,1893,Moderate return,solid,May 09,378,May 09: 378 projected cases per day
2020-05-09,mod_5,996,4428,Normal (pre-intervention),solid,May 09,996,May 09: 996 projected cases per day
2020-05-09,mod_6,183,1650,Cautious return,solid,May 09,183,May 09: 183 projected cases per day
2020-05-10,mod_2,12853,87806,Soc. Dist. + Travel Ban,solid,May 10,"12,853","May 10: 12,853 projected cases per day"
2020-05-10,mod_4,446,1997,Moderate return,solid,May 10,446,May 10: 446 projected cases per day
2020-05-10,mod_5,1297,4662,Normal (pre-intervention),solid,May 10,"1,297","May 10: 1,297 projected cases per day"
2020-05-10,mod_6,208,1060,Cautious return,solid,May 10,208,May 10: 208 projected cases per day
2020-05-11,mod_2,13708,102318,Soc. Dist. + Travel Ban,solid,May 11,"13,708","May 11: 13,708 projected cases per day"
2020-05-11,mod_4,535,2711,Moderate return,solid,May 11,535,May 11: 535 projected cases per day
2020-05-11,mod_5,1692,6553,Normal (pre-intervention),solid,May 11,"1,692","May 11: 1,692 projected cases per day"
2020-05-11,mod_6,233,1761,Cautious return,solid,May 11,233,May 11: 233 projected cases per day
2020-05-12,mod_2,14581,125520,Soc. Dist. + Travel Ban,solid,May 12,"14,581","May 12: 14,581 projected cases per day"
2020-05-12,mod_4,648,2929,Moderate return,solid,May 12,648,May 12: 648 projected cases per day
2020-05-12,mod_5,2210,7592,Normal (pre-intervention),solid,May 12,"2,210","May 12: 2,210 projected cases per day"
2020-05-12,mod_6,273,1674,Cautious return,solid,May 12,273,May 12: 273 projected cases per day
2020-05-13,mod_2,15436,122674,Soc. Dist. + Travel Ban,solid,May 13,"15,436","May 13: 15,436 projected cases per day"
