Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,text
2020-04-30,mod_2,3844,18538,Soc. Dist. + Travel Ban,solid,Apr 30,"3,844","Apr 30: 3,844 projected cases per day"
2020-04-30,mod_4,152,1194,Moderate return,solid,Apr 30,152,Apr 30: 152 projected cases per day
2020-04-30,mod_5,157,1217,Normal (pre-intervention),solid,Apr 30,157,Apr 30: 157 projected cases per day
2020-04-30,mod_6,148,1275,Cautious return,solid,Apr 30,148,Apr 30: 148 projected cases per day
2020-05-01,mod_2,4363,20891,Soc. Dist. + Travel Ban,solid,May 01,"4,363","May 01: 4,363 projected cases per day"
2020-05-01,mod_4,164,1269,Moderate return,solid,May 01,164,May 01: 164 projected cases per day
2020-05-01,mod_5,176,1292,Normal (pre-intervention),solid,May 01,176,May 01: 176 projected cases per day
2020-05-01,mod_6,156,772,Cautious return,solid,May 01,156,May 01: 156 projected cases per day
2020-05-02,mod_2,4888,22626,Soc. Dist. + Travel Ban,solid,May 02,"4,888","May 02: 4,888 projected cases per day"
2020-05-02,mod_4,174,1325,Moderate return,solid,May 02,174,May 02: 174 projected cases per day
2020-05-02,mod_5,190,1235,Normal (pre-intervention),solid,May 02,190,May 02: 190 projected cases per day
2020-05-02,mod_6,165,1679,Cautious return,solid,May 02,165,May 02: 165 projected cases per day
2020-05-03,mod_2,5457,25410,Soc. Dist. + Travel Ban,solid,May 03,"5,457","May 03: 5,457 projected cases per day"
2020-05-03,mod_4,189,1345,Moderate return,solid,May 03,189,May 03: 189 projected cases per day
2020-05-03,mod_5,217,1908,Normal (pre-intervention),solid,May 03,217,May 03: 217 projected cases per day
2020-05-03,mod_6,174,931,Cautious return,solid,May 03,174,May 03: 174 projected cases per day
2020-05-04,mod_2,6075,29870,Soc. Dist. + Travel Ban,solid,May 04,"6,075","May 04: 6,075 projected cases per day"
2020-05-04,mod_4,207,1392,Moderate return,solid,May 04,207,May 04: 207 projected cases per day
2020-05-04,mod_5,242,1141,Normal (pre-intervention),solid,May 04,242,May 04: 242 projected cases per day
2020-05-04,mod_6,183,913,Cautious return,solid,May 04,183,May 04: 183 projected cases per day
2020-05-05,mod_2,6698,34743,Soc. Dist. + Travel Ban,solid,May 05,"6,698","May 05: 6,698 projected cases per day"
2020-05-05,mod_4,226,1564,Moderate return,solid,May 05,226,May 05: 226 projected cases per day
2020-05-05,mod_5,281,2046,Normal (pre-intervention),solid,May 05,281,May 05: 281 projected cases per day
2020-05-05,mod_6,195,2138,Cautious return,solid,May 05,195,May 05: 195 projected cases per day
2020-05-06,mod_2,7363,40032,Soc. Dist. + Travel Ban,solid,May 06,"7,363","May 06: 7,363 projected cases per day"
2020-05-06,mod_4,254,1543,Moderate return,solid,May 06,254,May 06: 254 projected cases per day
2020-05-06,mod_5,328,2292,Normal (pre-intervention),solid,May 06,328,May 06: 328 projected cases per day
2020-05-06,mod_6,206,381,Cautious return,solid,May 06,206,May 06: 206 projected cases per day
2020-05-07,mod_2,8036,43326,Soc. Dist. + Travel Ban,solid,May 07,"8,036","May 07: 8,036 projected cases per day"
2020-05-07,mod_4,276,2021,Moderate return,solid,May 07,276,May 07: 276 projected cases per day
2020-05-07,mod_5,384,2262,Normal (pre-intervention),solid,May 07,384,May 07: 384 projected cases per day
2020-05-07,mod_6,228,1670,Cautious return,solid,May 07,228,May 07: 228 projected cases per day
2020-05-08,mod_2,8719,49492,Soc. Dist. + Travel Ban,solid,May 08,"8,719","May 08: 8,719 projected cases per day"
