Date,State,Name,Type,Count,date.fmt,count.fmt,text
2020-05-01,ap,Andhra Pradesh,New Cases,60,May  1,60,May  1: 60 New Cases
2020-05-02,ap,Andhra Pradesh,New Cases,62,May  2,62,May  2: 62 New Cases
2020-05-03,ap,Andhra Pradesh,New Cases,58,May  3,58,May  3: 58 New Cases
2020-05-04,ap,Andhra Pradesh,New Cases,67,May  4,67,May  4: 67 New Cases
2020-05-05,ap,Andhra Pradesh,New Cases,67,May  5,67,May  5: 67 New Cases
2020-05-06,ap,Andhra Pradesh,New Cases,60,May  6,60,May  6: 60 New Cases
2020-05-07,ap,Andhra Pradesh,New Cases,56,May  7,56,May  7: 56 New Cases
2020-05-08,ap,Andhra Pradesh,New Cases,54,May  8,54,May  8: 54 New Cases
2020-05-09,ap,Andhra Pradesh,New Cases,43,May  9,43,May  9: 43 New Cases
2020-05-10,ap,Andhra Pradesh,New Cases,50,May 10,50,May 10: 50 New Cases
2020-05-11,ap,Andhra Pradesh,New Cases,38,May 11,38,May 11: 38 New Cases
2020-05-12,ap,Andhra Pradesh,New Cases,71,May 12,71,May 12: 71 New Cases
2020-05-13,ap,Andhra Pradesh,New Cases,48,May 13,48,May 13: 48 New Cases
2020-05-14,ap,Andhra Pradesh,New Cases,68,May 14,68,May 14: 68 New Cases
2020-05-15,ap,Andhra Pradesh,New Cases,102,May 15,102,May 15: 102 New Cases
2020-05-16,ap,Andhra Pradesh,New Cases,48,May 16,48,May 16: 48 New Cases
2020-05-17,ap,Andhra Pradesh,New Cases,25,May 17,25,May 17: 25 New Cases
2020-05-18,ap,Andhra Pradesh,New Cases,52,May 18,52,May 18: 52 New Cases
2020-05-19,ap,Andhra Pradesh,New Cases,57,May 19,57,May 19: 57 New Cases
2020-05-20,ap,Andhra Pradesh,New Cases,71,May 20,71,May 20: 71 New Cases
2020-05-21,ap,Andhra Pradesh,New Cases,45,May 21,45,May 21: 45 New Cases
2020-05-22,ap,Andhra Pradesh,New Cases,62,May 22,62,May 22: 62 New Cases
2020-05-23,ap,Andhra Pradesh,New Cases,47,May 23,47,May 23: 47 New Cases
2020-05-24,ap,Andhra Pradesh,New Cases,66,May 24,66,May 24: 66 New Cases
2020-05-25,ap,Andhra Pradesh,New Cases,106,May 25,106,May 25: 106 New Cases
2020-05-26,ap,Andhra Pradesh,New Cases,97,May 26,97,May 26: 97 New Cases
2020-05-27,ap,Andhra Pradesh,New Cases,134,May 27,134,May 27: 134 New Cases
2020-05-28,ap,Andhra Pradesh,New Cases,128,May 28,128,May 28: 128 New Cases
2020-05-29,ap,Andhra Pradesh,New Cases,85,May 29,85,May 29: 85 New Cases
2020-05-30,ap,Andhra Pradesh,New Cases,131,May 30,131,May 30: 131 New Cases
2020-05-31,ap,Andhra Pradesh,New Cases,110,May 31,110,May 31: 110 New Cases
2020-06-01,ap,Andhra Pradesh,New Cases,105,Jun  1,105,Jun  1: 105 New Cases
2020-06-02,ap,Andhra Pradesh,New Cases,115,Jun  2,115,Jun  2: 115 New Cases
2020-06-03,ap,Andhra Pradesh,New Cases,180,Jun  3,180,Jun  3: 180 New Cases
2020-06-04,ap,Andhra Pradesh,New Cases,141,Jun  4,141,Jun  4: 141 New Cases
