Dates	variable	value	color
2020-04-15	mod_4	8254	blue
2020-04-15	mod_4_up	53465	blue
2020-04-16	mod_3	82656	red
2020-04-16	mod_2	15726	green
2020-04-16	mod_4	8888	blue
2020-04-16	mod_4_up	56948	blue
2020-04-17	mod_3	104373	red
2020-04-17	mod_2	19072	green
2020-04-17	mod_4	9531	blue
2020-04-17	mod_4_up	60610	blue
2020-04-18	mod_3	129623	red
2020-04-18	mod_2	23049	green
2020-04-18	mod_4	10189	blue
2020-04-18	mod_4_up	64142	blue
2020-04-19	mod_3	158462	red
2020-04-19	mod_2	27725	green
2020-04-19	mod_4	10863	blue
2020-04-19	mod_4_up	67777	blue
2020-04-20	mod_3	190906	red
2020-04-20	mod_2	33178	green
2020-04-20	mod_4	11552	blue
2020-04-20	mod_4_up	71590	blue
2020-04-21	mod_3	226879	red
2020-04-21	mod_2	39447	green
2020-04-21	mod_4	12263	blue
2020-04-21	mod_4_up	75919	blue
2020-04-22	mod_3	266286	red
2020-04-22	mod_2	46590	green
2020-04-22	mod_4	12992	blue
2020-04-22	mod_4_up	79574	blue
2020-04-23	mod_3	309017	red
2020-04-23	mod_2	54647	green
2020-04-23	mod_4	13744	blue
2020-04-23	mod_4_up	83962	blue
2020-04-24	mod_3	354876	red
2020-04-24	mod_2	63644	green
2020-04-24	mod_4	14514	blue
2020-04-24	mod_4_up	86628	blue
2020-04-25	mod_3	403695	red
2020-04-25	mod_2	73606	green
2020-04-25	mod_4	15304	blue
2020-04-25	mod_4_up	91404	blue
2020-04-26	mod_3	455254	red
2020-04-26	mod_2	84554	green
2020-04-26	mod_4	16115	blue
2020-04-26	mod_4_up	95984	blue
2020-04-27	mod_3	509379	red
2020-04-27	mod_2	96480	green
2020-04-27	mod_4	16952	blue
2020-04-27	mod_4_up	100533	blue
2020-04-28	mod_3	565792	red
2020-04-28	mod_2	109395	green
2020-04-28	mod_4	17816	blue
2020-04-28	mod_4_up	104870	blue
2020-04-29	mod_3	624278	red
2020-04-29	mod_2	123319	green
2020-04-29	mod_4	18702	blue
2020-04-29	mod_4_up	109194	blue
2020-04-30	mod_3	684620	red
2020-04-30	mod_2	138251	green
2020-04-30	mod_4	19650	blue
2020-04-30	mod_4_up	113022	blue
2020-05-01	mod_3	746591	red
2020-05-01	mod_2	154180	green
2020-05-01	mod_4	20683	blue
2020-05-01	mod_4_up	119207	blue
2020-05-02	mod_3	809999	red
2020-05-02	mod_2	171067	green
2020-05-02	mod_4	21802	blue
2020-05-02	mod_4_up	124217	blue
2020-05-03	mod_3	874628	red
2020-05-03	mod_2	188930	green
2020-05-03	mod_4	23032	blue
2020-05-03	mod_4_up	130358	blue
2020-05-04	mod_3	940316	red
2020-05-04	mod_2	207744	green
2020-05-04	mod_4	24380	blue
2020-05-04	mod_4_up	137601	blue
2020-05-05	mod_3	1006792	red
2020-05-05	mod_2	227439	green
2020-05-05	mod_4	25875	blue
2020-05-05	mod_4_up	144239	blue
2020-05-06	mod_3	1074026	red
2020-05-06	mod_2	248043	green
2020-05-06	mod_4	27535	blue
2020-05-06	mod_4_up	152889	blue
2020-05-07	mod_3	1141743	red
2020-05-07	mod_2	269466	green
2020-05-07	mod_4	29389	blue
2020-05-07	mod_4_up	160578	blue
2020-05-08	mod_3	1209790	red
2020-05-08	mod_2	291699	green
2020-05-08	mod_4	31470	blue
2020-05-08	mod_4_up	171208	blue
2020-05-09	mod_3	1278139	red
2020-05-09	mod_2	314670	green
2020-05-09	mod_4	33802	blue
2020-05-09	mod_4_up	181436	blue
2020-05-10	mod_3	1346583	red
2020-05-10	mod_2	338362	green
2020-05-10	mod_4	36427	blue
2020-05-10	mod_4_up	194152	blue
2020-05-11	mod_3	1414972	red
2020-05-11	mod_2	362730	green
2020-05-11	mod_4	39393	blue
2020-05-11	mod_4_up	209919	blue
2020-05-12	mod_3	1483224	red
2020-05-12	mod_2	387718	green
2020-05-12	mod_4	42729	blue
2020-05-12	mod_4_up	226184	blue
2020-05-13	mod_3	1551238	red
2020-05-13	mod_2	413261	green
2020-05-13	mod_4	46507	blue
2020-05-13	mod_4_up	246940	blue
2020-05-14	mod_3	1618881	red
2020-05-14	mod_2	439329	green
2020-05-14	mod_4	50787	blue
2020-05-14	mod_4_up	270671	blue
2020-05-15	mod_3	1686107	red
2020-05-15	mod_2	465872	green
2020-05-15	mod_4	55641	blue
2020-05-15	mod_4_up	296218	blue
2020-05-16	mod_3	1752816	red
2020-05-16	mod_2	492863	green
2020-05-16	mod_4	61132	blue
