place,r,lower,upper,.groups
Andhra Pradesh,0.8526348243091338,0.8427197950367253,0.8626071097138025,drop_last
Assam,0.6248105477412959,0.6098736659617614,0.6399265591138249,drop_last
Bihar,0.8780037477811811,0.8559185559001912,0.9003664350266402,drop_last
Chhattisgarh,0.9668927212231595,0.9504884401287872,0.983435502908204,drop_last
Delhi,0.8488884990497035,0.8344458020496465,0.8634534727644568,drop_last
Gujarat,0.9552263911063945,0.9322688457184042,0.9784593099382267,drop_last
Haryana,0.7758722591206028,0.756742735108701,0.7952373463478415,drop_last
India,0.9082499667597519,0.9053166347718458,0.9111879794572122,drop_last
Jammu and Kashmir,0.7471386791302407,0.724155001977821,0.7704785314085981,drop_last
Jharkhand,0.7638540823681781,0.741025489910893,0.7870244028585175,drop_last
Karnataka,1.0915097525305164,1.0818098906926412,1.1012523315467286,drop_last
Kerala,1.1711726029745282,1.1597413902874356,1.1826591530495725,drop_last
Madhya Pradesh,0.8208965348075741,0.8035464750908589,0.838429518537248,drop_last
Maharashtra,0.8019742704503152,0.7958802177013109,0.8080912727174505,drop_last
Odisha,0.8364847417801707,0.8232293873282811,0.8498445998514496,drop_last
Punjab,0.663038039130431,0.6442643471515336,0.6820783672688877,drop_last
Rajasthan,1.0379400639228298,1.0184635762621757,1.0575984624921289,drop_last
Tamil Nadu,0.964784366218196,0.9532951206849458,0.9763414933665969,drop_last
Telangana,0.9423450324149008,0.9233746516833693,0.9615056853650165,drop_last
Uttar Pradesh,0.8214794084810646,0.8093364178365062,0.8337116550346748,drop_last
West Bengal,1.0459609667320433,1.030271606799913,1.0617672556081996,drop_last
