Dates	variable	value	color
2020-03-01	True	3	black
2020-03-02	True	5	black
2020-03-03	True	5	black
2020-03-04	True	28	black
2020-03-05	True	30	black
2020-03-06	True	31	black
2020-03-07	True	34	black
2020-03-08	True	39	black
2020-03-09	True	43	black
2020-03-10	True	56	black
2020-03-11	True	62	black
2020-03-12	True	73	black
2020-03-13	True	82	black
2020-03-14	True	102	black
2020-03-15	True	113	black
2020-03-16	True	119	black
2020-03-17	True	142	black
2020-03-18	True	156	black
2020-03-19	True	194	black
2020-03-20	True	244	black
2020-03-21	True	330	black
2020-03-22	True	396	black
2020-03-23	True	499	black
2020-03-24	True	536	black
2020-03-25	True	657	black
2020-03-26	True	727	black
2020-03-27	True	887	black
2020-03-28	mod_3	889	red
2020-03-28	mod_2	860	green
2020-03-28	mod_4	858	blue
2020-03-28	mod_4_up	6777	blue
2020-03-29	mod_3	994	red
2020-03-29	mod_2	934	green
2020-03-29	mod_4	948	blue
2020-03-29	mod_4_up	7695	blue
2020-03-30	mod_3	1138	red
2020-03-30	mod_2	1003	green
2020-03-30	mod_4	1033	blue
2020-03-30	mod_4_up	8313	blue
2020-03-31	mod_3	1319	red
2020-03-31	mod_2	1097	green
2020-03-31	mod_4	1133	blue
2020-03-31	mod_4_up	8505	blue
2020-04-01	mod_3	1529	red
2020-04-01	mod_2	1205	green
2020-04-01	mod_4	1240	blue
2020-04-01	mod_4_up	10180	blue
2020-04-02	mod_3	1825	red
2020-04-02	mod_2	1329	green
2020-04-02	mod_4	1352	blue
2020-04-02	mod_4_up	10048	blue
2020-04-03	mod_3	2255	red
2020-04-03	mod_2	1466	green
2020-04-03	mod_4	1463	blue
2020-04-03	mod_4_up	10952	blue
2020-04-04	mod_3	2865	red
2020-04-04	mod_2	1613	green
2020-04-04	mod_4	1570	blue
2020-04-04	mod_4_up	12014	blue
2020-04-05	mod_3	3812	red
2020-04-05	mod_2	1797	green
2020-04-05	mod_4	1688	blue
2020-04-05	mod_4_up	13332	blue
2020-04-06	mod_3	5316	red
2020-04-06	mod_2	1997	green
2020-04-06	mod_4	1809	blue
2020-04-06	mod_4_up	13958	blue
2020-04-07	mod_3	7754	red
2020-04-07	mod_2	2251	green
2020-04-07	mod_4	1907	blue
2020-04-07	mod_4_up	14255	blue
2020-04-08	mod_3	11530	red
2020-04-08	mod_2	2539	green
2020-04-08	mod_4	1999	blue
2020-04-08	mod_4_up	15334	blue
2020-04-09	mod_3	16930	red
2020-04-09	mod_2	2925	green
2020-04-09	mod_4	2107	blue
2020-04-09	mod_4_up	16382	blue
2020-04-10	mod_3	24137	red
2020-04-10	mod_2	3376	green
2020-04-10	mod_4	2194	blue
2020-04-10	mod_4_up	17580	blue
2020-04-11	mod_3	33316	red
2020-04-11	mod_2	3899	green
2020-04-11	mod_4	2314	blue
2020-04-11	mod_4_up	17860	blue
2020-04-12	mod_3	44803	red
2020-04-12	mod_2	4567	green
2020-04-12	mod_4	2415	blue
2020-04-12	mod_4_up	18208	blue
2020-04-13	mod_3	58722	red
2020-04-13	mod_2	5458	green
2020-04-13	mod_4	2525	blue
2020-04-13	mod_4_up	19249	blue
2020-04-14	mod_3	75254	red
2020-04-14	mod_2	6516	green
2020-04-14	mod_4	2643	blue
2020-04-14	mod_4_up	20348	blue
2020-04-15	mod_3	94471	red
2020-04-15	mod_2	7909	green
