date_num,t_start,r,lower,upper,date,text
1,NA,NA,NA,NA,2020-04-02,"Date: 2020-04-02<br>R:   NA<br>CI: [  NA,   NA]"
2,NA,NA,NA,NA,2020-04-05,"Date: 2020-04-05<br>R:   NA<br>CI: [  NA,   NA]"
3,NA,NA,NA,NA,2020-04-06,"Date: 2020-04-06<br>R:   NA<br>CI: [  NA,   NA]"
4,NA,NA,NA,NA,2020-04-09,"Date: 2020-04-09<br>R:   NA<br>CI: [  NA,   NA]"
5,NA,NA,NA,NA,2020-04-10,"Date: 2020-04-10<br>R:   NA<br>CI: [  NA,   NA]"
6,2,NA,NA,NA,2020-04-11,"Date: 2020-04-11<br>R:   NA<br>CI: [  NA,   NA]"
7,3,4.543021305973838,2.646477326304669,6.943606569340379,2020-04-12,"Date: 2020-04-12<br>R: 4.54<br>CI: [2.65, 6.94]"
8,4,3.872253812064247,2.396986140827329,5.69560186105299,2020-04-13,"Date: 2020-04-13<br>R: 3.87<br>CI: [2.40, 5.70]"
9,5,2.081565309634091,1.1650363023323236,3.259678697577411,2020-04-14,"Date: 2020-04-14<br>R: 2.08<br>CI: [1.17, 3.26]"
10,6,1.6677431960585771,0.9334232067489268,2.6116437202623417,2020-04-15,"Date: 2020-04-15<br>R: 1.67<br>CI: [0.93, 2.61]"
11,7,1.2608309721242197,0.6713393914023067,2.0330012041198042,2020-04-16,"Date: 2020-04-16<br>R: 1.26<br>CI: [0.67, 2.03]"
12,8,1.24711779519059,0.6818109036230361,1.9802801674048707,2020-04-17,"Date: 2020-04-17<br>R: 1.25<br>CI: [0.68, 1.98]"
13,9,0.8484341565731299,0.40685715638434417,1.4495330806522524,2020-04-18,"Date: 2020-04-18<br>R: 0.85<br>CI: [0.41, 1.45]"
14,10,1.240528453578444,0.6943143584330398,1.9426362243609496,2020-04-19,"Date: 2020-04-19<br>R: 1.24<br>CI: [0.69, 1.94]"
15,11,1.566011447416518,0.9428411901661349,2.344711485911032,2020-04-20,"Date: 2020-04-20<br>R: 1.57<br>CI: [0.94, 2.34]"
16,12,2.0161547703515743,1.304749063420061,2.879883344534632,2020-04-23,"Date: 2020-04-23<br>R: 2.02<br>CI: [1.30, 2.88]"
17,13,2.1320755611402076,1.4167487266249303,2.991270217334521,2020-04-24,"Date: 2020-04-24<br>R: 2.13<br>CI: [1.42, 2.99]"
18,14,2.422720592435911,1.6875136612885377,3.2887803585275375,2020-04-25,"Date: 2020-04-25<br>R: 2.42<br>CI: [1.69, 3.29]"
19,15,2.5806590012497406,1.8599120165595167,3.4175992541307596,2020-04-26,"Date: 2020-04-26<br>R: 2.58<br>CI: [1.86, 3.42]"
20,16,3.0912876180277453,2.3473442922141063,3.936067844309457,2020-04-27,"Date: 2020-04-27<br>R: 3.09<br>CI: [2.35, 3.94]"
