date_num,t_start,r,lower,upper,date,text
4,NA,NA,NA,NA,2020-03-27,"Date: 2020-03-27<br>R:   NA<br>CI: [  NA,   NA]"
5,NA,NA,NA,NA,2020-03-30,"Date: 2020-03-30<br>R:   NA<br>CI: [  NA,   NA]"
6,2,NA,NA,NA,2020-03-31,"Date: 2020-03-31<br>R:   NA<br>CI: [  NA,   NA]"
7,3,3.036236363131769,1.5688676347860098,4.979943419553946,2020-04-01,"Date: 2020-04-01<br>R: 3.04<br>CI: [1.57, 4.98]"
8,4,2.378125661546785,1.2288122318667127,3.9005300716696274,2020-04-02,"Date: 2020-04-02<br>R: 2.38<br>CI: [1.23, 3.90]"
9,5,1.9746871276518974,1.020349654269377,3.2388223415138553,2020-04-10,"Date: 2020-04-10<br>R: 1.97<br>CI: [1.02, 3.24]"
10,6,1.2857110483182081,0.5879089621389831,2.2518785041258917,2020-04-12,"Date: 2020-04-12<br>R: 1.29<br>CI: [0.59, 2.25]"
11,7,1.164314735338127,0.5323988376324112,2.0392570538882437,2020-04-18,"Date: 2020-04-18<br>R: 1.16<br>CI: [0.53, 2.04]"
12,8,1.2291776567182522,0.5894384640565258,2.1000258671907326,2020-04-19,"Date: 2020-04-19<br>R: 1.23<br>CI: [0.59, 2.10]"
13,9,1.1957296025082194,0.5733988219498842,2.04288052398965,2020-04-21,"Date: 2020-04-21<br>R: 1.20<br>CI: [0.57, 2.04]"
14,10,1.1702586845095573,0.5611845267247941,1.9993639612162144,2020-04-25,"Date: 2020-04-25<br>R: 1.17<br>CI: [0.56, 2.00]"
15,11,1.8407389555903175,1.0521413591368818,2.8462677904109195,2020-04-26,"Date: 2020-04-26<br>R: 1.84<br>CI: [1.05, 2.85]"
16,12,2.572834138162537,1.630956143314841,3.7259408564408387,2020-04-27,"Date: 2020-04-27<br>R: 2.57<br>CI: [1.63, 3.73]"
17,13,3.1923318584222673,2.1690346160656335,4.410244090200214,2020-04-28,"Date: 2020-04-28<br>R: 3.19<br>CI: [2.17, 4.41]"
18,14,3.7276368319959543,2.6865527502245086,4.936556457296491,2020-04-29,"Date: 2020-04-29<br>R: 3.73<br>CI: [2.69, 4.94]"
19,15,3.4076231480052335,2.5037933166344892,4.448583411258878,2020-04-30,"Date: 2020-04-30<br>R: 3.41<br>CI: [2.50, 4.45]"
20,16,3.056399955986497,2.2894533013715717,3.932438098707085,2020-05-01,"Date: 2020-05-01<br>R: 3.06<br>CI: [2.29, 3.93]"
21,17,2.3208290428651384,1.7225640490123293,3.006893892572666,2020-05-02,"Date: 2020-05-02<br>R: 2.32<br>CI: [1.72, 3.01]"
22,18,1.6147397974505033,1.1637624155073063,2.1384202735462616,2020-05-03,"Date: 2020-05-03<br>R: 1.61<br>CI: [1.16, 2.14]"
23,19,1.1700013972196641,0.814948842098922,1.5882465467290967,2020-05-04,"Date: 2020-05-04<br>R: 1.17<br>CI: [0.81, 1.59]"
24,20,1.4106864376293808,1.0327997713713806,1.8465744552327665,2020-05-05,"Date: 2020-05-05<br>R: 1.41<br>CI: [1.03, 1.85]"
25,21,1.078125229908513,0.759099657286572,1.4522397690448177,2020-05-06,"Date: 2020-05-06<br>R: 1.08<br>CI: [0.76, 1.45]"
26,22,1.1721906921980234,0.8448119465076656,1.5523469134879704,2020-05-07,"Date: 2020-05-07<br>R: 1.17<br>CI: [0.84, 1.55]"
27,23,1.3602857861219086,1.0096303296270988,1.7624025496483133,2020-05-08,"Date: 2020-05-08<br>R: 1.36<br>CI: [1.01, 1.76]"
28,24,1.8017466891644613,1.3991268041689708,2.254505273150403,2020-05-09,"Date: 2020-05-09<br>R: 1.80<br>CI: [1.40, 2.25]"
29,25,1.39079618047811,1.0477380191929706,1.781693010898284,2020-05-10,"Date: 2020-05-10<br>R: 1.39<br>CI: [1.05, 1.78]"
30,26,1.369166972103562,1.0396658849576257,1.7433298865362985,2020-05-11,"Date: 2020-05-11<br>R: 1.37<br>CI: [1.04, 1.74]"
31,27,1.1827693796389873,0.885975428599191,1.5217796876898815,2020-05-12,"Date: 2020-05-12<br>R: 1.18<br>CI: [0.89, 1.52]"
32,28,0.9811177651894997,0.7183015137502382,1.2842733540548619,2020-05-13,"Date: 2020-05-13<br>R: 0.98<br>CI: [0.72, 1.28]"
33,29,0.5809416855897882,0.3860315311069542,0.81505252148921,2020-05-18,"Date: 2020-05-18<br>R: 0.58<br>CI: [0.39, 0.82]"
