date_num,t_start,r,lower,upper,date,text
1,NA,NA,NA,NA,2020-04-10,"Date: 2020-04-10<br>R:    NA<br>CI: [  NA,    NA]"
2,NA,NA,NA,NA,2020-05-02,"Date: 2020-05-02<br>R:    NA<br>CI: [  NA,    NA]"
3,NA,NA,NA,NA,2020-05-03,"Date: 2020-05-03<br>R:    NA<br>CI: [  NA,    NA]"
4,NA,NA,NA,NA,2020-05-04,"Date: 2020-05-04<br>R:    NA<br>CI: [  NA,    NA]"
5,NA,NA,NA,NA,2020-05-05,"Date: 2020-05-05<br>R:    NA<br>CI: [  NA,    NA]"
6,2,10.920821882128376,8.39185938801171,13.777778550198612,2020-05-06,"Date: 2020-05-06<br>R: 10.92<br>CI: [8.39, 13.78]"
7,3,7.99530203496533,6.386363291665479,9.78227233560858,2020-05-07,"Date: 2020-05-07<br>R:  8.00<br>CI: [6.39,  9.78]"
8,4,5.840838432055405,4.76748163632823,7.021540705720664,2020-05-08,"Date: 2020-05-08<br>R:  5.84<br>CI: [4.77,  7.02]"
9,5,3.9896924044796642,3.269649207451464,4.780320669970731,2020-05-09,"Date: 2020-05-09<br>R:  3.99<br>CI: [3.27,  4.78]"
10,6,2.9341378210449185,2.411504446856485,3.5072667380633242,2020-05-10,"Date: 2020-05-10<br>R:  2.93<br>CI: [2.41,  3.51]"
11,7,1.8612195294755334,1.496640293755842,2.264942001253024,2020-05-12,"Date: 2020-05-12<br>R:  1.86<br>CI: [1.50,  2.26]"
12,8,1.1517302993428284,0.8925751624627779,1.4434134313400235,2020-05-13,"Date: 2020-05-13<br>R:  1.15<br>CI: [0.89,  1.44]"
13,9,0.5841094531372992,0.41335061346991897,0.7839306246307874,2020-05-14,"Date: 2020-05-14<br>R:  0.58<br>CI: [0.41,  0.78]"
14,10,0.4709499911103601,0.3221294452882262,0.6475860474872764,2020-05-16,"Date: 2020-05-16<br>R:  0.47<br>CI: [0.32,  0.65]"
