date_num,t_start,r,lower,upper,date,text
19,15,1.1880390494867064,0.7760665507338157,1.686326922127146,2020-04-16,"Date: 2020-04-16<br>R: 1.19<br>CI: [0.78, 1.69]"
20,16,1.107687512021649,0.7235782587423968,1.5722743066679348,2020-04-17,"Date: 2020-04-17<br>R: 1.11<br>CI: [0.72, 1.57]"
21,17,0.9419585099079092,0.597120893140506,1.3641305691180508,2020-04-18,"Date: 2020-04-18<br>R: 0.94<br>CI: [0.60, 1.36]"
22,18,1.2461018618332849,0.8466657582385693,1.7215044098372034,2020-04-19,"Date: 2020-04-19<br>R: 1.25<br>CI: [0.85, 1.72]"
23,19,1.67485220122432,1.2070861487355462,2.218027887803672,2020-04-20,"Date: 2020-04-20<br>R: 1.67<br>CI: [1.21, 2.22]"
24,20,1.7041104354984387,1.238209251199453,2.243256810278069,2020-04-21,"Date: 2020-04-21<br>R: 1.70<br>CI: [1.24, 2.24]"
25,21,2.14827024070077,1.635362842359922,2.7300673267865356,2020-04-22,"Date: 2020-04-22<br>R: 2.15<br>CI: [1.64, 2.73]"
26,22,2.844745241687619,2.2722814605630623,3.4805530245031706,2020-04-23,"Date: 2020-04-23<br>R: 2.84<br>CI: [2.27, 3.48]"
27,23,3.7762694944712147,3.1504511796752825,4.457942341241754,2020-04-24,"Date: 2020-04-24<br>R: 3.78<br>CI: [3.15, 4.46]"
28,24,3.403626677318775,2.8613381442386445,3.9922761196404544,2020-04-25,"Date: 2020-04-25<br>R: 3.40<br>CI: [2.86, 3.99]"
29,25,2.956835587589521,2.5054624676483264,3.445040913642998,2020-04-26,"Date: 2020-04-26<br>R: 2.96<br>CI: [2.51, 3.45]"
30,26,3.19223527104492,2.7691852523727305,3.6449173241713297,2020-04-27,"Date: 2020-04-27<br>R: 3.19<br>CI: [2.77, 3.64]"
31,27,2.518748129696554,2.179287884087021,2.8824192120992627,2020-04-28,"Date: 2020-04-28<br>R: 2.52<br>CI: [2.18, 2.88]"
32,28,1.9032446234111775,1.6360640412790426,2.1903362137748665,2020-04-29,"Date: 2020-04-29<br>R: 1.90<br>CI: [1.64, 2.19]"
33,29,1.5725221976489496,1.3481624652706037,1.8138968538883637,2020-04-30,"Date: 2020-04-30<br>R: 1.57<br>CI: [1.35, 1.81]"
34,30,1.523507441808014,1.3145705599566515,1.7476279812305489,2020-05-01,"Date: 2020-05-01<br>R: 1.52<br>CI: [1.31, 1.75]"
35,31,1.0024640946738796,0.8410707903810701,1.1778130390474144,2020-05-02,"Date: 2020-05-02<br>R: 1.00<br>CI: [0.84, 1.18]"
36,32,1.0540450120766502,0.8931407035461417,1.2280791690503317,2020-05-03,"Date: 2020-05-03<br>R: 1.05<br>CI: [0.89, 1.23]"
37,33,0.8502003827814101,0.7082396240112312,1.0049358871795895,2020-05-04,"Date: 2020-05-04<br>R: 0.85<br>CI: [0.71, 1.00]"
38,34,0.7409378239521272,0.6095270130626904,0.8849851284880969,2020-05-05,"Date: 2020-05-05<br>R: 0.74<br>CI: [0.61, 0.88]"
39,35,0.5188367027859152,0.4094578121385319,0.6409677156637312,2020-05-06,"Date: 2020-05-06<br>R: 0.52<br>CI: [0.41, 0.64]"
40,36,0.4863104497363198,0.3791028533205959,0.6066647558416876,2020-05-07,"Date: 2020-05-07<br>R: 0.49<br>CI: [0.38, 0.61]"
41,37,0.46251921545677877,0.35541246458003106,0.5835171926211429,2020-05-08,"Date: 2020-05-08<br>R: 0.46<br>CI: [0.36, 0.58]"
42,38,0.6621479466992795,0.5281551343640655,0.8110601940930994,2020-05-09,"Date: 2020-05-09<br>R: 0.66<br>CI: [0.53, 0.81]"
43,39,1.471902365366534,1.2607355608764121,1.6991794132589493,2020-05-10,"Date: 2020-05-10<br>R: 1.47<br>CI: [1.26, 1.70]"
44,40,1.855549504534957,1.6119348945028509,2.116057197375411,2020-05-11,"Date: 2020-05-11<br>R: 1.86<br>CI: [1.61, 2.12]"
45,41,2.872299531898232,2.5707245565498584,3.1903588319071567,2020-05-12,"Date: 2020-05-12<br>R: 2.87<br>CI: [2.57, 3.19]"
46,42,2.9672314888481433,2.674474991477147,3.2749740271176924,2020-05-13,"Date: 2020-05-13<br>R: 2.97<br>CI: [2.67, 3.27]"
47,43,2.6083207574906933,2.3555292820066196,2.8738115729912126,2020-05-14,"Date: 2020-05-14<br>R: 2.61<br>CI: [2.36, 2.87]"
48,44,1.8291679298112633,1.6362614322167863,2.032668436159125,2020-05-15,"Date: 2020-05-15<br>R: 1.83<br>CI: [1.64, 2.03]"
49,45,2.0590426400955155,1.8690006903319785,2.2581539011436442,2020-05-16,"Date: 2020-05-16<br>R: 2.06<br>CI: [1.87, 2.26]"
50,46,1.8773087304844556,1.7063517016889564,2.056310143939693,2020-05-17,"Date: 2020-05-17<br>R: 1.88<br>CI: [1.71, 2.06]"
51,47,1.7827296731683353,1.6253450842981643,1.9472830930342218,2020-05-18,"Date: 2020-05-18<br>R: 1.78<br>CI: [1.63, 1.95]"
