date_num,t_start,r,lower,upper,date,text
2,NA,NA,NA,NA,2020-03-24,"Date: 2020-03-24<br>R:   NA<br>CI: [  NA,   NA]"
3,NA,NA,NA,NA,2020-03-25,"Date: 2020-03-25<br>R:   NA<br>CI: [  NA,   NA]"
4,NA,NA,NA,NA,2020-03-26,"Date: 2020-03-26<br>R:   NA<br>CI: [  NA,   NA]"
5,NA,NA,NA,NA,2020-03-27,"Date: 2020-03-27<br>R:   NA<br>CI: [  NA,   NA]"
6,2,NA,NA,NA,2020-03-28,"Date: 2020-03-28<br>R:   NA<br>CI: [  NA,   NA]"
7,3,6.012498608813635,4.314672807979848,7.987625953534521,2020-03-30,"Date: 2020-03-30<br>R: 6.01<br>CI: [4.31, 7.99]"
8,4,4.964726812355089,3.7078954502132713,6.402166207278526,2020-03-31,"Date: 2020-03-31<br>R: 4.96<br>CI: [3.71, 6.40]"
9,5,5.30072074466934,4.196630531555447,6.531798379531231,2020-04-01,"Date: 2020-04-01<br>R: 5.30<br>CI: [4.20, 6.53]"
10,6,3.8369874447363257,3.03777909371452,4.728117095965563,2020-04-02,"Date: 2020-04-02<br>R: 3.84<br>CI: [3.04, 4.73]"
11,7,4.143330339698745,3.4237140296137962,4.930566090973347,2020-04-03,"Date: 2020-04-03<br>R: 4.14<br>CI: [3.42, 4.93]"
12,8,3.640792334413102,3.0483593387393357,4.285052667765095,2020-04-04,"Date: 2020-04-04<br>R: 3.64<br>CI: [3.05, 4.29]"
13,9,2.701403545349714,2.253716266459878,3.1890470908463064,2020-04-05,"Date: 2020-04-05<br>R: 2.70<br>CI: [2.25, 3.19]"
14,10,2.673829760017929,2.274372011753134,3.105128740206916,2020-04-06,"Date: 2020-04-06<br>R: 2.67<br>CI: [2.27, 3.11]"
15,11,2.570388082835699,2.212394495418914,2.9548338165588284,2020-04-07,"Date: 2020-04-07<br>R: 2.57<br>CI: [2.21, 2.95]"
16,12,2.2108908429448997,1.9061365455097636,2.5379137508142957,2020-04-08,"Date: 2020-04-08<br>R: 2.21<br>CI: [1.91, 2.54]"
17,13,2.3378418961068723,2.0472728745602757,2.647411857457696,2020-04-09,"Date: 2020-04-09<br>R: 2.34<br>CI: [2.05, 2.65]"
18,14,2.253117010969108,1.9870485228894985,2.5356600408551433,2020-04-10,"Date: 2020-04-10<br>R: 2.25<br>CI: [1.99, 2.54]"
19,15,2.068708447266961,1.830988994453938,2.3207262100226846,2020-04-11,"Date: 2020-04-11<br>R: 2.07<br>CI: [1.83, 2.32]"
20,16,1.801279663611104,1.5939238928409352,2.0211309465608283,2020-04-12,"Date: 2020-04-12<br>R: 1.80<br>CI: [1.59, 2.02]"
21,17,1.604429629529813,1.4200613904419348,1.7998872186682395,2020-04-13,"Date: 2020-04-13<br>R: 1.60<br>CI: [1.42, 1.80]"
22,18,1.7561257967255528,1.572013641375737,1.9502860367726624,2020-04-14,"Date: 2020-04-14<br>R: 1.76<br>CI: [1.57, 1.95]"
23,19,2.3768083088467074,2.1705801274351333,2.5922613634350524,2020-04-15,"Date: 2020-04-15<br>R: 2.38<br>CI: [2.17, 2.59]"
24,20,2.8008809572342064,2.5874038503082644,3.022699455862341,2020-04-16,"Date: 2020-04-16<br>R: 2.80<br>CI: [2.59, 3.02]"
25,21,2.8605633307245197,2.6593435727884422,3.0690170826814795,2020-04-17,"Date: 2020-04-17<br>R: 2.86<br>CI: [2.66, 3.07]"
26,22,2.533234291341277,2.3595342906905135,2.713015766165791,2020-04-18,"Date: 2020-04-18<br>R: 2.53<br>CI: [2.36, 2.71]"
27,23,1.793414803906046,1.6598766664496958,1.9320457596582834,2020-04-19,"Date: 2020-04-19<br>R: 1.79<br>CI: [1.66, 1.93]"
28,24,1.266816322877939,1.1629577070939743,1.3750534469674387,2020-04-20,"Date: 2020-04-20<br>R: 1.27<br>CI: [1.16, 1.38]"
29,25,0.812232829719686,0.7335133950520821,0.8949068473685077,2020-04-21,"Date: 2020-04-21<br>R: 0.81<br>CI: [0.73, 0.89]"
30,26,0.551669300009052,0.4887196330148043,0.6183770956874421,2020-04-22,"Date: 2020-04-22<br>R: 0.55<br>CI: [0.49, 0.62]"
31,27,0.5665517987241944,0.502787140843425,0.6340680379413122,2020-04-23,"Date: 2020-04-23<br>R: 0.57<br>CI: [0.50, 0.63]"
32,28,0.902831568021995,0.8204330873470923,0.9891163201861052,2020-04-24,"Date: 2020-04-24<br>R: 0.90<br>CI: [0.82, 0.99]"
33,29,0.989292739473775,0.9010349497468848,1.0816150206266673,2020-04-25,"Date: 2020-04-25<br>R: 0.99<br>CI: [0.90, 1.08]"
34,30,1.1879210467917756,1.089738324752418,1.290278138870038,2020-04-26,"Date: 2020-04-26<br>R: 1.19<br>CI: [1.09, 1.29]"
35,31,1.2861981348474476,1.1835526483666046,1.3930511341929452,2020-04-27,"Date: 2020-04-27<br>R: 1.29<br>CI: [1.18, 1.39]"
36,32,1.5364048824198984,1.4247596422084756,1.6522015094200955,2020-04-28,"Date: 2020-04-28<br>R: 1.54<br>CI: [1.42, 1.65]"
37,33,1.5157435642521668,1.4066631558533125,1.6288393475755607,2020-04-29,"Date: 2020-04-29<br>R: 1.52<br>CI: [1.41, 1.63]"
38,34,1.3680143414234436,1.2671839827319418,1.472649639713389,2020-04-30,"Date: 2020-04-30<br>R: 1.37<br>CI: [1.27, 1.47]"
39,35,1.1870256449828396,1.0958477242785882,1.281795149153645,2020-05-01,"Date: 2020-05-01<br>R: 1.19<br>CI: [1.10, 1.28]"
40,36,1.1282871618327657,1.0414850666846633,1.2185140560119423,2020-05-02,"Date: 2020-05-02<br>R: 1.13<br>CI: [1.04, 1.22]"
41,37,0.789132323776235,0.717973602019173,0.863605057726624,2020-05-03,"Date: 2020-05-03<br>R: 0.79<br>CI: [0.72, 0.86]"
42,38,0.6592419366375172,0.5948643037214959,0.7268795466398869,2020-05-04,"Date: 2020-05-04<br>R: 0.66<br>CI: [0.59, 0.73]"
43,39,0.7404403931801548,0.6717094707666518,0.8124710405421178,2020-05-05,"Date: 2020-05-05<br>R: 0.74<br>CI: [0.67, 0.81]"
44,40,0.7625056089677922,0.6916451191157783,0.8367721689062616,2020-05-06,"Date: 2020-05-06<br>R: 0.76<br>CI: [0.69, 0.84]"
45,41,0.8665933191768725,0.7896073885810039,0.947109010629989,2020-05-07,"Date: 2020-05-07<br>R: 0.87<br>CI: [0.79, 0.95]"
46,42,0.9731904348096636,0.8901511872462288,1.0598796976337974,2020-05-08,"Date: 2020-05-08<br>R: 0.97<br>CI: [0.89, 1.06]"
47,43,1.018452412243129,0.9324618002849415,1.1081813795977384,2020-05-09,"Date: 2020-05-09<br>R: 1.02<br>CI: [0.93, 1.11]"
48,44,1.1306022640750437,1.0393655299877258,1.225622450959623,2020-05-10,"Date: 2020-05-10<br>R: 1.13<br>CI: [1.04, 1.23]"
49,45,1.2962866992043087,1.1983875735425884,1.3979748540450303,2020-05-11,"Date: 2020-05-11<br>R: 1.30<br>CI: [1.20, 1.40]"
50,46,1.4512840892926284,1.348246959491428,1.5580612285134992,2020-05-12,"Date: 2020-05-12<br>R: 1.45<br>CI: [1.35, 1.56]"
51,47,1.59343185681304,1.487046958745727,1.7034400282194364,2020-05-13,"Date: 2020-05-13<br>R: 1.59<br>CI: [1.49, 1.70]"
52,48,1.7640708936179814,1.654789196075133,1.8767973768104547,2020-05-14,"Date: 2020-05-14<br>R: 1.76<br>CI: [1.65, 1.88]"
53,49,1.6677509735122535,1.5650593181986956,1.7736595321681248,2020-05-15,"Date: 2020-05-15<br>R: 1.67<br>CI: [1.57, 1.77]"
54,50,1.5750275328609222,1.4791909309951001,1.6738297118674685,2020-05-16,"Date: 2020-05-16<br>R: 1.58<br>CI: [1.48, 1.67]"
55,51,1.4345822465641211,1.3466872659078646,1.5252164818071061,2020-05-17,"Date: 2020-05-17<br>R: 1.43<br>CI: [1.35, 1.53]"
56,52,1.4331846931890249,1.3483523755459448,1.5205684268782904,2020-05-18,"Date: 2020-05-18<br>R: 1.43<br>CI: [1.35, 1.52]"
