place,r,lower,upper
Andhra Pradesh,1.5555612904908453,1.4736642256250945,1.639656443636726
Assam,1.3161305616282257,1.1008037931885863,1.5504597898199122
Bihar,1.7891031559359762,1.6143592105600457,1.9728819487956986
Chhattisgarh,1.979549252207973,1.9242375675540568,2.0356432993392524
Delhi,1.6001332703737794,1.5442331749792706,1.657027722548174
Gujarat,1.6514020290374947,1.6104581206809954,1.6928573892331134
Haryana,1.6615982820916138,1.605330921743527,1.7188321396420216
India,1.5326104849873077,1.5255897534584582,1.539647209841347
Jammu and Kashmir,1.3763954904172517,1.2721396507508616,1.4847150610928306
Jharkhand,1.5577313441425835,1.4172180195367245,1.7048386848833235
Karnataka,1.6603853299804712,1.6214190562520008,1.6998112722403709
Kerala,0.892660693439608,0.8746079529367943,0.9108953961595748
Madhya Pradesh,1.6302314678255705,1.5853833944551354,1.6757016971867382
Maharashtra,1.5939560247486908,1.5847573866871791,1.6031810776985216
Odisha,1.3048378975113788,1.1886273056178025,1.4264379983554454
Punjab,1.5293123829293793,1.500349372542524,1.5585498821991168
Rajasthan,1.5887459927362018,1.5155407877677942,1.6636758617692362
Tamil Nadu,1.4700923269860924,1.430178107140621,1.510551411027216
Telangana,1.458754608384128,1.38339721341512,1.53610216474951
Uttar Pradesh,1.9045048833029612,1.813513320206332,1.997734115686762
West Bengal,1.2866973267320092,1.224919590554141,1.3499795201824683
