Date	dateymd	State	Cases	Deaths	Recovered	Name
2020-03-15	2020-03-15	an	0	0	0	Andaman and Nicobar Islands
2020-03-16	2020-03-16	an	0	0	0	Andaman and Nicobar Islands
2020-03-17	2020-03-17	an	0	0	0	Andaman and Nicobar Islands
2020-03-18	2020-03-18	an	0	0	0	Andaman and Nicobar Islands
2020-03-19	2020-03-19	an	0	0	0	Andaman and Nicobar Islands
2020-03-20	2020-03-20	an	0	0	0	Andaman and Nicobar Islands
2020-03-21	2020-03-21	an	0	0	0	Andaman and Nicobar Islands
2020-03-22	2020-03-22	an	0	0	0	Andaman and Nicobar Islands
2020-03-23	2020-03-23	an	0	0	0	Andaman and Nicobar Islands
2020-03-24	2020-03-24	an	0	0	0	Andaman and Nicobar Islands
2020-03-25	2020-03-25	an	0	0	0	Andaman and Nicobar Islands
2020-03-26	2020-03-26	an	1	0	0	Andaman and Nicobar Islands
2020-03-27	2020-03-27	an	6	0	0	Andaman and Nicobar Islands
2020-03-28	2020-03-28	an	9	0	0	Andaman and Nicobar Islands
2020-03-29	2020-03-29	an	9	0	0	Andaman and Nicobar Islands
2020-03-30	2020-03-30	an	10	0	0	Andaman and Nicobar Islands
2020-03-31	2020-03-31	an	10	0	0	Andaman and Nicobar Islands
2020-04-01	2020-04-01	an	10	0	0	Andaman and Nicobar Islands
2020-04-02	2020-04-02	an	10	0	0	Andaman and Nicobar Islands
2020-04-03	2020-04-03	an	10	0	0	Andaman and Nicobar Islands
2020-04-04	2020-04-04	an	10	0	0	Andaman and Nicobar Islands
2020-04-05	2020-04-05	an	10	0	0	Andaman and Nicobar Islands
2020-04-06	2020-04-06	an	10	0	0	Andaman and Nicobar Islands
2020-04-07	2020-04-07	an	10	0	0	Andaman and Nicobar Islands
2020-04-08	2020-04-08	an	11	0	0	Andaman and Nicobar Islands
2020-04-09	2020-04-09	an	11	0	10	Andaman and Nicobar Islands
2020-04-10	2020-04-10	an	11	0	10	Andaman and Nicobar Islands
2020-04-11	2020-04-11	an	11	0	10	Andaman and Nicobar Islands
2020-04-12	2020-04-12	an	11	0	10	Andaman and Nicobar Islands
2020-04-13	2020-04-13	an	11	0	10	Andaman and Nicobar Islands
2020-04-14	2020-04-14	an	11	0	10	Andaman and Nicobar Islands
2020-04-15	2020-04-15	an	11	0	10	Andaman and Nicobar Islands
2020-04-16	2020-04-16	an	11	0	11	Andaman and Nicobar Islands
2020-04-17	2020-04-17	an	12	0	11	Andaman and Nicobar Islands
2020-04-18	2020-04-18	an	14	0	11	Andaman and Nicobar Islands
2020-04-19	2020-04-19	an	15	0	11	Andaman and Nicobar Islands
2020-04-20	2020-04-20	an	16	0	11	Andaman and Nicobar Islands
2020-04-21	2020-04-21	an	17	0	11	Andaman and Nicobar Islands
2020-04-22	2020-04-22	an	18	0	11	Andaman and Nicobar Islands
2020-04-23	2020-04-23	an	22	0	11	Andaman and Nicobar Islands
2020-04-24	2020-04-24	an	29	0	11	Andaman and Nicobar Islands
2020-04-25	2020-04-25	an	33	0	11	Andaman and Nicobar Islands
2020-04-26	2020-04-26	an	33	0	11	Andaman and Nicobar Islands
2020-04-27	2020-04-27	an	33	0	11	Andaman and Nicobar Islands
2020-04-28	2020-04-28	an	33	0	15	Andaman and Nicobar Islands
2020-04-29	2020-04-29	an	33	0	15	Andaman and Nicobar Islands
2020-04-30	2020-04-30	an	33	0	16	Andaman and Nicobar Islands
2020-05-01	2020-05-01	an	33	0	16	Andaman and Nicobar Islands
2020-05-02	2020-05-02	an	33	0	26	Andaman and Nicobar Islands
2020-05-03	2020-05-03	an	33	0	32	Andaman and Nicobar Islands
2020-05-04	2020-05-04	an	33	0	32	Andaman and Nicobar Islands
2020-05-05	2020-05-05	an	33	0	32	Andaman and Nicobar Islands
2020-05-06	2020-05-06	an	33	0	32	Andaman and Nicobar Islands
2020-05-07	2020-05-07	an	33	0	33	Andaman and Nicobar Islands
2020-05-08	2020-05-08	an	33	0	33	Andaman and Nicobar Islands
2020-05-09	2020-05-09	an	33	0	33	Andaman and Nicobar Islands
2020-05-10	2020-05-10	an	33	0	33	Andaman and Nicobar Islands
2020-05-11	2020-05-11	an	33	0	33	Andaman and Nicobar Islands
2020-05-12	2020-05-12	an	33	0	33	Andaman and Nicobar Islands
2020-05-13	2020-05-13	an	33	0	33	Andaman and Nicobar Islands
2020-05-14	2020-05-14	an	33	0	33	Andaman and Nicobar Islands
2020-05-15	2020-05-15	an	33	0	33	Andaman and Nicobar Islands
2020-05-16	2020-05-16	an	33	0	33	Andaman and Nicobar Islands
2020-05-17	2020-05-17	an	33	0	33	Andaman and Nicobar Islands
2020-05-18	2020-05-18	an	33	0	33	Andaman and Nicobar Islands
2020-05-19	2020-05-19	an	33	0	33	Andaman and Nicobar Islands
2020-05-20	2020-05-20	an	33	0	33	Andaman and Nicobar Islands
2020-05-21	2020-05-21	an	33	0	33	Andaman and Nicobar Islands
2020-05-22	2020-05-22	an	33	0	33	Andaman and Nicobar Islands
2020-05-23	2020-05-23	an	33	0	33	Andaman and Nicobar Islands
2020-05-24	2020-05-24	an	33	0	33	Andaman and Nicobar Islands
2020-05-25	2020-05-25	an	33	0	33	Andaman and Nicobar Islands
2020-05-26	2020-05-26	an	33	0	33	Andaman and Nicobar Islands
2020-05-27	2020-05-27	an	33	0	33	Andaman and Nicobar Islands
2020-05-28	2020-05-28	an	33	0	33	Andaman and Nicobar Islands
2020-05-29	2020-05-29	an	33	0	33	Andaman and Nicobar Islands
2020-05-30	2020-05-30	an	33	0	33	Andaman and Nicobar Islands
2020-05-31	2020-05-31	an	33	0	33	Andaman and Nicobar Islands
2020-06-01	2020-06-01	an	33	0	33	Andaman and Nicobar Islands
2020-06-02	2020-06-02	an	33	0	33	Andaman and Nicobar Islands
2020-06-03	2020-06-03	an	33	0	33	Andaman and Nicobar Islands
2020-06-04	2020-06-04	an	33	0	33	Andaman and Nicobar Islands
2020-06-05	2020-06-05	an	33	0	33	Andaman and Nicobar Islands
2020-06-06	2020-06-06	an	33	0	33	Andaman and Nicobar Islands
2020-06-07	2020-06-07	an	33	0	33	Andaman and Nicobar Islands
2020-06-08	2020-06-08	an	33	0	33	Andaman and Nicobar Islands
