Name,Date,State,Type,Count,date.fmt,count.fmt,text
Tripura,2020-06-21,tr,New Cases,35,Jun 21,35,Jun 21: 35 New Cases
Tripura,2020-06-22,tr,New Cases,16,Jun 22,16,Jun 22: 16 New Cases
Tripura,2020-06-23,tr,New Cases,23,Jun 23,23,Jun 23: 23 New Cases
Tripura,2020-06-24,tr,New Cases,0,Jun 24,0,Jun 24: 0 New Cases
Tripura,2020-06-25,tr,New Cases,32,Jun 25,32,Jun 25: 32 New Cases
Tripura,2020-06-26,tr,New Cases,35,Jun 26,35,Jun 26: 35 New Cases
Tripura,2020-06-27,tr,New Cases,9,Jun 27,9,Jun 27: 9 New Cases
Tripura,2020-06-28,tr,New Cases,12,Jun 28,12,Jun 28: 12 New Cases
Tripura,2020-06-29,tr,New Cases,34,Jun 29,34,Jun 29: 34 New Cases
Tripura,2020-06-30,tr,New Cases,8,Jun 30,8,Jun 30: 8 New Cases
Tripura,2020-07-01,tr,New Cases,8,Jul  1,8,Jul  1: 8 New Cases
Tripura,2020-07-02,tr,New Cases,39,Jul  2,39,Jul  2: 39 New Cases
Tripura,2020-07-03,tr,New Cases,93,Jul  3,93,Jul  3: 93 New Cases
Tripura,2020-07-04,tr,New Cases,25,Jul  4,25,Jul  4: 25 New Cases
Tripura,2020-07-05,tr,New Cases,23,Jul  5,23,Jul  5: 23 New Cases
Tripura,2020-07-06,tr,New Cases,111,Jul  6,111,Jul  6: 111 New Cases
Tripura,2020-07-07,tr,New Cases,24,Jul  7,24,Jul  7: 24 New Cases
Tripura,2020-07-08,tr,New Cases,57,Jul  8,57,Jul  8: 57 New Cases
Tripura,2020-07-09,tr,New Cases,16,Jul  9,16,Jul  9: 16 New Cases
Tripura,2020-07-10,tr,New Cases,142,Jul 10,142,Jul 10: 142 New Cases
Tripura,2020-07-11,tr,New Cases,31,Jul 11,31,Jul 11: 31 New Cases
Tripura,2020-07-12,tr,New Cases,105,Jul 12,105,Jul 12: 105 New Cases
Tripura,2020-07-13,tr,New Cases,26,Jul 13,26,Jul 13: 26 New Cases
Tripura,2020-07-14,tr,New Cases,90,Jul 14,90,Jul 14: 90 New Cases
Tripura,2020-07-15,tr,New Cases,98,Jul 15,98,Jul 15: 98 New Cases
Tripura,2020-07-16,tr,New Cases,98,Jul 16,98,Jul 16: 98 New Cases
Tripura,2020-07-17,tr,New Cases,118,Jul 17,118,Jul 17: 118 New Cases
Tripura,2020-07-18,tr,New Cases,171,Jul 18,171,Jul 18: 171 New Cases
Tripura,2020-07-19,tr,New Cases,223,Jul 19,223,Jul 19: 223 New Cases
Tripura,2020-07-20,tr,New Cases,202,Jul 20,202,Jul 20: 202 New Cases
Tripura,2020-07-21,tr,New Cases,252,Jul 21,252,Jul 21: 252 New Cases
Tripura,2020-07-22,tr,New Cases,126,Jul 22,126,Jul 22: 126 New Cases
Tripura,2020-07-23,tr,New Cases,206,Jul 23,206,Jul 23: 206 New Cases
