place,r,lower,upper,.groups
Andhra Pradesh,0.8386564050425331,0.8244844683051783,0.8529475031357268,drop_last
Assam,0.7843850022437844,0.7482870258441472,0.8213218424405223,drop_last
Bihar,0.818350654008306,0.7927085519784648,0.8443956452904667,drop_last
Chhattisgarh,0.8851413985197683,0.8670713635643335,0.9033952510701176,drop_last
Delhi,1.3169999706404727,1.3014437711247195,1.3326473757708448,drop_last
Gujarat,0.9156007695926214,0.88960784109214,0.941962815968263,drop_last
Haryana,1.2608658173052631,1.2336323193823109,1.2883928415154104,drop_last
India,0.9213503390904719,0.9175898289681305,0.9251184343049903,drop_last
Jammu and Kashmir,0.9263366312779642,0.8902869619110628,0.9630919583982376,drop_last
Jharkhand,0.8974121469290183,0.8568951419255705,0.9388526835453342,drop_last
Karnataka,0.6916838975866988,0.6811577684903151,0.702289682672178,drop_last
Kerala,0.9631822364502975,0.9529934150724001,0.9734245222840375,drop_last
Madhya Pradesh,0.7310733687944982,0.7068703664768744,0.7556781291913813,drop_last
Maharashtra,0.8084473683717296,0.7988651574655189,0.8180859775718927,drop_last
Odisha,0.8613995221166059,0.8419521197284983,0.8810659385482098,drop_last
Punjab,0.9297522983092558,0.8909457541227802,0.9693746948368537,drop_last
Rajasthan,0.9608431054814471,0.9409470267931312,0.9809444502789398,drop_last
Tamil Nadu,0.8370449677201408,0.8225163523008768,0.8516990238258659,drop_last
Telangana,1.0793159288679481,1.0538838390010659,1.105047292237535,drop_last
Uttar Pradesh,0.8993341627534217,0.8814441600218923,0.9174014133819058,drop_last
West Bengal,0.9912577867186902,0.9775306232700786,1.0050793372688784,drop_last
