place,r,lower,upper
Andhra Pradesh,0.7449463812733865,0.6611519839301847,0.8336783740766046
Assam,0.790060975080846,0.5894218187685384,1.0203070594145809
Bihar,0.7200108507661194,0.6374705985304974,0.807517475960761
Chhattisgarh,0.7338952216624701,0.6932542311637551,0.7756790778395933
Delhi,0.9761824469507043,0.903222403451303,1.0519366388271565
Gujarat,0.9761230968318246,0.9241422903498672,1.0295061163348556
Haryana,1.0635386612404136,0.9678837840294526,1.1636373885317683
India,1.0082768320085693,1.0000557808201087,1.0165310789054496
Jammu and Kashmir,1.1396930770187563,1.0230457774395063,1.262551403671075
Jharkhand,0.8849116007707835,0.7675833660842377,1.0104692925130045
Karnataka,0.9408130473577838,0.90017182785591765,0.9823390224942655
Kerala,0.888779612796227,0.8775555435714965,0.9000741466309465
Madhya Pradesh,1.1092233393282158,1.0424960342383665,1.1780001104332476
Maharashtra,1.3464874021348168,1.3269813570016937,1.366134883973197
Odisha,0.8639009212546683,0.7775405937016273,0.9547479887337122
Punjab,1.200491434628261,1.1359359577773303,1.2668073207297368
Rajasthan,0.9336656015181833,0.8524375111215372,1.0185430620101836
Tamil Nadu,0.9640764240471873,0.9253659541227534,1.0035690475869
Telangana,0.9239325290504321,0.8568116244504147,0.9935496675818444
Uttar Pradesh,0.719159103279994,0.6578982051355059,0.7831306773906593
West Bengal,0.8902187357574068,0.8316480835598004,0.9507571351400844
